"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"BO-04RERNFSN3,5-MO","3","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"","","BO-SRE04-BULK","Bulk","0.004","kg"
"BO-05BSRNFSN3,5-MO","4","BO-SBS05-BULK","Bulk","0.004","kg"
"","","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"BO-06CSRNFS3,5G-MO","4","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"","","BO-SCS06-BULK","Bulk","0.004","kg"
"BO-07SSRNFSN3,5-MO","4","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"","","BO-SSS07-BULK","Bulk","0.0035","kg"
"BO-08CCRNFSN3,5-MO","4","BO-SCC08-BULK","Bulk","0.004","kg"
"","","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"BO-SKPP10-RP-MO3,5GR","4","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"","","BO-SKPP10-BULK","Bulk","3.5","kg"
"TC-PC06-RP-MO12GR","2","TC-PC06-BULK","Bulk","0.012","kg"
"","","GODE-TWC5,4B-SM-P","Regular","1.0","Pc(s)"
"TC-PPHC-07-RP-MO3,5G","3","TC-PPHC-07-BULK","Bulk","3.5","kg"
"","","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"TC-PPHC-08-RP-MO3,5G","3","TC-PPHC-08-BULK","Bulk","3.5","kg"
"","","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"TC-W1C1RNFSWNL1-W","1","TC-W1C1-BULK","Bulk","0.013","kg"
"","","GODE-TWC5,4B-SM-P","Regular","1.02","Pc(s)"
"TC-W1C212GRRNFS-W","1","TC-W1C2-BULK","Bulk","0.0131","kg"
"","","GODE-TWC5,4B-SM-P","Regular","1.02","Pc(s)"
"TC-W1C312GRRNFS-W","1","TC-W1C3-BULK","Bulk","0.0141","kg"
"","","GODE-TWC5,4B-SM-P","Regular","1.02","Pc(s)"
"TC-W1I2C412GRRN-W","1","TC-W1I2C4-BULK","Bulk","0.012","kg"
"","","GODE-TWC5,4B-SM-P","Regular","1.02","Pc(s)"
"TC-W1LLF0412RNF-W","1","TC-W1LNC4-BULK","Bulk","0.012","kg"
"","","GODE-TWC5,4B-SM-P","Regular","1.02","Pc(s)"
"BO-SST09-RP-MO3,5GR","4","GODE-PESBOR2-MOAL","Regular","1.30769","Pc(s)"
"","","BO-SST09-BULK","Bulk","0.0035","kg"
"BO-W0D1&2RNFS4G-W","2","BO-W0D-02 BULK","Bulk","0.002","kg"
"","","GODE-BOER0-WAL","Regular","1.0","Pc(s)"
"","","BO-W0D-01 BULK","Bulk","0.002","kg"
"BO-W0D1&2RNFS4G-W","4","GODE-BOER0-WAL","Regular","1.125","Pc(s)"
"","","BO-W0D-01 BULK","Bulk","0.002","kg"
"","","BO-W0D-02 BULK","Bulk","0.002","kg"
"BO-W1A1&2RNFS4G-W","2","BO-W1A-02 BULK","Bulk","0.0021","kg"
"","","GODE-BOER0-WAL","Regular","1.0","Pc(s)"
"","","BO-W1A-01 BULK","Bulk","0.0021","kg"
"BO-W1A1&2RNFS4G-W","4","GODE-BOER0-WAL","Regular","1.125","Pc(s)"
"","","BO-W1A-01 BULK","Bulk","0.0021","kg"
"","","BO-W1A-02 BULK","Bulk","0.0021","kg"
"BO-W1B1&2RNFS4G-W","2","BO-W1B-02 BULK","Bulk","0.00215","kg"
"","","BO-W1B-01 BULK","Bulk","0.00215","kg"
"","","GODE-BOER0-WAL","Regular","1.0","Pc(s)"
"BO-W1B1&2RNFS4G-W","4","BO-W1B-02 BULK","Bulk","0.00215","kg"
"","","BO-W1B-01 BULK","Bulk","0.00215","kg"
"","","GODE-BOER0-WAL","Regular","1.125","Pc(s)"
"EB-EK-LB-RP-W1GR","1","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","EB-DK-LB-BULK","Bulk","0.001","kg"
"FA-CLFMDHCP-RP-W4GR","PS2","GODE-CHCPROR0-W","Regular","1.0","Pc(s)"
"","","FA-CLFMDHCP-BULK","Bulk","0.004","kg"
"ES-W0R-01-RP-W1,1GR","1","ES-W0R-01 BULK","Bulk","0.0011","kg"
"","","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
