Kode Item Baru,Nama Item,MPQ Olah,MPQ Kemas,MPQ Supply,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,Sum,MPQ Kemas,MPQ Supply
B-PT06-MO35G,MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g,100,2754,2764,0,3196,0,2754,0,2754,2754,2754,2754,0,2754,0,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,0,0,2754,135388,2754,2764
B-PT07-MO35G,MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g,60,1700,1710,0,5100,0,0,0,1700,1700,1700,1700,1700,3400,0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0,1700,112200,1700,1710
B-R3L01LB-W,Wardah Lightening Matte Powder 01 Light Beige 20 g,100,"4,878","4,888","4,872","9,744","4,878","9,756","4,878","9,756","9,756","4,878","9,756","14,634","14,634",0,"4,878","4,878","9,756","4,878","9,756","9,756","2,196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"143,640","4,878","4,888"
B-R3L02B-W,Wardah Lightening Matte Powder 02 Beige 20 g,100,"4,878","4,888","10,248","10,248","4,878","4,878","9,756","9,756","9,756","4,878","9,756","14,634","9,756",0,"4,878","9,756","4,878","9,756","4,878","9,756","4,878","6,060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"153,384","4,878","4,888"
B-R3L03I-W,Wardah Lightening Matte Powder 03 Ivory 20 g,100,4878,4888,4648,9296,0,4878,9756,4878,4878,4878,4878,4878,4878,0,4878,4878,4878,4878,4878,4878,4878,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92960,4878,4888
B-R3L04N-W,Wardah Lightening Matte Powder 04 Natural 20 g,100,4878,4888,9968,9968,0,9756,4878,4878,9756,4878,4878,9756,9756,0,4878,4878,9756,4878,4878,3476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111216,4878,4888
B-R4L01LB-W,Wardah Lightening Matte Powder 01 Neutral Fair (12N) 10 g,300,13944,14362,0,0,0,0,0,0,0,0,0,0,0,0,0,13944,0,27888,13944,0,0,0,0,0,0,0,0,0,0,0,13944,0,13944,13944,0,13944,0,13944,13944,13944,0,13944,13944,0,13944,0,13944,0,13944,13944,0,13944,13944,13944,13944,0,13944,13944,13944,0,13944,27888,0,0,0,13944,13944,13944,13944,0,13944,446208,13944,14362
B-R4L02B-W,Wardah Lightening Matte Powder 02 Neutral Beige (32N) 10 g,300,13944,14362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13944,0,0,0,0,0,c,0,0,0,13944,0,13944,13944,0,13944,13944,0,13944,13944,0,13944,13944,0,13944,13944,0,13944,0,13944,0,13944,13944,0,13944,13944,13944,0,13944,13944,13944,13944,0,13944,13944,13944,0,0,13944,13944,13944,0,13944,13944,13944,446208,13944,14362
B-R4L03I-W,Wardah Lightening Matte Powder 03 Warm Ivory (23W) 10 g,300,13944,14362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13944,0,0,0,0,0,0,0,0,0,0,13944,0,0,13944,0,13944,0,0,13944,0,0,13944,0,13944,0,13944,0,0,0,13944,0,0,13944,0,13944,0,13944,0,13944,0,0,13944,0,13944,13944,0,0,0,13944,0,0,13944,0,13944,264936,13944,14362
B-R4L04N-W,Wardah Lightening Matte Powder 04 Light Ivory (22N) 10 g,300,13944,14362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13944,0,0,0,0,0,0,0,0,0,0,13944,0,13944,0,13944,0,13944,0,13944,0,13944,0,13944,0,13944,0,13944,0,0,13944,0,13944,0,13944,0,13944,0,13944,13944,0,13944,0,13944,0,13944,0,0,13944,13944,0,13944,0,13944,0,320712,13944,14362
B-RBMLP01-EM,Emina Bare With Me Mineral Loose Powder 01 Fair 8 g,10,1176,1186,0,0,0,0,1176,0,0,0,1176,0,0,0,1176,0,0,0,0,1176,0,0,0,1176,0,0,0,0,1176,0,0,0,1176,0,0,0,1176,0,0,0,1176,0,0,0,1176,0,0,0,0,1176,0,0,0,1176,0,0,0,1176,0,0,0,1176,0,0,0,0,1176,0,0,0,0,17640,1176,1186
B-RBMLP02-EM,Emina Bare With Me Mineral Loose Powder 02 Light Beige 8 g,10,1176,1186,0,0,1176,0,1176,0,0,1176,0,1176,0,0,1176,0,0,1176,0,0,1176,0,1176,0,0,1176,0,0,1176,0,0,1176,0,1176,0,0,1176,0,0,1176,0,1176,0,0,1176,0,0,1176,0,1176,0,0,1176,0,0,1176,0,1176,0,0,1176,0,0,1176,0,0,1176,0,0,0,1176,29400,1176,1186
B-RBMLP03-EM,Emina Bare With Me Mineral Loose Powder 03 Amber 8 g,10,1176,1186,0,0,0,0,0,1176,0,0,0,0,1176,0,0,0,0,0,0,1176,0,0,0,0,1176,0,0,0,0,0,1176,0,0,0,0,0,1176,0,0,0,0,0,1176,0,0,0,0,1176,0,0,0,0,0,1176,0,0,0,0,0,1176,0,0,0,0,0,1176,0,0,0,0,0,12936,1176,1186
