"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","STIC-BOTAPBBR1-WCNF","Packaging Material","1.0","Pc(s)"
"","","DUS-APBBR1-WACLG","Packaging Material","1.0","Pc(s)"
"","","KB-W100BR2-KMM125BF","Packaging Material","0.02083","Pc(s)"
"L-REMO20-W","5","L-REMO20-BULK","Semi Finished Goods","0.0035","kg"
"","","CONT-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","CAPC-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","STIC-BTEMO20R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","DUS-EMOR0-WIMVG","Packaging Material","1.0","Pc(s)"
"","","STIC-BCEMO20R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","IBOX-12ELRLR1-W","Packaging Material","0.08333","Pc(s)"
"","","KB-WLER1-KMK125CF","Packaging Material","0.00694","Pc(s)"
"HBW-NFSETBWC15-W","1""","HBW-ETBWC-BULK","Semi Finished Goods","0.012","kg"
"","","BOTO-PETRF12-X","Packaging Material","1.0","Pc(s)"
"","","CAP-SRF12-X","Packaging Material","1.0","Pc(s)"
"","","STIC-SNFSBWRE-ELL","Packaging Material","1.0300229","Pc(s)"
"MY-LCUMKORA-W","1","L-CUMKORA-W","Finished Goods","1.0","Pc(s)"
"","","STIC-PACUMLR1-WM","Packaging Material","1.0","Pc(s)"
"","","KB-WIOTAR1-W","Packaging Material","0.00694","Pc(s)"
"MY-CUSIPA-W","1","CUS-IPA-W","Finished Goods","1.0","Pc(s)"
"","","STIC-PALLCR1-WM","Packaging Material","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Packaging Material","0.0208333","Pc(s)"
"HBW-ETBWAN2-W","1'","HBW-ETBWA-BULK","Semi Finished Goods","0.45","kg"
"","","PU-LED28BR0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-FBMBW450R0-ELL","Packaging Material","1.0","Pc(s)"
"","","STIC-BBMBW450R0-ELL","Packaging Material","1.0","Pc(s)"
"","","BOTO-PETE450-ELL","Packaging Material","1.0","Pc(s)"
"","","KB-WBETAR1-W","Packaging Material","0.0769231","Pc(s)"
"SRM-PB-W","1","SRM-PB-BULK","Semi Finished Goods","0.008","kg"
"","","TUBE-PBS8R0-W","Packaging Material","1.0","Pc(s)"
"","","PAP-PBS8R0-W","Packaging Material","1.0","Pc(s)"
"","","PLAS-VCBSS-EPET","Packaging Material","1.0","Pc(s)"
"","","KB-WLS60R1-KMM125","Packaging Material","0.0277778","Pc(s)"
"ES-PNU-MO10G","4","ES-PMEO-RP-MO1,25G","Semi Finished Goods","1.0","Pc(s)"
"","","ES-CV-RP-MO1,25G","Semi Finished Goods","1.0","Pc(s)"
"","","ES-CP-RP-MO1,25G","Semi Finished Goods","1.0","Pc(s)"
"","","ES-H-RP-MO1,25G","Semi Finished Goods","1.0","Pc(s)"
"","","ES-PNU-04-RP-MO1,25G","Semi Finished Goods","1.0","Pc(s)"
"","","ES-PNU-02-RP-MO1,25G","Semi Finished Goods","1.0","Pc(s)"
"","","ES-PMB-RP-MO1,25G","Semi Finished Goods","1.0","Pc(s)"
"","","ES-PNU-03-RP-MO1,25G","Semi Finished Goods","1.0","Pc(s)"
"","","CONT-ESPNR0-MO","Packaging Material","1.0","Pc(s)"
"","","BRUS-DEESR0-MOSH","Packaging Material","1.0","Pc(s)"
"","","PLAS-DMLPWNL-T01M115","Packaging Material","1.0","Pc(s)"
"","","STIC-BOTESPNR1-MO","Packaging Material","1.0","Pc(s)"
"","","PO-ESPR0-MOPE","Packaging Material","1.0","Pc(s)"
"","","DUS-ESPNR1-MO","Packaging Material","1.0","Pc(s)"
"","","KB-MOLCLR1-MO","Packaging Material","0.025","Pc(s)"
"MY-CUSIPF-W","1","CUS-IPF-W","Finished Goods","1.0","Pc(s)"
"","","STIC-PALLCR1-WM","Packaging Material","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Packaging Material","0.0208333","Pc(s)"
"REM-GOC-TA","4","REM-GOC-BULK","Semi Finished Goods","0.1","kg"
"","","TUBE-TGTO1C100R0-T","Packaging Material","1.0","Pc(s)"
"","","DUS-TGTO1C100R0-T","Packaging Material","1.0","Pc(s)"
"","","KB-SATURNUSR0-T","Packaging Material","0.0833333","Pc(s)"
"","","STIC-PINGDGTO1C100-T","Packaging Material","1.0","Pc(s)"
"","","STIC-SDGTO1C100-T","Packaging Material","1.0","Pc(s)"
"L-REMO43-W","5","L-REMO43-BULK","Semi Finished Goods","0.0035","kg"
"","","CONT-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","CAPC-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","STIC-BTEMO43R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","DUS-EMOR0-WIMVG","Packaging Material","1.0","Pc(s)"
"","","STIC-BCEMO43R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","IBOX-12ELRLR1-W","Packaging Material","0.08333","Pc(s)"
"","","KB-WLER1-KMK125CF","Packaging Material","0.00694","Pc(s)"
"P-SSHUE-L","2","FW-GS-L","Finished Goods","1.0","Pc(s)"
"","","M-BRERMC-L","Finished Goods","1.0","Pc(s)"
"","","SS-DUVSDE-L","Finished Goods","1.0","Pc(s)"
