"Last Updated on","Created on","Korporat Code","Internal Reference","Name","Internal Name","Material Type","Unit of Measure/Display Name","PO Conversion Coeff","Brand/Display Name","Source","NFG Type/Display Name","Type of RM/PM","Customized UOM PO/Display Name"
"2022-06-30 07:22:49","2022-06-17 02:23:12","STIC-BMLMP8R0-IP","STIC-BMLMP8R0-IP","Sticker Bottom Mattesetter Lip Matte Paint 08 Instaperfect,PP Transparent,1W,Black,d=14mm, Roll, Core3in,NoFinishing","Sticker Bottom Instaperfect Mattesetter Lip Matte Paint 08 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","STICKER","Irregular","Pc(s)"
"2021-09-22 04:51:25","2021-04-30 03:30:09","STIC-BFCKR3-MO","STIC-BFCKR3-MO","Sticker Face Contour Kit REV-3 Make Over,Matte Silver Foil,1W,D=2,5cm,Pond","Sticker Bottom Face Contour Kit R3 MO","Packaging Material","Pc(s)","0.0","Make Over","","STICKER","Irregular","Pc(s)"
"2021-11-29 01:54:16","2021-09-15 02:45:03","STIC-PIETWC01R0-W","STIC-PIETWC01R0-W","Sticker Penutup Ingredients Exclusive TWC 01 Wardah,PP Silver Matte,2W,23x70mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWC 01 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-11-29 01:45:10","2021-11-29 01:44:50","STIC-PIETWCR0-W","STIC-PIETWCR0-W","Sticker Penutup Ingredients Exclusive TWC 01-05 Wardah,PP Silver Matte,2W,23x70mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWC 01-05 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-11-29 01:54:01","2021-09-15 02:45:46","STIC-PIETWC02R0-W","STIC-PIETWC02R0-W","Sticker Penutup Ingredients Exclusive TWC 02 Wardah,PP Silver Matte,2W,23x70mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWC 02 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-11-29 01:54:43","2021-09-15 02:46:26","STIC-PIETWC03R0-W","STIC-PIETWC03R0-W","Sticker Penutup Ingredients Exclusive TWC 03 Wardah,PP Silver Matte,2W,23x70mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWC 03 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-11-29 01:55:09","2021-09-15 02:47:04","STIC-PIETWC04R0-W","STIC-PIETWC04R0-W","Sticker Penutup Ingredients Exclusive TWC 04 Wardah,PP Silver Matte,2W,23x70mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWC 04 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-11-29 01:55:43","2021-09-15 02:47:45","STIC-PIETWC05R0-W","STIC-PIETWC05R0-W","Sticker Penutup Ingredients Exclusive TWC 05 Wardah,PP Silver Matte,2W,23x70mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWC 05 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-09-22 04:50:25","2021-09-15 03:29:55","STIC-PIETWCR01R0-W","STIC-PIETWCR01R0-W","Sticker Penutup Ingredients Exclusive TWCR 01 Wardah,PP Silver Matte,2W,17.5x61mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWCR 01 W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
"2021-11-29 01:47:17","2021-11-29 01:45:38","STIC-PIETWCRR0-W","STIC-PIETWCRR0-W","Sticker Penutup Ingredients Exclusive TWCR 01-05 Wardah,PP Silver Matte,2W,17.5x61mm,NoFinishing","Sticker Penutup Ingredients Exclusive TWCR W","Packaging Material","Pc(s)","0.0","Wardah","","STICKER","Irregular","Pc(s)"
