"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Incoterms"
"","2200008","4","2","DELIVERED DUTY PAID"
"BOTO-PETRF60M-W","2200008","4","2","DELIVERED DUTY PAID"
"","2200008","4","2","DELIVERED DUTY PAID"
"BOTO-L100EEMUR1-WHD","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-L100EEMUR-WHD","2200036","6","2","DELIVERED DUTY PAID"
"","2200036","6","2","DELIVERED DUTY PAID"
"BOTO-L100GR0-W","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-L100TURR0-WPP","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-L200BLA-PP","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-L200NAT-PP","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-L450BLA-PP","2200028","5","2","DELIVERED DUTY PAID"
"","2200028","5","2","DELIVERED DUTY PAID"
"","2200028","5","2","DELIVERED DUTY PAID"
"BOTO-L450NAT-PP","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","4","2","DELIVERED DUTY PAID"
"","2200028","8","2","DELIVERED DUTY PAID"
"BOTO-L450WHI-PP","2200028","4","2","DELIVERED DUTY PAID"
"BOTO-L50EEMURR1-WHD","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-L50NAT-UPP","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"","2200036","4","2","DELIVERED DUTY PAID"
"BOTO-LLS-EPETG","2200006","16","2","FREE ON BOARD"
"","2200006","16","2","FREE ON BOARD"
"BOTO-MF01LR0-E","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"BOTO-MF02NR0-E","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"BOTO-MF03CR0-E","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"BOTO-MF04MR0-E","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"","2305884","4","2","DELIVERED DUTY PAID"
"BOTO-MUMGTBW-BD","2305884","2","2","DELIVERED DUTY PAID"
"BOTO-MUMSSBW-BD","2305884","2","2","DELIVERED DUTY PAID"
"BOTO-MUMYBW-BD","2305884","2","2","DELIVERED DUTY PAID"
