SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
SRM-NFSAN2-EM;Emina NFS Natura Pal Splash Serum 5 ml;;;Pc(s);5.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Emina;existing;;JTK02;OTHERS;OTHERS;OTHERS;SRM-NFSAN2-EM;a;x;;202219;202220;;;local;STD;False;;;;;False;;Pc(s);;;
SRM-NFSBRSRN2-L;LABORÉ Sensitive Skin Care NFS GentleBiome Barrier Repair Serum 7 ml;;;Pc(s);7.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Labore;;;JTK02;OTHERS;OTHERS;OTHERS;SRM-NFSBRSRN2-L;a;x;;202225;202233;;;local;STD;False;;;;;False;;Pc(s);;;
SRM-NFSL8-W;Sample Pajangan Wardah NFS Lightening Serum 8 ml;;;Pc(s);8.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;SRM-NFSL8-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
SRM-NFSRIH-W;Wardah NFS Hydra Rose Micro Gel Serum 1 ml;;;Pc(s);1.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;;;JTK02;OTHERS;OTHERS;OTHERS;SRM-NFSRIH-W;a;x;;;;;;local;STD;False;;;;;False;;Pc(s);;;
SS-NFSDUVSDE-L;LABORE Sensitive Skin Care NFS BiomeProtect Physical Sunscreen 10 ml;;;Pc(s);10.0;g;;g;;;48;KOLI;;PLT;;TRL;FG;sample;Labore;;;JTK02;OTHERS;OTHERS;OTHERS;SS-NFSDUVSDE-L;a;x;;202135;202139;;;local;STD;False;;;;;False;;Pc(s);;;
SS-NFSSBAT30-EM;Emina NFS Sun Battle SPF 30 PA+++ 12 ml;;;Pc(s);15.0;g;;g;;;96;KOLI;;PLT;;TRL;FG;sample;Emina;existing;;JTK06;OTHERS;OTHERS;OTHERS;SS-NFSSBAT30-EM;a;x;;202210;202217;;;local;STD;False;;;;;False;;Pc(s);;;
SS-NFSUVSSPF30-W;Sample Pajangan Wardah NFS UV Shield Sunscreen SPF 30;;;Pc(s);40.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;SS-NFSUVSSPF30-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
TC-NFSLLL02-W;Sample Pajangan Wardah NFS Lightening Powder Foundation Light Feel 02 Golden Beige 12 g;;;Pc(s);12.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;TC-NFSLLL02-W;a;x;;202148;202204;;;local;STD;False;;;;;False;;Pc(s);;;
TC-NFSLLL03-W;Sample Pajangan Wardah NFS Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g;;;Pc(s);12.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;TC-NFSLLL03-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
TC-NFSRLLL02-W;Sample Pajangan Wardah NFS Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g;;;Pc(s);12.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;TC-NFSRLLL02-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
