SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
DUS-CSGC1R1-MO;Dus Color Stick Gloss Crayon 101 Veronica R1 MO (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC1R1-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC1R2-MO;Dus Color Stick Gloss Crayon 101 Veronica R2 MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC1R2-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC2R0-MOILG;Dus Color Stick Gloss Crayon 102 Abigail MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC2R0-MOILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC2R1-MO;Dus Color Stick Gloss Crayon 102 Abigail R1 MO (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC2R1-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC2R2-MO;Dus Color Stick Gloss Crayon 102 Abigail R2 MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC2R2-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC3R0-MOILG;Dus Color Stick Gloss Crayon 103 Emma MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC3R0-MOILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC3R1-MO;Dus Color Stick Gloss Crayon 103 Emma R1 MO (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC3R1-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC3R2-MO;Dus Color Stick Gloss Crayon 103 Emma R2 MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC3R2-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC4R0-MOILG;Dus Color Stick Gloss Crayon 104 Chloe MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC4R0-MOILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC4R1-MO;Dus Color Stick Gloss Crayon 104 Chloe R1 MO (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC4R1-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC4R2-MO;Dus Color Stick Gloss Crayon 104 Chloe R2 MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC4R2-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC5R0-MOILG;Dus Color Stick Gloss Crayon 105 Jolene MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC5R0-MOILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC5R1-MO;Dus Color Stick Gloss Crayon 105 Jolene R1 MO (Pc(s));;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC5R1-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSGC5R2-MO;Dus Color Stick Gloss Crayon 105 Jolene R2 MO;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Make Over;;local;;;;;DUS-CSGC5R2-MO;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSIQ-EILD;Dus CSIQ;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSIQ-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSLQ-EILG;Dus CSLQ MFT Library Queen Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSLQ-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSLQADR0-EILG;Dus Dus CSLQ Art Day Emina;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSLQADR0-EILG;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
DUS-CSLQR1-EILD;DUS CSLQ R1 E;;;Pc(s);;g;;g;;;;KOLI;;PLT;;TRL;PM;;Emina;;local;;;;;DUS-CSLQR1-EILD;;;;;;;;;;;;;;;;DUS;Pc(s);;;irregular
