SKU code;Supplier code;Percentage;Supplier lead time;QC lead time;MOQ;Lot size;Supplier description;No;Material start date;Material end date
SILI-345-DC-K;2100057;1;16;2;195;195;Mega Setia Agung Kimia, PT;1383;202104;
SILI-4515-;2100050;1;16;2;180;180;Kemiko Indonesia, PT;1384;202104;
SILI-556-DC-K;2100057;1;24;2;200;200;Mega Setia Agung Kimia, PT;1385;202104;
SILI-6561-X;2100041;1;12;2;190;190;Indokemika Jayatama, PT;1386;;
SILI-949-;2100057;1;24;2;200;200;Mega Setia Agung Kimia, PT;1387;202104;
SILI-9546-EDC;2100057;1;24;2;180;180;Mega Setia Agung Kimia, PT;1388;202104;
SILI-AXU3-X;2100021;1;20;2;100;100;DKSH Indonesia, PT;1389;202104;
SILI-B551HP-X;2100021;1;20;2;20;20;DKSH Indonesia, PT;1390;;
SILI-BDM2-X;2100021;1;20;2;5;5;DKSH Indonesia, PT;1391;202104;
SILI-BDM3-X;2100021;1;20;2;190;190;DKSH Indonesia, PT;1392;;
SILI-BDP-X;2100021;1;20;2;150;150;DKSH Indonesia, PT;1393;202104;
SILI-BE6-X;2100021;1;20;2;25;25;DKSH Indonesia, PT;1394;202104;
SILI-BEGAEIB-X;2100021;1;20;2;15;15;DKSH Indonesia, PT;1395;202108;
SILI-BEL803-X;2100021;1;20;2;14;14;DKSH Indonesia, PT;1396;202104;
SILI-BELEG5-X;2100021;1;20;2;15;15;DKSH Indonesia, PT;1397;202104;
SILI-BLSEGAB-X;2100021;1;20;2;150;25;DKSH Indonesia, PT;1398;202132;
SILI-BPF-X;2100021;1;20;2;25;25;DKSH Indonesia, PT;1399;202128;
SILI-CDM10-X;2100085;1;12;2;16;16;Tritunggal Artha Makmur, PT;1400;202104;
SILI-CES1104-X;2100006;1;28;2;16;16;Bahtera Adi Jaya, PT;1401;202104;
SILI-CMSF600-X;2100052;1;14;2;20;20;Lautan Luas, PT;1402;202104;
SILI-D2-TSFST-K;2100050;1;16;2;200;200;Kemiko Indonesia, PT;1403;202104;
SILI-D5225F-X;2100057;1;24;2;200;200;Mega Setia Agung Kimia, PT;1404;202104;
SILI-D85-DC;2100031;1;2;2;20;20;Global Chemindo Megatrading, PT;1405;202104;
SILI-D9SEB-X;2100057;1;24;2;180;180;Mega Setia Agung Kimia, PT;1406;202104;
SILI-DC-PSFCS-X;2100057;1;16;2;170;170;Mega Setia Agung Kimia, PT;1407;202104;
SILI-DC749--X;2100057;1;16;2;20;20;Mega Setia Agung Kimia, PT;1408;202104;
SILI-DC9045-X;2100057;1;24;2;15;15;Mega Setia Agung Kimia, PT;1409;202104;
SILI-DCF-ID-X;2100057;1;24;2;15;15;Mega Setia Agung Kimia, PT;1410;202104;
SILI-DCMQ1600-X;2100057;1;24;2;20;20;Mega Setia Agung Kimia, PT;1411;202104;
SILI-DM65-X;2100062;1;14;2;25;25;Nardevchem Kemindo, PT;1412;;
SILI-ECDC-X;2100041;1;12;2;18;18;Indokemika Jayatama, PT;1413;202131;
SILI-EL7040-X;2100057;1;24;2;14;14;Mega Setia Agung Kimia, PT;1414;202104;
SILI-FZ3196-X;2100057;1;24;2;15;15;Mega Setia Agung Kimia, PT;1415;202104;
SILI-GDSB-X;2100040;1;12;2;18;18;IMCD Indonesia, PT;1416;202104;
SILI-GPUQ-X;2100040;1;18;2;20;20;IMCD Indonesia, PT;1417;;
SILI-GRPSQ-X;2100040;1;18;2;20;20;IMCD Indonesia, PT;1418;202107;
SILI-GVX419-X;2100040;1;12;2;18;18;IMCD Indonesia, PT;1419;202104;
SILI-KF54HV-X;2100058;1;12;2;18;18;Menjangan Sakti, PT;1420;202146;
SILI-KFFA-X;2100058;1;16;2;18;18;Menjangan Sakti, PT;1421;202104;
SILI-KP56P-X;2100058;1;12;2;16;16;Menjangan Sakti, PT;1422;202127;
SILI-KSGFT-X;2100058;1;8;2;16;16;Menjangan Sakti, PT;1423;202140;
SILI-KSP1-X;2100058;1;16;2;10;10;Menjangan Sakti, PT;1424;202104;
SILI-KSPO-X;2100058;1;16;2;15;15;Menjangan Sakti, PT;1425;202104;
SILI-MCMA-X;2100085;1;12;2;190;190;Tritunggal Artha Makmur, PT;1426;202131;
SILI-SF15-X;2100050;1;16;2;5;5;Kemiko Indonesia, PT;1427;202104;
SILI-SF16-;2100050;1;16;2;20;20;Kemiko Indonesia, PT;1428;202104;
SILI-SFCM56-X;2100005;1;16;2;190;190;Avantchem, PT;1429;202104;
SILI-SFE-GE;2100050;1;16;2;13.62;13.62;Kemiko Indonesia, PT;1430;202104;
SILI-SP105-X;2100055;1;16;7;15;15;Marga Dwi Kencana, PT;1431;202104;
SILI-SRSPD72-X;2100005;1;18;2;18;18;Avantchem, PT;1432;202104;
SILI-SSBAPD-X;2100050;1;16;2;10;10;Kemiko Indonesia, PT;1433;202104;
SILI-SSEM105-X;2100083;1;8;2;180;180;Tigaka Distrindo Perkasa, PT;1434;202104;
SILI-SSFM-X;2100005;1;16;2;15;15;Avantchem, PT;1435;202104;
SILI-TSF3-;2100050;1;16;2;200;200;Kemiko Indonesia, PT;1436;202104;
SILI-VLSL-X;2100062;1;20;2;192.7;192.7;Nardevchem Kemindo, PT;1437;;
SILI-XM344CB-X;2100031;1;24;2;195;195;Global Chemindo Megatrading, PT;1438;202104;
SILI-XM344CB-X;2100057;1;24;2;195;195;Mega Setia Agung Kimia, PT;1439;202104;
SILS-034-X;2100050;1;16;2;168;168;Kemiko Indonesia, PT;1440;202104;
SMG-S600-X;2100057;1;16;2;30;30;Mega Setia Agung Kimia, PT;1441;202104;
SNSP-SIH51-X;2100050;1;12;2;20;20;Kemiko Indonesia, PT;1442;202104;
SODA-C-ASA;2100041;1;12;2;25;25;Indokemika Jayatama, PT;1443;202104;
SODI-BROMSUB201-X;2100057;1;16;2;50;50;Mega Setia Agung Kimia, PT;1444;202104;
SOLP-100LQ-X;2308095;1;16;2;25;25;Croda Trading Indonesia, PT;1445;202104;
SOLV-2PEEPH-MO;2100093;1;18;7;25;25;Merck Indonesia, PT;1446;202104;
SOLV-BGKHN-X;2100050;1;12;2;1000;200;Kemiko Indonesia, PT;1447;202136;
SOLV-DEASB-X;2308490;1;2;2;1000;200;Sumber Kita Indah, PT;1448;202107;
SOLV-MFLMOD-X;2100099;1;24;2;182;182;Connell Bersaudara Chemindo, PT;1449;202124;
SOLV-PRIHD-X;2100021;1;12;2;160;160;DKSH Indonesia, PT;1450;202138;
SQUA-AMYR-X;2100040;1;18;2;17;17;IMCD Indonesia, PT;1451;202104;
SQUA-PRT-X;2100060;1;2;2;25;25;Merpati Mahardika, PT;1452;202104;
STA--C18-K;2100041;1;8;2;100;20;Indokemika Jayatama, PT;1453;202104;
STAY--DSMR-K;2100058;1;12;2;20;5;Menjangan Sakti, PT;1454;202104;
STEA-A-EST05M;2100036;1;12;2;25;25;Green Innovation Sejati, PT;1455;202104;
STEA-A-EST05M;2100105;0;12;2;1200;25;Cakraindo Mitra Internasional, PT;1456;;
STEA-DSP300-X;2100062;1;20;2;20;20;Nardevchem Kemindo, PT;1457;202104;
STEA-EDRMMY-X;2100036;1;12;2;25;25;Green Innovation Sejati, PT;1458;;
SUB-FL-X;2100071;1;20;7;1;1;Pitala Gunawan Raya, PT;1459;202104;
SUCR-AC01-X;2100070;1;16;2;215.4;215.4;Pintu Mas Mulia Kimia, PT;1460;202107;
SUN-MP-X;2100057;1;16;2;20;20;Mega Setia Agung Kimia, PT;1461;202104;
SUNP-170-X;2100057;1;12;2;10;10;Mega Setia Agung Kimia, PT;1462;202104;
SUNP-EPU-2X-X;2100057;1;12;2;20;20;Mega Setia Agung Kimia, PT;1463;202104;
SUNS-HYAB-X;2100057;1;16;2;20;20;Mega Setia Agung Kimia, PT;1464;202104;
SUNS-PEHS-X;2100058;1;10;7;25;25;Menjangan Sakti, PT;1465;202104;
