SKU code;Packing line code;DATE;Qty
L-CHC05-MO;LIP08;202211;744
L-CHC06-MO;LIP08;202210;744
L-CHC07-MO;LIP12;202210;744
L-CHC08-MO;LIP08;202210;3988.73
L-CHC09-MO;LIP08;202211;531
L-CHC10-MO;LIP08;202211;540
L-CM02-EM5.5GR;BTP02;202211;2304
L-CM03-EM5.5GR;BTP02;202211;2304
L-CM09-EM5.5GR;LIP11;202211;2304
L-CM10-EM5.5GR;BTP02;202211;2304
L-CM11-EM5.5GR;BTP02;202211;2304
L-CSGC101-MO;LIP10;202210;156
L-CSGC102-MO;LIP06;202210;157
L-CSGC104-MO;LIP10;202210;12
L-CSGC104-MO;LIP10;202211;813
L-CSGC104-MO;LIP12;202210;16
L-CSGC105-MO;LIP06;202210;111
L-CUM05-W;LIP12;202210;864
L-CUM05-W;ALP03;202210;4504
L-CUM07-W;ALP03;202210;2226
L-CUMKORB-W;ALP03;202210;3924
L-CUMKORB-W;LIP08;202210;204
L-CUMKORB-W;ALP03;202210;4592
L-CUMKORB-W;ALP03;202210;4320
L-CUMKORC-W;ALP03;202210;4375
L-CUMKORC-W;ALP03;202211;2490
L-CUMKORC-W;LIP12;202211;1800
L-CUMKORD-W;ALP03;202210;4303
L-CUMKORE-W;ALP03;202210;4348
L-CUMKORE-W;ALP03;202211;948
L-CUMKORE-W;LIP12;202211;3540
L-CUMKORE-W;LIP12;202211;7644
L-CVM012-W;LIP18;202210;4176
L-CVM012-W;LIP18;202211;5.808
L-CVM012-W;LIP18;202211;9984
L-CVM01-W;LIP18;202211;9984
L-CVM04-W;LIP18;202210;3184
L-CVM05-W;LIP18;202210;9984
L-CVM05-W;LIP18;202211;9984
L-CVM08-W;LIP18;202211;9813
L-CVM09-W;LIP18;202211;603
L-EMC01-W4GR;BTP04;202211;5556
L-EMC01-W4GR;LIP18;202211;4320
L-EMC03-W4GR;LRP01;202211;1008
L-EMC03-W4GR;LIP18;202210;9876
L-EMC03-W4GR;LRP01;202211;18288
L-EMC04-W4GR;BTP02;202211;9364
L-EMC04-W4GR;LRP01;202211;512
L-EMC05-W4GR;BTP04;202211;9876
L-EMC07-W4GR;LRP01;202210;16848
L-EMC07-W4GR;LRP01;202211;1440
L-EMC08MM-W;BTP04;202211;1080
L-EMC08-W4GR;LRP01;202210;18288
L-EMC11-W4GR;LIP18;202211;9876
L-EMC13-W4GR;BTP04;202211;18288
L-EMC17-W4GR;LRP01;202210;7048
L-EVCL01-W5.5G;EMP16;202211;17856
L-EVCL02-W5.5G;EMP15;202211;4128
L-EVCL03-W5.5G;EMP15;202210;7608
L-EVCL03-W5.5G;EMP15;202210;7680
L-EVLCR1-W;LIP11;202210;6419
L-EVLCR2-W;LIP11;202210;6276
L-EVLCR3-W;BTP04;202210;3093
L-EVLCR3-W;BTP04;202210;6529
L-EVLCR3-W;BTP04;202210;6529
L-EVLCR3-W;LRP01;202211;6529
L-EVLCR5-W;LIP11;202210;6529
L-EVLCR5-W;LIP11;202210;6514
L-EVLCR5-W;BTP02;202211;768
L-EVLCR5-W;LIP06;202211;56
L-EVLCR5-W;LIP11;202210;5628
L-GS04-EM;EMP15;202211;28080
L-GS05-EM;EMP15;202210;3264
L-GS05-EM;EMP16;202210;384
L-GS05-EM;EMP15;202210;29163
L-HSLWH-MO;BTP02;202211;2016
L-IMC003-MO6,5G;BTP02;202211;2016
L-IMC003-MO6,5G;JRP02;202210;2016
L-IMC003-MO6,5G;JRP02;202211;2016
L-IMC004-MO6,5G;BTP02;202210;2016
L-IMC007-MO6,5G;JRP02;202211;2016
L-IMC008-MO6,5G;BTP02;202211;2016
L-IMC010-MO6,5G;BTP02;202210;108
L-IMC010-MO6,5G;SAP01;202210;300
L-IMC010-MO6,5G;BTP02;202210;300
L-IMC010-MO6,5G;SAP01;202210;0
L-IMC010-MO6,5G;SAP01;202211;300
L-IMC011-MO6,5G;BTP02;202210;2016
L-IMC013-MO6,5G;BTP02;202210;300
L-IMC013-MO6,5G;BTP02;202210;300
L-IMC013-MO6,5G;LIP11;202210;300
L-IMC013-MO6,5G;FOP03;202210;48
L-IMC013-MO6,5G;LIP18;202210;252
L-IMC015-MO6,5G;FOP03;202210;336
L-IMC017-MO6,5G;SAP01;202210;336
L-IPCS02-W;EMP16;202210;600
L-IPCS04-W;EMP16;202210;624
L-IPEI02-W;BTP02;202210;2640
L-IPEI04-W;SAP01;202211;444
L-IPEI04-W;SAP01;202211;444
L-IPEI05-W;SAP01;202211;444
L-IPEI05-W;LIP18;202211;228
L-IPEI08-W;LIP06;202211;0
L-IPEI08-W;LIP08;202211;444
L-IPEI08-W;LIP08;202211;444
L-IPMC03-W3G;LIP08;202211;1163
L-IPMC04-W3G;LIP12;202210;1180
L-IPMC06-W3G;LIP12;202210;1039
L-IPMMS03-W3.5G;LIP06;202210;624
L-IPMMS05-W3.5G;LIP06;202210;696
L-LL01-W2.3G;LIP06;202211;1620
L-LL03-W2.3G;LIP06;202211;1620
L-LL08-W2.3G;LIP06;202211;1728
L-LL09-W2.3G;LIP06;202211;1728
L-LL09-W2.3G;LIP06;202211;1032
L-LL10-W2.3G;LIP12;202210;1670
L-MLCA-OMG;VSN03;202210;11832
L-MLCB-OMG;VSN01;202210;3600
L-MLCC-OMG;VSN03;202210;12024
L-MLCF-OMG;VSN01;202210;3600
L-MLCF-OMG;VSN01;202210;3648
L-MLCF-OMG;VSN01;202211;3624
L-MLCF-OMG;VSN01;202211;3636
L-MLCG-OMG;VSN01;202211;3624
L-MLCH-OMG;VSN01;202210;11916
L-MLCI-OMG;VSN01;202210;3648
L-MLCI-OMG;VSN01;202211;3648
L-MLCJ-OMG;VSN03;202210;11928
L-MLCJ-OMG;VSN03;202210;12120
L-MLCJ-OMG;VSN03;202211;12060
L-MLCK-OMG;VSN03;202210;12012
L-MLCK-OMG;VSN03;202211;11976
L-MLCK-OMG;VSN03;202211;12024
L-MLCL-OMG;VSN03;202210;12060
L-MLCL-OMG;VSN03;202211;12084
L-MLCL-OMG;VSN03;202211;6768
L-NLCA-EM;LIP18;202210;1992
L-NLCA-EM;LRP01;202210;14884
L-NLCXCA-EM;LIP11;202211;200
L-PGTC-MO;BTP02;202211;2151
L-PTMC01-MO;BTP02;202210;1084.752
L-PTMC01-MO;LIP06;202210;72
L-PTMC01-MO;BTP02;202210;1870
L-PTMC01-MO;VMP13;202210;12975
L-PTMC02-MO;VMP10;202210;2719
L-PTMC03-MO;BTP02;202210;5904
L-PTMC03-MO;VMP10;202210;3452
L-PTMC03-MO;VMP10;202210;85
