"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Percentage","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Min Qty","Variant Seller/Lot Size","Variant Seller/Vendor/Display Name","Variant Seller/Purchase Start Date","Variant Seller/Purchase End Date","Variant Seller/Incoterms","Variant Seller/Company/Display Name"
"ATG-71-X","2100058","1.0","18","2","37.5","37.5","MENJANGAN SAKTI, PT","2021-01-25","2022-02-25","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100058","1.0","24","2","37.5","37.5","MENJANGAN SAKTI, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"EMUL-AMPK-","2100085","1.0","12","2","25.0","25.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-25","2022-02-01","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100085","1.0","12","2","25.0","25.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ANTA---K","2100021","1.0","20","2","49.9","49.9","DKSH INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"FLMR-AV2F-X","2100021","1.0","20","2","20.0","20.0","DKSH INDONESIA, PT","2022-01-03","2022-01-14","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100021","1.0","20","2","20.0","20.0","DKSH INDONESIA, PT","2022-01-03","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100021","1.0","20","2","20.0","20.0","DKSH INDONESIA, PT","2022-01-03","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"MOIS-APCAPGA-X","2100055","1.0","8","","10.0","10.0","MARGA DWI KENCANA, PT","","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"WAX-ACG-X","2100042","1.0","20","2","25.0","25.0","INFINISIA SUMBER SEMESTA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"THIC-AK10SNFC-X","2100050","1.0","20","7","20.0","20.0","KEMIKO INDONESIA, PT","","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"AQUA-G35-X","2100041","1.0","12","2","35.0","35.0","INDOKEMIKA JAYATAMA, PT","2021-02-15","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SILI-LARAIR-X","2100050","1.0","2","2","5.0","5.0","KEMIKO INDONESIA, PT","2021-01-25","2021-05-09","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SAMP-AQXY-X","2100057","1.0","6","2","0.1","0.1","MEGA SETIA AGUNG KIMIA, PT","","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"OIL-ARG-X","2100058","1.0","12","2","10.0","10.0","MENJANGAN SAKTI, PT","2021-01-25","2022-02-03","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100058","1.0","20","2","10.0","10.0","MENJANGAN SAKTI, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100058","1.0","12","2","10.0","10.0","MENJANGAN SAKTI, PT","2021-01-25","2022-02-25","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTI-APSC-X","2100044","1.0","10","7","1.0","1.0","INTERCHEM PRIMA MITRA, PT","2021-01-25","2022-07-14","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100044","1.0","10","7","1.0","1.0","INTERCHEM PRIMA MITRA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"THIC-ARAVC-","2300947","1.0","28","2","25.0","25.0","CLARIANT INDONESIA, PT","2021-01-25","2022-01-14","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2300947","1.0","28","2","25.0","25.0","CLARIANT INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2300947","1.0","28","2","25.0","25.0","CLARIANT INDONESIA, PT","2021-01-25","2021-12-29","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"THIC-ARVLT-X","2300947","1.0","28","2","25.0","25.0","CLARIANT INDONESIA, PT","2021-01-25","2021-12-29","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2300947","1.0","28","2","25.0","25.0","CLARIANT INDONESIA, PT","2021-01-25","2022-02-02","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2300947","1.0","28","2","25.0","25.0","CLARIANT INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ARLA-165--K","2308095","1.0","20","2","25.0","25.0","CRODA TRADING INDONESIA, PT","2021-01-25","2022-02-03","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2308095","1.0","20","2","25.0","25.0","CRODA TRADING INDONESIA, PT","2021-01-25","2022-04-19","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2308095","1.0","20","2","25.0","25.0","CRODA TRADING INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ARMO-HD--K","2308095","1.0","20","2","160.0","160.0","CRODA TRADING INDONESIA, PT","2021-01-25","2022-02-03","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
