Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Korporat Code
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,SILI-2005-DC-K,0.005
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,PEN-SENSC50-X,0.004
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,ACTM-CTLA-X,0.0001
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,PARF-AMSKLG-X,0.0001
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,WARN-COGO--K,0.009448
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,WARN-CLRG-X,0.000406
B-CLCLPA-W/B-CLCLPA-BULK,B-CLCLPA-BULK/FS.RND.W0293.00,WARN-ABIO-X,0.00034
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,TALC-OSBRTPD-X,0.697785
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,CORN-SUNAR-X,0.2
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,TITA-C-STCR5-K,0.04
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,SERI-S-D-K,0.02
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,ZINC-STW-X,0.01
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,PEN-PRSVPE-X,0.008
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,SILI-2005-DC-K,0.005
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,PEN-SENSC50-X,0.004
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,ACTM-CTLA-X,0.0001
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,PARF-AMSKLG-X,0.0001
B-CLCLPB-W/B-CLCLPB-BULK,B-CLCLPB-BULK/FS.RND.W0294.00,WARN-COGO--K,0.011053
