LIFE CYCLE,FACTORY,Kode Item Baru,Nama Item,MPQ Olah,MPQ Kemas,MPQ Supply,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024,MPQ Kemas,MPQ Supply,Sum
existing,Powder factory,B-PMT-MO11G,MAKE OVER Powerstay Mattifying Transparent Powder 11 g,10,672,692,672,1344,0,0,672,0,672,672,1344,672,672,0,672,672,672,672,672,0,672,672,672,672,672,0,672,672,672,672,0,672,672,672,672,672,0,672,672,672,672,672,672,0,672,672,672,672,672,0,672,672,672,672,672,0,672,672,672,672,672,0,672,672,672,672,672,0,0,0,0,672,692,"36,960"
existing,Powder factory,B-PT01-MO35G,MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s)),100,2720,2740,5440,2720,0,2720,2720,2720,5440,2720,2720,2720,2720,5440,2720,2720,2720,2720,2720,5440,2720,2720,2720,2720,5440,2720,2720,2720,2720,5440,2720,2720,2720,2720,5440,2720,2720,2720,2720,5440,2720,2720,2720,2720,2720,5440,2720,2720,2720,2720,5440,2720,2720,2720,2720,5440,2720,2720,2720,2720,5440,2720,2720,2720,2720,5440,2720,0,0,0,0,2720,2740,"209,440"
existing,Powder factory,B-PT02-MO35G,MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s)),100,2720,2740,2720,2720,0,2720,2720,2720,2720,2720,0,2720,2720,2720,2720,2720,0,2720,2720,2720,2720,2720,2720,0,2720,2720,2720,2720,2720,0,2720,2720,2720,2720,2720,2720,0,2720,2720,2720,2720,2720,2720,0,2720,2720,2720,2720,2720,0,2720,2720,2720,2720,2720,2720,0,2720,2720,2720,2720,2720,0,2720,2720,2720,2720,0,0,0,0,2720,2740,"149,600"
existing,Powder factory,B-PT03-MO35G,MAKE OVER Silky Smooth Translucent Powder 03 Champagne 35 g (Pc(s),60,1666,1686,"1,666",0,0,0,0,0,"1,666",0,0,"1,666",0,0,0,"1,666",0,0,"1,666",0,0,"1,666",0,0,0,"1,666",0,0,"1,666",0,0,0,"1,666",0,0,"1,666",0,0,"1,666",0,0,0,"1,666",0,0,"1,666",0,0,"1,666",0,0,0,"1,666",0,0,"1,666",0,0,0,"1,666",0,0,"1,666",0,0,"1,666",0,0,0,0,0,1666,1686,"31,654"
existing,Powder factory,B-PT04-MO35G,MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s)),20,510,530,"1,020",0,0,0,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,0,0,0,510,530,"23,460"
existing,Powder factory,B-PT05-MO35G,MAKE OVER Silky Smooth Translucent Powder 05 Snow 35 g (Pc(s)),60,1598,1618,0,"1,598",0,"1,598",0,"1,598",0,"1,598",0,"1,598","1,598",0,"1,598",0,"1,598",0,"1,598",0,"1,598","1,598",0,"1,598",0,"1,598",0,"1,598",0,"1,598","1,598",0,"1,598",0,"1,598",0,"1,598",0,"1,598",0,"1,598","1,598",0,"1,598",0,"1,598",0,"1,598",0,"1,598","1,598",0,"1,598",0,"1,598",0,"1,598",0,"1,598","1,598",0,"1,598",0,"1,598",0,"1,598",0,0,0,0,0,1598,1618,"55,930"
existing,Powder factory,B-PT06-MO35G,MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g,100,2720,2740,"2,720","2,720",0,"2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","5,440","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720","2,720",0,0,0,0,2720,2740,"176,800"
existing,Powder factory,B-PT07-MO35G,MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g,100,2754,2774,"2,720","2,720",0,0,0,"2,754","2,754",0,"2,754","2,754",0,"2,754","2,754","2,754",0,"2,754","2,754",0,"2,754","2,754","2,754",0,"2,754","2,754",0,"2,754","2,754","2,754",0,"2,754","2,754",0,"2,754","2,754","2,754",0,"2,754","2,754",0,"2,754","2,754",0,"2,754","2,754","2,754",0,"2,754","2,754",0,"2,754","2,754","2,754",0,"2,754","2,754",0,"2,754","2,754","2,754",0,"2,754","2,754",0,"2,754","2,754",0,0,0,0,2754,2774,"123,862"
existing,Powder factory,B-R3L01LB-W,Wardah Lightening Matte Powder 01 Light Beige 20 g,100,4788,4808,0,"9,576","4,788","9,576","4,788","9,576","4,788",448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4788,4808,"43,540"
existing,Powder factory,B-R3L02B-W,Wardah Lightening Matte Powder 02 Beige 20 g,100,4788,4808,9576,9576,4788,4788,9576,9492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4788,4808,"47,796"
