Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,Tidak ada BOM,Sediaan,Cek Bundling,Closing Level 1,Closing Level 2,Closing Level 3,Cek Closing Lvl1,Cek Closing Lvl2
FW-BSW-EM/2,FW-BSW-EM,KB-EAR0-KMM125,Packaging Material,0.02,Pc(s),STIC-VPCTWCR03R1-MO,Liquid factory,FW-BSW-EM,FW-BSW-EM,,,TUBE-RYFW100R0-WPBL,
FW-BSW-EM/2,FW-BSW-EM,TUBE-BSWFW50R1-EPBL,Packaging Material,1,Pc(s),STIC-VPCTWCR04R1-MO,Liquid factory,FW-BSW-EM,FW-BSW-EM,,,FW-RWSABHA-BULK,
FW-CD-W100ML/5,FW-CD-W100ML,FW-CD-BULK,Semi Finished Goods,0.1,kg,STIC-VPCTWCR05R1-MO,Liquid factory,FW-CD-W100ML,FW-CD-W100ML,,,KB-WT100R1-KMM125BF,
FW-CD-W100ML/5,FW-CD-W100ML,KB-WT100R1-KMM125BF,Packaging Material,0.03333,Pc(s),STIC-VPCTWCR08R1-MO,Liquid factory,FW-CD-W100ML,FW-CD-W100ML,,,TUBE-CSFCNAP100R1-W,
FW-CD-W100ML/5,FW-CD-W100ML,TUBE-CDECW100R1-W2L,Packaging Material,1,Pc(s),STIC-VPDCPFTLBR0-T,Liquid factory,FW-CD-W100ML,FW-CD-W100ML,,,TUBE-CSFCNAP20R1-W,
FW-CD-W60ML/6,FW-CD-W60ML,FW-CD-BULK,Semi Finished Goods,0.06,kg,STIC-VPDCPFTMCR0-T,Liquid factory,FW-CD-W60ML,FW-CD-W60ML,,,FW-RWSABHA-BULK,
FW-CD-W60ML/6,FW-CD-W60ML,KB-K100R1-W,Packaging Material,0.02778,Pc(s),STIC-VPDCPFTSBR0-T,Liquid factory,FW-CD-W60ML,FW-CD-W60ML,,,FW-SB-BULK,
FW-CD-W60ML/6,FW-CD-W60ML,TUBE-CDECW60R1-W2L,Packaging Material,1,Pc(s),STIC-VPDCPFTSLR0-T,Liquid factory,FW-CD-W60ML,FW-CD-W60ML,,,TUBE-SBFW60R1-W2L,
FW-CDEWN1-W/3,FW-CDEWN1-W,TUBE-CDEWF50R2-W,Packaging Material,1,Pc(s),STIC-VPDCPFTSNR0-T,Liquid factory,FW-CDEWN1-W,FW-CDEWN1-W,,,KB-K100R1-W,
FW-CDEWN1-W/3,FW-CDEWN1-W,FW-CDEWN-BULK,Semi Finished Goods,0.05,kg,STIC-VPDCPFTWFR0-T,Liquid factory,FW-CDEWN1-W,FW-CDEWN1-W,,,FW-SBRDBL-BULK,
FW-CDEWN1-W/3,FW-CDEWN1-W,KB-K100R1-W,Packaging Material,0.02,Pc(s),STIC-VPVLS1R0-MO,Liquid factory,FW-CDEWN1-W,FW-CDEWN1-W,,,KB-EAR0-KMM125,
FW-CDEWN2-W/2,FW-CDEWN2-W,TUBE-CDEWF100R1-W,Packaging Material,1,Pc(s),STIC-VPVLS3R0-MO,Liquid factory,FW-CDEWN2-W,FW-CDEWN2-W,,,TUBE-SBBUFWR0-E,
FW-CDEWN2-W/2,FW-CDEWN2-W,FW-CDEWN-BULK,Semi Finished Goods,0.1,kg,STIC-VPVLS4R0-MO,Liquid factory,FW-CDEWN2-W,FW-CDEWN2-W,,,FW-SBRDBR-BULK,
FW-CDEWN2-W/2,FW-CDEWN2-W,KB-WT100R1-KMM125BF,Packaging Material,0.02857,Pc(s),STIC-VPVLS5R0-MO,Liquid factory,FW-CDEWN2-W,FW-CDEWN2-W,,,KB-EAR0-KMM125,
FW-CFW-W/1,FW-CFW-W,PS-SABER0-WBOPP,Packaging Material,0.00107,kg,STIC-VPVLS6R1-MO,Liquid factory,FW-CFW-W,FW-CFW-W,,,TUBE-SBDBFWR0-E,
FW-CFW-W/1,FW-CFW-W,TUBE-CLMRCF100-W,Packaging Material,1,Pc(s),STIC-VPVLS7R0-MO,Liquid factory,FW-CFW-W,FW-CFW-W,,,HBL-AHMG-BULK,
FW-CFW-W/1,FW-CFW-W,FW-CFW-BULK,Semi Finished Goods,0.1,kg,STIC-VPVLS8R1-MO,Liquid factory,FW-CFW-W,FW-CFW-W,,,TUBE-AHMG100L-W2L,
FW-CFW-W/1,FW-CFW-W,KB-WT100R1-KMM125BF,Packaging Material,0.05,Pc(s),STIC-VPWLF24HC21-MO,Liquid factory,FW-CFW-W,FW-CFW-W,,,KB-WT100R1-KMM125BF,
