"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)"
"","","DUS-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","STIC-VMFPFR22R0-IP","Regular","1.0","Pc(s)"
"","","STIC-PAAR1-WM","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.0208333","Pc(s)"
"MY-TCIPPF03-W","2 (INLINE)","TC-IPPF03-BULK","Bulk","0.013","kg"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","CONT-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","STIC-BMFPFR32R0-IP","Regular","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)"
"","","DUS-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","STIC-VMFPFR32R0-IP","Regular","1.0","Pc(s)"
"","","STIC-PAAR1-WM","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.0208333","Pc(s)"
"MY-TCIPPF04-W","2 (INLINE)","TC-IPPF04-BULK","Bulk","0.013","kg"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","CONT-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","STIC-BMFPFR33R0-IP","Regular","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)"
"","","DUS-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","STIC-VMFPFR33R0-IP","Regular","1.0","Pc(s)"
"","","STIC-PAAR1-WM","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.0208333","Pc(s)"
"MY-TCIPPF05-W","2 (INLINE)","TC-IPPF05-BULK","Bulk","0.013","kg"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","CONT-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","STIC-BMFPFR43R0-IP","Regular","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)"
"","","DUS-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","STIC-VMFPFR43R0-IP","Regular","1.0","Pc(s)"
"","","STIC-PAAR1-WM","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.0208333","Pc(s)"
"MY-TCIPPF06-W","2 (INLINE)","TC-IPPF06-BULK","Bulk","0.013","kg"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)"
"","","CONT-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","Regular","1.0","Pc(s)"
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)"
"","","STIC-BMFPFR52R0-IP","Regular","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)"
"","","DUS-MFPFRR0-IP","Regular","1.0","Pc(s)"
"","","STIC-VMFPFR52R0-IP","Regular","1.0","Pc(s)"
"","","STIC-PAAR1-WM","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.0208333","Pc(s)"
"M-CSAOC-W","11","DUS-BCSAOCR1-W","Regular","1.0","Pc(s)"
"","","LEAF-CRYSAOCR0-W","Regular","1.0","Pc(s)"
"","","SPT-CRYSCR0-W","Regular","1.0","Pc(s)"
"","","DUS-CCSAOCR1-W","Regular","1.0","Pc(s)"
"","","CAPP-CSAOC50R0-W","Regular","1.0","Pc(s)"
"","","PLU-CSAOC50R0-W","Regular","1.0","Pc(s)"
"","","DUS-SCSAOCR1-W","Regular","1.0","Pc(s)"
"","","POT-CSAOC50R1-W","Regular","1.0","Pc(s)"
"","","KB-WOMEGAR1-W","Regular","0.08333","Pc(s)"
"","","PS-JOSR0-WBOPP","Regular","0.00195","kg"
"","","M-CSAOC-BULK","Bulk","0.05","kg"
"","","STIC-QROCR0-CL","Regular","1.0","Pc(s)"
"","","STIC-PBCLOCR0-CL","Regular","1.0","Pc(s)"
"","","STIC-PNAOCR0-CL","Regular","1.0","Pc(s)"
"","","STIC-PSCLOCR0-CL","Regular","1.0","Pc(s)"
"CUS-R2EFC02-W","2","CUS-R2EFC02-BULK","Bulk","0.015","kg"
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)"
"","","CONP-EFCCR0-W","Intermediate Pack","1.0","Pc(s)"
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)"
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-BEFCC02R0-W","Regular","1.0","Pc(s)"
"","","DUS-EFCC02R2-W","Regular","1.0","Pc(s)"
"","","DUS-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)"
"CUS-R2EFC03-W","2","CUS-R2EFC03-BULK","Bulk","0.015","kg"
"","","CONP-EFCCR0-W","Intermediate Pack","1.0","Pc(s)"
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)"
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)"
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-BEFCC03R0-W","Regular","1.0","Pc(s)"
"","","DUS-EFCC03R2-W","Regular","1.0","Pc(s)"
"","","DUS-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)"
"CUS-R2EFC04-W","2","CUS-R2EFC04-BULK","Bulk","0.015","kg"
"","","CONP-EFCCR0-W","Intermediate Pack","1.0","Pc(s)"
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)"
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)"
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-BEFCC04R0-W","Regular","1.0","Pc(s)"
"","","DUS-EFCC04R2-W","Regular","1.0","Pc(s)"
"","","DUS-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)"
"CUS-R2EFC01-W","2","CUS-R2EFC01-BULK","Bulk","0.015","kg"
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)"
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)"
"","","CONP-EFCCR0-W","Intermediate Pack","1.0","Pc(s)"
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)"
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)"
"","","STIC-BEFCC01R0-W","Regular","1.0","Pc(s)"
"","","DUS-EFCC01R2-W","Regular","1.0","Pc(s)"
"","","DUS-SEFCCR0-W","Regular","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)"
"MY-REMRPBTUMW-W","1 (INLINE)","REM-RPBTUMW-BULK","Bulk","0.1","kg"
"","","KB-K100R1-W","Regular","0.0333333","Pc(s)"
"","","CAP-BPBMWRV-W","Regular","1.0","Pc(s)"
"","","STIC-FRVPBMW100-W","Regular","1.0","Pc(s)"
"","","STIC-BRVPBMW100-W","Regular","1.0","Pc(s)"
"","","BOTO-PETCHEERS100-X","Regular","1.0","Pc(s)"
"P-MAA-W","2","MA-MSLP-W","Not Sellable","1.0","Pc(s)"
"","","MA-MSAR-W","Sellable","1.0","Pc(s)"
"","","STIC-BLASSMR0-W","Regular","1.0","Pc(s)"
"","","KB-WLS20R2-KMK125CF","Regular","0.03125","Pc(s)"
"M-BRERMCN2-L","2","DUS-BRBRC10R0-L","Regular","1.0","Pc(s)"
"","","STIC-SEALR0-L","Regular","1.0","Pc(s)"
"","","M-BRERMC-BULK","Bulk","0.01","kg"
"","","TUBE-BRBRC10R1-L","Regular","1.0","Pc(s)"
"","","KB-LABBR0-L","Regular","0.02083","Pc(s)"
"F-NSLLFM2-W","2","F-LLF02-BULK","Bulk","0.006","kg"
"","","TUBE-LLFM02R0-W","Regular","1.0","Pc(s)"
"SRM-NSRLSAN2-W","2","SRM-LSA-BULK","Bulk","0.008","kg"
"","","TUBE-LSAPINOR0-W","Regular","1.0","Pc(s)"
"HBW-BWN4D-BD","1'","HBW-BWD-BULK","Bulk","5.0","kg"
"","","JC-5-HDPE","Regular","1.0","Pc(s)"
"","","PLU-JC5LLDPE-NTR","Regular","1.0","Pc(s)"
"","","CAP-JC5L--P","Regular","1.0","Pc(s)"
"","","STIC-FBWMYZJ5-BD","Regular","1.0","Pc(s)"
"","","STIC-BBWMYZJ5-BD","Regular","1.0","Pc(s)"
"BP-SBSE-W35ML","6","BOTO-PS35WF-P1WG","Regular","1.0","Pc(s)"
"","","BP-SBSE-BULK","Bulk","0.035","kg"
"","","KB-WEDT3635R2-W","Regular","0.02778","Pc(s)"
"","","PART-DEDTBR0-WAC","Regular","1.0","Pc(s)"
"","","PU-CEDTR1-W","Regular","1.0","Pc(s)"
"","","CAP-PS35WALU-SSIP","Regular","1.0","Pc(s)"
"","","DUS-EDTBR1-WILD","Regular","1.0","Pc(s)"
"","","STIC-BOTEDTBR0-WPP","Regular","1.0","Pc(s)"
"","","PS-PVCWEDT-125P","Regular","1.0","Pc(s)"
"BP-SJYE-W35ML","6","PU-CEDTR1-W","Regular","1.0","Pc(s)"
"","","PART-DEDTJR0-WAC","Regular","1.0","Pc(s)"
"","","STIC-BOTEDTJR0-WPP","Regular","1.0","Pc(s)"
"","","DUS-EDTJR1-WILD","Regular","1.0","Pc(s)"
"","","CAP-PS35WALU-SSIP","Regular","1.0","Pc(s)"
"","","KB-WEDT3635R2-W","Regular","0.02778","Pc(s)"
"","","PS-PVCWEDT-125P","Regular","1.0","Pc(s)"
"","","BOTO-PS35WF-P1WG","Regular","1.0","Pc(s)"
"","","BP-SJYE-BULK","Bulk","0.035","kg"
"L-MLCC-OMG","7","L-MLCC-BULK","Bulk","0.0035","kg"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)"
"","","STIC-BMKLC03R2-OMG","Regular","1.0","Pc(s)"
"","","DUS-MKLCR2-OMG","Regular","1.0","Pc(s)"
"","","STIC-VMKLC03R2-OMG","Regular","1.0","Pc(s)"
"","","IBOX-RRPMKLCR2-OMG","Regular","0.08333","Pc(s)"
"","","KB-NEONR0-OMG","Regular","0.00694","Pc(s)"
"L-CM04-EM5.5GR","9","L-CM04-BULK","Bulk","0.0055","kg"
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)"
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)"
"","","STIC-BOTCMFBR1-EOPP","Regular","1.0","Pc(s)"
"","","DUS-CMFBR1-EILD","Regular","1.0","Pc(s)"
"","","STIC-QRCMFB04R0-E","Regular","1.0","Pc(s)"
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)"
"","","KB-ECR1-KMK125CF","Regular","0.00694","Pc(s)"
"BP-SPRE-W35ML","6","BP-SPRE-BULK","Bulk","0.035","kg"
"","","BOTO-PS35WF-P1WG","Regular","1.0","Pc(s)"
"","","PU-CEDTR1-W","Regular","1.0","Pc(s)"
"","","CAP-PS35WALU-SSIP","Regular","1.0","Pc(s)"
"","","STIC-BOTEDTPRR0-WPP","Regular","1.0","Pc(s)"
"","","DUS-EDTPRR1-WILD","Regular","1.0","Pc(s)"
"","","PART-DEDTPRR0-WAC","Regular","1.0","Pc(s)"
"","","PS-PVCWEDT-125P","Regular","1.0","Pc(s)"
"","","KB-WEDT3635R2-W","Regular","0.02778","Pc(s)"
"L-CM05-EM5.5GR","9","L-CM05-BULK","Bulk","0.0055","kg"
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)"
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)"
"","","STIC-BOTCMFMR1-EOPP","Regular","1.0","Pc(s)"
"","","DUS-CMFMR1-EILD","Regular","1.0","Pc(s)"
"","","STIC-QRCMFM05R0-E","Regular","1.0","Pc(s)"
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)"
"","","KB-ECR1-KMK125CF","Regular","0.00757","Pc(s)"
"L-CM15-EM5.5GR","6","L-CM15-BULK","Bulk","0.0055","kg"
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)"
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)"
"","","STIC-BOTCMCPR0-EOPPT","Regular","1.0","Pc(s)"
"","","DUS-CMCPR0-EILD","Regular","1.0","Pc(s)"
"","","STIC-QRCMCF15R0-E","Regular","1.0","Pc(s)"
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)"
