"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","Created on"
"","","KB-WIOTAR1-W","Regular","0.00521","Pc(s)",""
"MY-RTCRE03-W","5 (INLINE)","TC-PC03-BULK","Bulk","0.012","kg","2022-03-04 08:08:29"
"","","CONT-ETWCRLR0-WASBS","Regular","1.0","Pc(s)",""
"","","GODE-CPTZB-SMD59A-P","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRD545-T","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC3R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWC3R1-WRL","Regular","1.0","Pc(s)",""
"","","STIC-PAEBR1-WM","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"MY-RSRMCD-W","5 (INLINE)","PIP-DCDSW-ESW","Regular","1.0","Pc(s)","2022-11-23 06:07:21"
"","","BOTO-GCDSW-GPOP2W","Regular","1.0","Pc(s)",""
"","","SRM-CD-BULK","Bulk","0.017","kg",""
"","","DUS-CDS17R1-WILG","Regular","1.0","Pc(s)",""
"","","STIC-PALLCR1-WM","Regular","1.0","Pc(s)",""
"","","KB-W6040R2-W","Regular","0.03333","Pc(s)",""
"","","BW-P1R0-X","Regular","0.03333","Pc(s)",""
"MY-FWNFSPCSAC8-KA","1 (INLINE)","FW-PCSRB-BULK","Bulk","0.008","kg","2022-11-24 08:39:19"
"","","TUBE-NFSSEBFW8R1-K","Regular","1.0","Pc(s)",""
"","","ENV-NFSSEBFWR2-K","Regular","1.0","Pc(s)",""
"","","KB-KAHFAR0-K","Regular","0.0277778","Pc(s)",""
"BBC-EL-W15ML","4","BBC-EL-BULK","Bulk","0.015","kg","2022-11-25 06:51:13"
"","","DUS-EBBCL15C-WILD","Regular","1.0","Pc(s)",""
"","","TUBE-EBBCL15-W2580","Regular","1.0","Set",""
"","","STIC-QEBBCLR0-W","Regular","1.0","Pc(s)",""
"","","KB-WBBC15-KMK150BF","Regular","0.02083","Pc(s)",""
"BBC-EL-W30ML","9","DUS-EBBCL30C-WILD","Regular","1.0","Pc(s)","2022-11-25 06:57:01"
"","","BBC-EL-BULK","Bulk","0.03","kg",""
"","","TUBE-EBBCL30R3-W3095","Regular","1.0","Pc(s)",""
"","","STIC-QEBBCLR0-W","Regular","1.0","Pc(s)",""
"","","KB-WBBC30-KMK150BF","Regular","0.02778","Pc(s)",""
"BBC-EN-W15ML","4","DUS-EBBCN15C-WILD","Regular","1.0","Pc(s)","2022-11-25 07:00:16"
"","","KB-WBBC15-KMK150BF","Regular","0.02083","Pc(s)",""
"","","TUBE-EBBCN15-W2580","Regular","1.0","Set",""
"","","STIC-QEBBCNR0-W","Regular","1.0","Pc(s)",""
"","","BBC-EN-BULK","Bulk","0.015","kg",""
"BO-SKPF01-MO6G","7","BO-S01PF6GRRNFS-MO","Refill","1.0","Pc(s)","2022-11-25 07:00:58"
"","","CONT-BOLB1MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KUAS-BOMOBK-TRHG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-BTBO01R1-MOMSF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-BOR4-MO","Regular","1.0","Pc(s)",""
"","","STIC-BCBO1MOPPW-1W31","Regular","1.0","Pc(s)",""
"","","STIC-QBOS01R0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02777","Pc(s)",""
"BBC-EN-W30ML","9","TUBE-EBBCN30R3-W3095","Regular","1.0","Pc(s)","2022-11-25 07:05:18"
"","","DUS-EBBCN30C-WILD","Regular","1.0","Pc(s)",""
"","","BBC-EN-BULK","Bulk","0.03","kg",""
"","","STIC-QEBBCNR0-W","Regular","1.0","Pc(s)",""
"","","KB-WBBC30-KMK150BF","Regular","0.02778","Pc(s)",""
"BO-SKPS03-MO6G","7","BO-S03PP6GRRNFS-MO","Refill","1.0","Pc(s)","2022-11-25 07:06:18"
"","","CONT-BOLB1MOASA-2PSC","Regular","1.0","Pc(s)",""
