Kode Item,UOM,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024
BOTO-BWMGTR0-BD,Pc(s),0,0,0,0,0,0,0,0,0,0,0,3417,0,0,0,0,0,0,0,3417,0,0,0,0,0,0,0,3417,0,0,0,0,0,0,0,3417,0,0,0,0,0,0,0,3417,0,0,0,0,0,0,0,3417,0,0,0,0,0,0,0,3417,0,0,0,0,0,0,0,0,0
BOTO-BWMSSR0-BD,Pc(s),0,3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490,0,0,0,0,0,0,3490,0,0,0,0,0,0,3490,0,0,0
BOTO-BWMYZR0-BD,Pc(s),0,3475,0,0,0,0,0,0,0,0,3475,0,0,0,0,0,0,0,3475,0,0,0,0,0,0,3475,0,0,0,0,0,0,0,3475,0,0,0,0,0,0,0,3475,0,0,0,0,0,0,3475,0,0,0,0,0,0,0,3475,0,0,0,0,0,0,3475,0,0,0,0,0
BOTO-BWSS550-BD,Pc(s),0,0,0,0,0,0,0,0,0,0,0,1776,0,0,0,0,1776,0,0,0,1776,0,0,0,1776,0,0,0,1776,0,0,1776,0,1776,0,0,1776,0,1776,0,0,1776,0,0,1776,0,0,1776,0,1776,0,1776,0,0,1776,0,0,0,1776,0,1776,0,1776,0,0,1776,0,1776,0
BOTO-BWYZ550-BD,Pc(s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,0,0,5324,0,0,0,0,0,0,0,0,5324,0,0
BOTO-CADLPR0-W,Pc(s),19992,19992,36652,16660,61771,58191,76288,39984,72420,55760,49980,157340,59092,49980,59092,53312,57076,55760,46648,73552,45764,56644,47080,56775,43316,52428,46648,50101,56192,36652,42252,43498,45764,42432,50412,39100,39984,49096,33320,55760,37084,39984,42432,39984,42432,43316,46196,43316,45764,124656,52428,39984,49528,33320,45764,43316,52428,33320,42864,45764,29988,45764,29988,45764,43316,12876,19992,12444,12444
BOTO-CAUSSSR0-TV,Pc(s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333,0,0,0,0,0,0,0,0,0,0,0,0,0,3333,0,0,0,0,0,0,0,0,0,0,0,0,0,3333,0,0,0,0,0,0,0,0,0
BOTO-CDAMGR0-W,Pc(s),0,0,0,0,0,0,0,6623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTO-CDFMR1-WPET,Pc(s),17483,0,17483,0,17483,0,0,17483,15862,17483,15862,0,33345,0,33345,0,15862,17483,15862,17483,15862,17483,15862,0,33345,0,33345,0,15862,17483,15862,17483,15862,15862,17483,15862,17483,15862,0,33345,0,33345,0,15862,17483,15862,17483,15862,0,33345,0,33345,0,15862,17483,15862,17483,15862,0,17483,0,17483,15862,0,17483,15862,0,0,0
BOTO-CDRTS10R0-CL,Pc(s),0,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
