Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure
A-PFC-BULK/Reference 8,A-PFC-BULK,GLUZ-GLUZ-,Raw Material,0.01000,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,PENG-GL-LON,Raw Material,0.00400,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,ASAM-SCAD-X,Raw Material,0.00500,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,PARF-SILK-,Raw Material,0.00300,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,TRI--DOW-K,Raw Material,0.00260,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,EDT-B--K,Raw Material,0.00100,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,ALAN-SL--X,Raw Material,0.00100,kg
A-PFC-BULK/Reference 8,A-PFC-BULK,GARA-VCNI-X,Raw Material,0.00700,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,GLYC--ECOS-K,Raw Material,0.01000,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,PARF-SILK-,Raw Material,0.00050,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,MENT-FRGHS-X,Raw Material,0.00100,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,EDT-B--K,Raw Material,0.00100,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,GLUZ-GLUZ-,Raw Material,0.01000,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,PROP-PGESK-X,Raw Material,0.02000,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,EXTR-WTCHPF-X,Raw Material,0.02000,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,EMUL-DERMSOLP-,Raw Material,0.00700,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,PENG-NPGEHP-X,Raw Material,0.00750,kg
A-PRT-BULK/Reference 4,A-PRT-BULK,EXTR-ALVGE-X,Raw Material,0.00500,kg
A-SATG-BULK/SMB,A-SATG-BULK,EDT-B--K,Raw Material,0.00100,kg
A-SATG-BULK/SMB,A-SATG-BULK,PEN-PRSVPE-X,Raw Material,0.00750,kg
A-SATG-BULK/SMB,A-SATG-BULK,A-BGSA200-X,Raw Material,0.04000,kg
A-SATG-BULK/SMB,A-SATG-BULK,EXTR-CNDWLHB-X,Raw Material,0.01000,kg
A-SATG-BULK/SMB,A-SATG-BULK,SEPI-SPCA5-X,Raw Material,0.02000,kg
A-SATG-BULK/SMB,A-SATG-BULK,ACTI-SRCM-X,Raw Material,0.01500,kg
A-SATG-BULK/SMB,A-SATG-BULK,SEPI-SPMXZ-X,Raw Material,0.01500,kg
A-SATG-BULK/SMB,A-SATG-BULK,THIC-VZNFC-X,Raw Material,0.00700,kg
A-SATG-BULK/SMB,A-SATG-BULK,ACTI-MEBSA-X,Raw Material,0.00500,kg
A-SATG-BULK/SMB,A-SATG-BULK,PROP-PGESK-X,Raw Material,0.02000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,BIO-HYAL-BIL,Raw Material,0.00020,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,VITA-B3PC-X,Raw Material,0.03000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,SILI-DC9045-X,Raw Material,0.15000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,VCIP---K,Raw Material,0.00050,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,OLIV-900BT-X,Raw Material,0.00400,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,VITA-DL E-MS,Raw Material,0.00200,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,STEA-A-EST05M,Raw Material,0.02200,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,ORGA-EXD-ARK,Raw Material,0.00200,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,PEN-PRSVPE-X,Raw Material,0.00500,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,EXTR-ALVGE-X,Raw Material,0.01000,kg
BBC-LL-BULK/Normal (Odoo ref 49),BBC-LL-BULK,EXTR-LCRG-X,Raw Material,0.00010,kg
