product_tmpl_id/default_code,product_tmpl_id/old_koitem,product_tmpl_id/internal_name,product_id/categ_id/display_name,location_id/display_name,lot_id/name,quantity,product_uom_id/name,PUP May,Total Price @PUP,,,Stock 1 Jun 23,Total Price PUP May,"8,231,812,842.00",Qty in pcs,"19,728,415.28"
STIC-VMKLCCE13R0-OMG,STIC-VMKLCCE13R0-OMG,Sticker Varian Matte KLC Coffee Edition 13 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JC011142,156,Pc(s),30.0562883256015,4688.78097879384,,,,,,,
STIC-BMKLCCE13R0-OMG,STIC-BMKLCCE13R0-OMG,Sticker Bottom Matte KLC Coffee Edition 13 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JC011140,1616,Pc(s),38.7690233394291,62650.7417165174,,,,,,,
STIC-VMKLC07R1-OMG,STIC-VMKLC07R1-OMG,Sticker Varian Matte Kiss Lip Cream 07 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-6,GBMJTK4/IJ25720,285,pc(s),30.0451574569222,8562.86987522282,,,,,,,
BOTO-PSMUS20-OMG,BOTO-PSMUS20-OMG,PS Bottle Mock Up Serum 20 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-11B1,GBMJTK4/JB181124,31,Pc(s),0,0,,,,,,,
PIP-PSMUS20-OMG,PIP-PSMUS20-OMG,PS Pipette Mock Up Serum 20 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-11B1,GBMJTK4/JB181125,31,Pc(s),0,0,,,,,,,
STIC-VMKLC01R1-OMG,STIC-VMKLC01R1-OMG,Sticker Varian Matte Kiss Lip Cream 01 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-6,GBMJTK4/IJ25687,277,pc(s),33.3333333333333,9233.33333333333,,,,,,,
SACH-PGM75-OMG,SACH-PGM75-OMG,Sachet Peach Glowing Cream 7.5 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AD-06B2,GBMJTK4/JD191237,30000,Pc(s),642.959561415011,19288786.8424503,,,,,,,
CAP-SPGM75-OMG,CAP-SPGM75-OMG,Cap Sachet Peach Glowing Cream 7.5 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AD-06B2,GBMJTK4/JD191238,30000,Pc(s),0,0,,,,,,,
CAPA-JKLTS01R0-OMG,CAPA-JKLTS01R0-OMG,Cap+Applicator+Wiper Juicy Kiss Lip Tint Serum 01 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JD271273,200,Pc(s),967.428,193485.6,,,,,,,
CAPA-JKLTS03R0-OMG,CAPA-JKLTS03R0-OMG,Cap+Applicator+Wiper Juicy Kiss Lip Tint Serum 03 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/JD271269,200,Pc(s),967.428,193485.6,,,,,,,
