Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
DUS-HSLWIVR1-MO,524,9956,28296,15720,15196,19388,16244,12052,18864,16244,16244,20436,15196,15196,20436,17292,
DUS-HSMOI30-35LGP,0,0,17180,8590,8590,17180,8590,8590,8590,8590,17180,8590,8590,8590,17180,8590,
DUS-HSRFPIVR0-MO,1172,2344,4688,3516,3516,3516,3516,2344,4688,3516,3516,3516,3516,3516,3516,3516,
DUS-HTSLA20PR12-1361,0,580,580,580,580,580,580,0,1160,580,0,1160,580,580,580,580,
DUS-HTSLE20PR2-P,0,0,482,723,482,482,723,241,723,482,482,723,482,482,723,482,
DUS-IBBMR1-WHPD,704,704,704,1408,2112,1408,1408,1408,2112,1408,1408,704,0,0,0,0,
DUS-IGCLR2-W,356,0,0,0,712,356,712,356,356,712,356,1068,0,712,356,712,
DUS-ILSLSR0-W,0,0,0,0,0,2992,0,0,0,0,0,0,2992,2992,0,5984,
DUS-IMCLR2-WHPD,1616,0,0,0,0,1212,404,808,808,808,1212,404,1212,808,1212,808,
DUS-IMLC0114R1-MOILD,10680,7072,44184,38112,39112,43684,36576,34040,43684,35040,36576,53864,37076,36076,44184,38612,
DUS-IMLC1520R1-MOILD,4072,1000,20824,16752,14216,20824,14216,13716,18788,16252,14216,16252,18788,16252,18788,16252,
DUS-IMSLR1-WIMLD,1288,6440,8372,5796,7084,7728,6440,4508,8372,5796,6440,8372,7084,5796,8372,7084,
DUS-IPDDRTS120R0-CL,1450,0,0,0,0,0,1450,0,1450,0,1450,0,1450,0,1450,0,
DUS-ISCEPR1-WICHD,0,788,1576,1576,1576,1576,788,788,1576,1576,1576,1576,788,1576,1576,788,
DUS-JKLTS01R1-OMG,3540,10620,10620,10620,7080,14160,3540,0,0,0,0,0,0,0,0,0,
DUS-JKLTS02R1-OMG,3540,10620,10620,10620,10620,10620,10620,3504,0,0,0,0,0,0,0,0,
DUS-JKLTS03R1-OMG,0,7080,7080,7080,7080,10620,7080,7080,7080,7080,0,0,0,0,0,0,
DUS-JKLTS04R1-OMG,0,7080,10620,10620,7080,14160,7080,7080,14160,10620,7080,3540,0,0,0,0,
DUS-LBBCL15C-WILD,0,56440,112880,11288,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LBBCL30CR1-WILD,0,15430,0,6157,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LBBCN15C-WILD,0,83106,83106,27702,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LBBCN30CR1-WILD,0,6156,12312,6156,0,0,0,0,0,0,0,0,0,0,0,0,
DUS-LBLNR1-MOILG,0,820,2132,1476,1476,2132,1804,1312,1968,1640,1476,2132,1640,1640,2132,1804,
DUS-LC01PR1-ELD,0,116,464,580,464,696,580,464,696,580,696,812,580,696,696,580,
DUS-LC02BR1-ELD,116,0,348,464,348,580,348,348,580,348,580,580,580,348,696,348,
DUS-LC03GBR0-E,116,0,580,348,464,696,696,464,696,580,696,696,696,580,580,580,
DUS-LC04SCR0-E,0,116,464,464,464,464,580,464,696,580,464,812,580,464,696,348,
DUS-LC05SUR0-E,116,116,348,464,464,696,580,348,812,580,580,812,580,696,580,580,
DUS-LC06CPR0-E,0,0,116,348,348,464,348,232,464,348,348,464,348,348,464,348,
DUS-LDC20RLR1-W,44704,178816,223520,178816,178816,268224,178816,134112,268224,178816,178816,268224,178816,178816,268224,178816,
DUS-LDC30RLR1-W,0,95817,127756,128061,160000,160000,128061,95817,160000,128061,128061,160000,160000,128061,127756,95817,
DUS-LDG20R1-W,0,6196,12392,6196,12392,12392,6196,12392,12392,6196,12392,12392,6196,12392,12392,12392,
DUS-LDG30RLR1-W,0,6053,17989,17819,23702,29755,17819,17819,23702,29755,17819,23702,29755,17819,17819,17989,
DUS-LELR2-MOLG,0,0,0,0,0,0,0,0,0,1057,1152,1440,1152,1152,1440,1152,
DUS-LIWMR0-MO,0,0,24955,0,24955,0,24955,0,0,24955,0,24955,0,24955,0,24955,
DUS-LL01R0-WILD,0,980,1960,1960,1960,1960,1960,980,2940,980,1960,1960,1960,1960,1960,1960,
DUS-LL03R0-WILD,980,980,2940,1960,1960,1960,1960,1960,1960,1960,1960,2940,1960,1960,2940,1960,
DUS-LL08R0-WILD,3920,1960,3920,3920,2940,3920,3920,1960,3920,3920,2940,3920,3920,2940,3920,3920,
DUS-LL09R0-WILD,3920,2940,2940,2940,2940,3920,2940,1960,3920,2940,2940,2940,2940,2940,3920,2940,
DUS-LL10R0-WILD,0,1960,2940,2940,2940,2940,2940,1960,3920,1960,2940,2940,2940,2940,2940,2940,
DUS-LL17R0-WILD,980,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,2940,1960,1960,1960,1960,
DUS-LMP1R4-W,0,28848,14874,0,0,0,0,0,0,0,0,0,0,0,0,0,
