data update,30 Mei 2023,,
helper,Korporat Code,Variant Seller/Vendor/Display Name,Variant Seller/Min Qty
"BOTO-BCBW200R1-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-BCBW200R1-K,"HIDAYAT PUTRA INDUSTRI, PT",30000
"BOTO-BCBW200R1-KHIDAYAT PUTRA INDUSTRI, PT",BOTO-BCBW200R1-K,"HIDAYAT PUTRA INDUSTRI, PT",30000
"BOTO-BDMR0-MOPTGESMIN CO., LTD.",BOTO-BDMR0-MOPTG,"ESMIN CO., LTD.",10000
"BOTO-BNG100PVC-JAYATAMA SELARAS, PT",BOTO-BNG100PVC-,"JAYATAMA SELARAS, PT",30000
"BOTO-BOSR0-BANUGRAH LUMEI RAYA, PT",BOTO-BOSR0-B,"ANUGRAH LUMEI RAYA, PT",5000
"BOTO-BOSR0-BANUGRAH LUMEI RAYA, PT",BOTO-BOSR0-B,"ANUGRAH LUMEI RAYA, PT",5000
"BOTO-BR100SO-WARTHA KARTIKA PUTRA, PT",BOTO-BR100SO-W,"ARTHA KARTIKA PUTRA, PT",200000
"BOTO-BSLPR2-EMALBEA RIGID PACKAGING SURABAYA, PT",BOTO-BSLPR2-EM,"ALBEA RIGID PACKAGING SURABAYA, PT",10000
"BOTO-BWGT550-BDNATAMAS PLAST, PT",BOTO-BWGT550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWGT550-BDNATAMAS PLAST, PT",BOTO-BWGT550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWGT550-BDNATAMAS PLAST, PT",BOTO-BWGT550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWGT550-BDNATAMAS PLAST, PT",BOTO-BWGT550-BD,"NATAMAS PLAST, PT",25000
"BOTO-BWMGTR0-BDNATAMAS PLAST, PT",BOTO-BWMGTR0-BD,"NATAMAS PLAST, PT",10000
"BOTO-BWMSSR0-BDNATAMAS PLAST, PT",BOTO-BWMSSR0-BD,"NATAMAS PLAST, PT",10000
"BOTO-BWMYZR0-BDNATAMAS PLAST, PT",BOTO-BWMYZR0-BD,"NATAMAS PLAST, PT",10000
"BOTO-BWSS550-BDNATAMAS PLAST, PT",BOTO-BWSS550-BD,"NATAMAS PLAST, PT",25000
