"Product","Done"
"[STIC-VPCTWC08R1-MO] Sticker Varian Perfect Cover TWC 08 R1 MO","18.0"
"[KB-W12X250R1-W] Karton Box Wardah 12x250 R1","9.0"
"[KB-MOTWC3252-K150M12] Karton Box Make Over TWC Uk.325x245x68mm","2.0"
"[STIC-BTPMPFN10R-MOSC] Sticker Bottom Powerstay Matte Powder Foundation N10 MO","16.0"
"[DUS-PPFN40R0-MOILD] Dus Powerstay Matte Powder Foundation N40 MO","149.0"
"[DUS-PPFN40R0-MOILD] Dus Powerstay Matte Powder Foundation N40 MO","187.0"
"[DUS-PPFN40R0-MOILD] Dus Powerstay Matte Powder Foundation N40 MO","6.0"
"[DUS-PPFN40R0-MOILD] Dus Powerstay Matte Powder Foundation N40 MO","127.0"
"[DUS-PMPFC62R1-MOILD] Dus Powerstay Matte Powder Foundation C62 R1 MO","3179.0"
"[IBOX-12ED-WD31] Dus Ibox 12 Emina D","40.0"
"[IBOX-12ED-WD31] Dus Ibox 12 Emina D","60.0"
"[IBOX-12ED-WD31] Dus Ibox 12 Emina D","590.0"
"[IBOX-12ED-WD31] Dus Ibox 12 Emina D","57.0"
"[DUS-PMPFW42R1-MOILD] Dus Powerstay Matte Powder Foundation W42 R1 MO","1414.0"
"[DUS-PMPFW41R1-MOILD] Dus Powerstay Matte Powder Foundation W41 R1 MO","588.0"
"[DUS-PMPFW41R1-MOILD] Dus Powerstay Matte Powder Foundation W41 R1 MO","325.0"
"[DUS-PMPFW41R1-MOILD] Dus Powerstay Matte Powder Foundation W41 R1 MO","278.0"
"[DUS-PMPFW41R1-MOILD] Dus Powerstay Matte Powder Foundation W41 R1 MO","113.0"
"[DUS-PMPFW41R1-MOILD] Dus Powerstay Matte Powder Foundation W41 R1 MO","112.0"
"[DUS-PMPFW41R1-MOILD] Dus Powerstay Matte Powder Foundation W41 R1 MO","68.0"
"[DUS-PMPFW41R1-MOILD] Dus Powerstay Matte Powder Foundation W41 R1 MO","310.0"
"[DUS-PPW30R1-MO] Dus Powerstay Matte Powder Foundation W30 R1 MO","2178.0"
"[DUS-PPW30R1-MO] Dus Powerstay Matte Powder Foundation W30 R1 MO","2750.0"
"[DUS-PPW30R1-MO] Dus Powerstay Matte Powder Foundation W30 R1 MO","322.0"
"[DUS-PPW30R1-MO] Dus Powerstay Matte Powder Foundation W30 R1 MO","3072.0"
"[DUS-PMPFC21R1-MOILD] Dus Powerstay Matte Powder Foundation C21 R1 MO","1200.0"
"[DUS-PMPFC21R1-MOILD] Dus Powerstay Matte Powder Foundation C21 R1 MO","40.0"
"[DUS-PWLFW41CS-MOILD] Dus Powerstay WLF W41 Coral Sand MO","245.0"
"[DUS-PWLFN10M-MOILD] Dus Powerstay WLF N10 Marble MO","1200.0"
"[KB-WLTWCLFR1-KMK125] Karton Box Wardah Lightening TWC LF R1","4.0"
"[DUS-PWLFN10M-MOILD] Dus Powerstay WLF N10 Marble MO","1318.0"
"[STIC-BCHCL3R0-MO] Sticker Bottom CHC Lipmatte 03 MO (Pc(s))","13.0"
"[KB-MOTWC3252-K150M12] Karton Box Make Over TWC Uk.325x245x68mm","3.0"
"[KB-WEPSIR1-W] Karton Box Wardah Epsilon R1","2.0"
"[BOTO-ADS1702R0-W] Bottle Anti Dandruff Shampoo 170 (2) W (Pc(s))","1037.0"
"[BOTO-ADS1702R0-W] Bottle Anti Dandruff Shampoo 170 (2) W (Pc(s))","1530.0"
"[BOTO-ADS1702R0-W] Bottle Anti Dandruff Shampoo 170 (2) W (Pc(s))","220.0"
"[DUS-BSFS30R1-E] Dus Bright Stuff Face Serum 30 R1 E","510.0"
"[DUS-BSFS30R1-E] Dus Bright Stuff Face Serum 30 R1 E","5.0"
"[DUS-BSFS30R1-E] Dus Bright Stuff Face Serum 30 R1 E","1052.0"
"[DUS-BSFS30R1-E] Dus Bright Stuff Face Serum 30 R1 E","1318.0"
"[DUSS-BSTUC20R0-E] Dus Sticker Bright Stuff Tone Up Cream 20 R0 E","1994.0"
"[DUSS-BSTUC20R0-E] Dus Sticker Bright Stuff Tone Up Cream 20 R0 E","2698.0"
"[DUS-BSMCR2-E] Dus Bright Stuff Moisturizing Cream 20 R2 Emina","321.0"
"[IBOX-12ILC-WDNF] Inner Box 12 Instaperfect Lip Crayon W","112.0"
