Kode Item,Nama Internal,Internal Category,Brand,Qty,Total Price,Status,MOQ,Laptrima,Scrap,SMB,"Kategori FG
(NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Last Incoming,Last SMB
STIC-BTPRTM40MB-MOSM,Sticker Bottom Powerskin RTM 40 Medium Beige MO (Pc(s)),,,21588,56,existing,5000,0,0,Yes,Reguler,< 2019,2023
STIC-BTPUGHR0-MOSCD,Sticker Bottom Powerstay Ultra Glow Highlighter MO,,,2346,460.9789295,existing,5000,0,0,No,Reguler,2020,2023
STIC-BTPVLS1R0-MO,Sticker Bottom Powerstay VW Lip Stain 01 MO (Pc(s)),,,26300,33,existing,5000,0,0,Yes,Reguler,2020,2022
STIC-BTPVLS2R0-MO,Sticker Bottom Powerstay VW Lip Stain 02 MO (Pc(s)),,,6061,24,existing,5000,0,0,Yes,Reguler,2022,2022
STIC-BTPVLS3R0-MO,Sticker Bottom Powerstay VW Lip Stain 03 MO (Pc(s)),,,14596,46.2161781,existing,5000,0,0,Yes,Reguler,2022,2022
STIC-BTPVLS4R0-MO,Sticker Bottom Powerstay VW Lip Stain 04 MO (Pc(s)),,,5271,33,existing,5000,0,0,Yes,Reguler,2021,2023
STIC-BTPVLS5R0-MO,Sticker Bottom Powerstay VW Lip Stain 05 MO (Pc(s)),,,5803,34.87682333,existing,5000,0,0,Yes,Reguler,2023,2023
STIC-BTPVLS6R0-MO,Sticker Bottom Powerstay VW Lip Stain 06 MO (Pc(s)),,,29563,33,existing,5000,0,0,Yes,Reguler,2020,2022
STIC-BTPVLS7R0-MO,Sticker Bottom Powerstay VW Lip Stain 07 MO (Pc(s)),,,56201,33,existing,5000,0,0,No,Reguler,2021,2023
STIC-BTPVLS8R0-MO,Sticker Bottom Powerstay VW Lip Stain 08 MO (Pc(s)),,,21739,44,existing,5000,0,0,Yes,Reguler,2020,2023
STIC-BTSBSO2R2-W240,Sticker Bottom SBS Olive 240 ROLL R2 W (Pc(s)),,,10437,1072.764342,existing,5000,0,0,No,Reguler,2023,2023
STIC-BTSBSOR2-W150,Sticker Bottom SBS Olive 150 ROLL R2 W (Pc(s)),,,17565,1075.051426,existing,5000,0,0,Yes,Reguler,2023,2023
STIC-BTSBSPFR2-W150,Sticker Bottom SBS Passion 150 ROLL R2 W (Pc(s)),,,10865,1429.410786,existing,5000,0,0,Yes,Reguler,2023,2023
STIC-BTSBSSR2-W150,Sticker Bottom SBS Strawberry 150 ROLL R2 W,,,7946,590.3527607,existing,5000,0,0,Yes,Reguler,2023,2023
STIC-BTSFLPRR1-E,Sticker Bottom Sebum Fighter Loose Powder R1 Roll E (Pc(s),,,9551,115.9663039,existing,5000,0,77,No,Reguler,2023,2023
STIC-BTSPBRR2-MOPSM,Sticker Bottom Shimmering Powder Bronzed Repackage R2 MO,,,17448,87,existing,2000,0,20,Yes,Reguler,< 2019,2023
STIC-BTSPCRR2-MOPSM,Sticker Bottom Shimmering Powder Chrystalist Repackage R2MO,,,128802,174,existing,2000,0,0,No,Reguler,< 2019,2023
STIC-BTSPGRR2-MOPSM,Sticker Bottom Shimmering Powder Goldinx Repackage R2 MO,,,16203,174,existing,2000,0,19,No,Reguler,< 2019,2023
STIC-BTSPQRR2-MOPSM,Sticker Bottom Shimmering Powder Quartza Repackage R2 MO,,,15775,261,existing,2000,0,64,No,Reguler,< 2019,2023
STIC-BTTBSPBR0-ECNF,Sticker Bottom OSK Tinted Balm Stick Pink Bonbons E (Pc(s)),,,21447,466.2505765,existing,5000,0,13,No,Reguler,2023,2023
STIC-BTTBSPCR0-ECNF,Sticker Bottom OSK Tinted Balm Stick Plum Candy E (Pc(s)),,,48731,448.6030926,existing,5000,30000,87,No,Reguler,2023,2023
STIC-BTUHM1R1-MOMSF,Sticker Bottom UHM 001 R1 MO,,,7759,39,inactive,,0,0,Yes,Reguler,< 2019,2022
STIC-BTUHM2R1-MOMSF,Sticker Bottom UHM 002 R1 MO,,,10088,0,inactive,,0,0,Yes,Reguler,< 2019,2022
STIC-BTUHM3R1-MOMSF,Sticker Bottom UHM 003 R1 MO,,,4922,12,inactive,20000,0,0,Yes,Reguler,< 2019,2020
STIC-BTUHM4R1-MOMSF,Sticker Bottom UHM 004 R1 MO,,,12924,22.75597218,inactive,20000,0,0,Yes,Reguler,< 2019,2022
STIC-BTUHM5R1-MOMSF,Sticker Bottom UHM 005 R1 MO,,,10496,33,inactive,20000,0,0,Yes,Reguler,< 2019,2022
