KODE ITEM,STATUS 2
BOTO-GPGS20R0-OMG,to be discontinued
BOTO-GPGS20R1-OMG,existing
BOTO-GPLMR0-MO,existing
BOTO-GPRTMR0-MO,existing
BOTO-GPSCOS30-W,0
BOTO-GPSMUEDPMO100-K,new product
BOTO-GPSMUEDPRO100-K,new product
BOTO-GPWCMR0-MO,0
BOTO-GROEDP100R0-K,new product
BOTO-GRYAASW-GPPP1WH,existing
BOTO-GS01ABR0-E,inactive
BOTO-GS01ABR1-E,existing
BOTO-GS02ASR0-E,inactive
BOTO-GS02ASR1-E,existing
BOTO-GS03CRR0-E,inactive
BOTO-GS03CRR1-E,existing
BOTO-GS04PSR0-E,inactive
BOTO-GS04PSR1-E,existing
BOTO-GS05SDR0-E,inactive
BOTO-GS05SDR1-E,existing
BOTO-GSC15-GG,new product
BOTO-GSCSFR0-W,new product
BOTO-GSF15-GG,new product
BOTO-GSOEDP100R0-K,new product
BOTO-GWSEW-GPW,existing
BOTO-GWSMS30-T,new product
BOTO-GYPCS20R0-BL,new product
BOTO-GYPCS20R1-B,0
BOTO-HDPE200NAT-NP,inactive
BOTO-HDPE300HTM-,0
BOTO-HDPE300NAT-,inactive
BOTO-HDPE500HTM-,inactive
BOTO-HDPE900HTM-,inactive
BOTO-HDPE900PTH-,inactive
BOTO-HDPEBC250L-X,new product
BOTO-HFPO5-K,0
BOTO-HFS8-WOW,0
BOTO-HFTS170-WHDPE,inactive
BOTO-HFTS1702R0-W,to be discontinued
BOTO-HFTS1702R2-W,inactive
BOTO-HFTS1702R3-W,existing
BOTO-HFTS1702RX-W,new product
BOTO-HFTS170IIR0-WHDP,0
BOTO-HFTS170P-W,initial
BOTO-HFTS170R1-WHDPE,inactive
BOTO-HFTS170R2-WHDPE,0
BOTO-HFTS170R3-W,to be discontinued
BOTO-HFTS170R4-W,existing
BOTO-HRIT100R0-W,existing
BOTO-HRIT100R1-WKIM,existing
BOTO-HRKT30R0-W,inactive
BOTO-HRPIT30-W,0
BOTO-HS200NATR-,inactive
BOTO-HS8TCHDPE-CRWO,inactive
BOTO-HS8TCHDPE-CWORS,0
BOTO-HSLWR0-MO,inactive
BOTO-HSLWR1-MO,existing
BOTO-HSR1N7MLN-SM,inactive
BOTO-HW100NP-DK12033,existing
BOTO-HWR0-BD,existing
BOTO-IBBM1R0-WPETG,existing
BOTO-IBBM2R0-WPETG,existing
BOTO-ICABER0-W,existing
BOTO-IEIMLR0-W,existing
BOTO-ILSLSR0-W,0
BOTO-IMLCC-MO,inactive
BOTO-IMLCR0-MO,inactive
BOTO-IMLMPR0-W,existing
BOTO-IWPO5-K,0
BOTO-JKLTS05R0-OMG,initial
BOTO-JKLTSR0-OMG,to be discontinued
BOTO-K200PET-X,inactive
BOTO-KMUMFS-X,PS
BOTO-L100EEMUR-WHD,inactive
BOTO-L100EEMUR1-WHD,to be discontinued
BOTO-L100EEMURR2-WHD,existing
BOTO-L100GR0-W,existing
BOTO-L100NAT-UPP,inactive
BOTO-L100TURR0-WPP,existing
BOTO-L200BLA-PP,existing
BOTO-L200NAT-PP,existing
BOTO-L450BLA-PP,inactive
BOTO-L450NAT-PP,existing
BOTO-L450WHI-PP,existing
BOTO-L50EEMUR-WHD,inactive
BOTO-L50EEMURR1-WHD,existing
BOTO-L50EEMURR2-WHD,existing
BOTO-L50NAT-UPP,existing
BOTO-LFT125R0-W,inactive
BOTO-LFT125R1-W,inactive
BOTO-LFT125R2-W,existing
BOTO-LIWMR0-MO,existing
BOTO-LLC01LR0-W,existing
BOTO-LLC02BR0-W,existing
BOTO-LLS-EPETG,inactive
BOTO-LWMR0-OMG,new product
BOTO-MF01LR0-E,existing
BOTO-MF02NR0-E,existing
BOTO-MF03CR0-E,existing
BOTO-MF04MR0-E,existing
BOTO-MKLCCEKIMR0-OMG,existing
BOTO-MKLCKIMR0-OMG,existing
BOTO-MKLCR0-OMG,existing
BOTO-MKLCSER0-OMG,new product
BOTO-MMSR1-ELM,inactive
BOTO-MPR0-EM,0
BOTO-MPR1-EM,existing
BOTO-MU2RYUMS30-W,0
BOTO-MUACNS-W,existing
BOTO-MUAS-X,0
BOTO-MUASS-W,inactive
BOTO-MUBW-W,inactive
BOTO-MUCHS1-T,new product
BOTO-MUCHS2-T,new product
BOTO-MUD3S-X,new product
BOTO-MUE340-W,0
BOTO-MUEMPFS30-X,new product
BOTO-MUER0-W,inactive
BOTO-MUFMOR0-WPET,0
BOTO-MUGBHFBC250-L,new product
BOTO-MUGFM100-X,new product
BOTO-MUIPLB-W,inactive
BOTO-MUKPO-X,0
BOTO-MULFT-X,0
BOTO-MUM-X,inactive
BOTO-MUMF-E,inactive
BOTO-MUMGTBW-BD,PS
BOTO-MUMSSBW-BD,existing
BOTO-MUMYBW-BD,PS
BOTO-MUOMGTO-O,inactive
BOTO-MUPBW-X,PS
BOTO-MUPETG100-X,0
BOTO-MUPETHW250-X,existing
BOTO-MUPETRF12-X,new product
BOTO-MUPETRF50-X,existing
BOTO-MUPHW250-X,existing
BOTO-MURF200-X,0
BOTO-MURS-W,inactive
BOTO-MURS2-W,inactive
BOTO-MURYUMS30-W,inactive
BOTO-MUS-X,inactive
BOTO-MUSBL40-L,new product
BOTO-MUTCS1-W,inactive
BOTO-MUTCS2-W,inactive
BOTO-MUV100-X,0
BOTO-NCLAD04R0-W,initial
BOTO-NCLAD09R0-W,initial
BOTO-NCLAD13R0-W,initial
BOTO-NCLAD17R0-W,initial
BOTO-NDAHBW250-W,inactive
BOTO-NFSBW-K,0
BOTO-NFSBW30-BD,0
BOTO-NFSSABE5R0-CL,new product
BOTO-NFSSNP5-E,new product
BOTO-NFSSTV5-T,new product
BOTO-NGS01R0-E,initial
BOTO-NGS07R0-E,initial
BOTO-NPBRT100-T,new product
BOTO-NPM01R0-E,new product
BOTO-NPM02R0-E,new product
BOTO-NSS170-WHDPE,inactive
BOTO-NSS1702R0-W,inactive
BOTO-NSS1702R1-W,to be discontinued
BOTO-NSS1702R2-W,existing
BOTO-NSS170IIR0-WHDP,0
BOTO-NSS170R1-WHDPE,inactive
BOTO-NSS170R2-WHDPE,new product
BOTO-NWLS01R0-E,initial
BOTO-O100NATRHD-PM,inactive
BOTO-O100Y-PM,inactive
BOTO-OCABER0-W,existing
BOTO-OMGPGT100-OMG,to be discontinued
BOTO-OMGPGT100R1-OMG,existing
BOTO-PBSFS30R0-E,existing
BOTO-PCMR1-E,existing
BOTO-PCMWPSFB-W,existing
BOTO-PEPR0-MO,existing
BOTO-PET100ML39-X,existing
BOTO-PET100RN-WPET,inactive
BOTO-PET100S-IX24N,inactive
BOTO-PET100W-WPET,existing
BOTO-PET125-X,0
BOTO-PET200MBI-,inactive
BOTO-PET200NS03-,0
BOTO-PET240W-WPET,existing
BOTO-PET27TCD18-,inactive
BOTO-PET300R0-GG,new product
BOTO-PET300R0-WL,new product
BOTO-PET5024-W,existing
BOTO-PET60TCD18-,existing
BOTO-PETBMR0-EPET,inactive
BOTO-PETBR200NR-WPET,inactive
BOTO-PETCHEERS100-X,new product
BOTO-PETCHEERS240-X,initial
BOTO-PETCHEERS55-X,new product
BOTO-PETE250-ELL,new product
BOTO-PETE450-ELL,new product
BOTO-PETF200B22-N24,0
BOTO-PETHW250-W,existing
BOTO-PETMUPS1-GG,new product
BOTO-PETRF100B-X,existing
BOTO-PETRF100C-X,existing
BOTO-PETRF12-X,new product
BOTO-PETRF200-X,existing
BOTO-PETRF50-X,existing
BOTO-PETRF60M-W,existing
BOTO-PFMMSP-MOPET,existing
BOTO-PFS8-WOW,inactive
BOTO-PIMLCR1-MO,existing
BOTO-PIMLMPR0-W,inactive
