"Product Korporat Code","Reference","Quantity","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"","","","PEN-PRSVPE-X","Raw Material","0.008247"
"","","","PEN-SENSC50-X","Raw Material","0.00412"
"","","","POWD-TDMS-","Raw Material","0.331469"
"","","","SERI-CSF-X","Raw Material","0.206187"
"","","","ZINC-STW-X","Raw Material","0.02062"
"","","","PARF-AMSKLG-X","Raw Material","0.000413"
"","","","IPM-CRDSG-X","Raw Material","0.02062"
"","","","WARN-RED3ASTDMS-BULK","Intermediate","0.009833"
"","","","CABO-M5-X","Raw Material","0.02062"
"L-EMC14-BULK","28","1.0","COVA--","Raw Material","0.01"
"","","","ACTI-VEAC-X","Raw Material","0.005"
"","","","SILS-034-X","Raw Material","0.055"
"","","","TITA-OTS2CR50-","Raw Material","0.029281"
"","","","COSM-222--K","Raw Material","0.055"
"","","","NIPA-S--K","Raw Material","0.001"
"","","","SILI-DCMQ1600-X","Raw Material","0.05"
"","","","SILI-DC-PSFCS-X","Raw Material","0.08"
"","","","BENT-BGVS5PC-X","Raw Material","0.38"
"","","","PURO-IDD-X","Raw Material","0.1754"
"","","","BENT-BGISDV-X","Raw Material","0.04"
"","","","WAX-SBWX--X","Raw Material","0.045"
"","","","DRYF-PC-X","Raw Material","0.04"
"","","","PARF-VMR-X","Raw Material","0.0001"
"","","","EMO-BRB2835-X","Raw Material","0.005"
"","","","WARN-TOA403-KF","Raw Material","0.016628"
"","","","WARN-TPA502-X","Raw Material","0.001023"
"","","","WARN-C19012-DCR6-K","Raw Material","0.006747"
"","","","WARN-C338--K","Raw Material","0.00482"
"F-CLCMH-BULK","5","1.0","WARN-YLW3AS-X","Raw Material","0.0321"
"","","","SILI-DC749--X","Raw Material","0.07"
"","","","BUTY--DAI1,3","Raw Material","0.03"
"","","","EMUL-KF6028-X","Raw Material","0.03"
"","","","SUN-MP-X","Raw Material","0.05"
"","","","TIT-T85-X","Raw Material","0.031"
"","","","PURO-IDD-X","Raw Material","0.05"
"","","","SILI-1202-","Raw Material","0.05"
"","","","TITA-CROTS-X","Raw Material","0.0685"
"","","","AIR-RO--L","Raw Material","0.3225"
"","","","SILS-034-X","Raw Material","0.036"
"","","","UVIN-MC80-BASF","Raw Material","0.05"
"","","","GARA-RFS-X","Raw Material","0.01"
"","","","SILI-BE6-X","Raw Material","0.03"
"","","","BENT-BGVS5PC-X","Raw Material","0.03"
"","","","MC3-30-SF","Raw Material","0.02"
"","","","CECC---K","Raw Material","0.025"
"","","","SILI-BDP-X","Raw Material","0.03"
"","","","VITA-DL E-MS","Raw Material","0.005"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","ACTI-HFG-X","Raw Material","0.005"
"","","","SILC-SP500LS-X","Raw Material","0.003"
"","","","BHT-CRTL-X","Raw Material","0.001"
"","","","BASI-LP20H-X","Raw Material","0.0005"
"","","","WARN-BLCK3AS-X","Raw Material","0.0039"
"","","","WARN-RED3AS-X","Raw Material","0.008"
"","","","ACTM-CTLA-X","Raw Material","0.0005"
"ES-EP01-W-08-BULK","6","1.0","WARN-6278MRN-X","Raw Material","0.026933"
