"Korporat Code","Material Type","General Subcategory","Component FG/Korporat Code","Component FG/Material Type","Component FG/General Subcategory","Component REFILL/Korporat Code"
"BOTO-MKLCR0-OMG","Packaging Material","Regular","","","",""
"BOTO-MKLCSER0-OMG","Packaging Material","Regular","","","",""
"BOTO-MUACNS-W","Packaging Material","Regular","","","",""
"BOTO-MUAS-X","Packaging Material","Regular","","","",""
"BOTO-MUCHS1-T","Packaging Material","Regular","","","",""
"BOTO-MUCHS2-T","Packaging Material","Regular","","","",""
"BOTO-MUD3S-X","Packaging Material","Regular","","","",""
"BOTO-MUE340-W","Packaging Material","Regular","","","",""
"BOTO-MUFMOR0-WPET","Packaging Material","Regular","","","",""
"BOTO-MUGBHFBC250-L","Packaging Material","Regular","","","",""
"BOTO-MURYUMS30-W","Packaging Material","Regular","","","",""
"BOTO-MU2RYUMS30-W","Packaging Material","Regular","","","",""
"BOTO-PSHPPE-K","Packaging Material","Regular","","","",""
"BOTO-MURS2-W","Packaging Material","Regular","","","",""
"BOTO-MUV100-X","Packaging Material","Regular","","","",""
"BOTO-NCLAD04R0-W","Packaging Material","Regular","","","",""
"BOTO-NCLAD09R0-W","Packaging Material","Regular","","","",""
"BOTO-NCLAD13R0-W","Packaging Material","Regular","","","",""
"BOTO-NCLAD17R0-W","Packaging Material","Regular","","","",""
"BOTO-NFSSABE5R0-CL","Packaging Material","Regular","","","",""
"BOTO-NGS01R0-E","Packaging Material","Regular","","","",""
"BOTO-NGS07R0-E","Packaging Material","Regular","","","",""
"BOTO-NPM01R0-E","Packaging Material","Regular","","","",""
"BOTO-NPM02R0-E","Packaging Material","Regular","","","",""
"BOTO-NWLS01R0-E","Packaging Material","Regular","","","",""
"BOTO-NSS170-WHDPE","Packaging Material","Regular","","","",""
"BOTO-NSS1702R1-W","Packaging Material","Regular","","","",""
"BOTO-NSS1702R2-W","Packaging Material","Regular","","","",""
"BOTO-NSS1702R0-W","Packaging Material","Regular","","","",""
"BOTO-NSS170IIR0-WHDP","Packaging Material","Regular","","","",""
"BOTO-NSS170R2-WHDPE","Packaging Material","Regular","","","",""
"BOTO-OCABER0-W","Packaging Material","Regular","","","",""
"BOTO-PET5024-W","Packaging Material","Regular","","","",""
"BOTO-PETBMR0-EPET","Packaging Material","Regular","","","",""
"BOTO-PETBR200NR-WPET","Packaging Material","Regular","","","",""
"BOTO-PPBM10R0-E","Packaging Material","Regular","","","",""
"BOTO-PSBOSR0-B","Packaging Material","Regular","","","",""
"BOTO-PSLTR0-MO","Packaging Material","Regular","","","",""
"BOTO-PSNFSFS5-K","Packaging Material","Regular","","","",""
"BOTO-PLTCR0-MO","Packaging Material","Regular","","","",""
"BOTO-PLPRR0-MO","Packaging Material","Regular","","","",""
"BOTO-PEPR0-MO","Packaging Material","Regular","","","",""
"BOTO-PFMMSP-MOPET","Packaging Material","Regular","","","",""
"BOTO-PPLLCBR0-MO","Packaging Material","Regular","","","",""
"BOTO-PPLLR0-MO","Packaging Material","Regular","","","",""
"BOTO-PTMLCR0-MO","Packaging Material","Regular","","","",""
"BOTO-PTMLCR1-MO","Packaging Material","Regular","","","",""
"BOTO-PTMLCR2-MO","Packaging Material","Regular","","","",""
"BOTO-PVLSR0-MO","Packaging Material","Regular","","","",""
"BOTO-PWLF24H-MO","Packaging Material","Regular","","","",""
"BOTO-PWLFR-MO","Packaging Material","Regular","","","",""
"BOTP-EMLCR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-WIMLMPFER0-IP","Intermediate","Intermediate Pack","","","",""
"BOTP-PTMSE10-MO","Intermediate","Intermediate Pack","","","",""
"BOTP-PTMSE20-MO","Intermediate","Intermediate Pack","","","",""
"BOTP-PTMSE30-MO","Intermediate","Intermediate Pack","","","",""
"BOTP-PTMSE40-MO","Intermediate","Intermediate Pack","","","",""
"BOTP-PTMSE50-MO","Intermediate","Intermediate Pack","","","",""
"BOTP-PTMSE60-MO","Intermediate","Intermediate Pack","","","",""
"BOTP-PTMLER0-MO","Intermediate","Intermediate Pack","","","",""
"BOTP-CADLP00AJR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-CADLP13DLR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-CADLP14RLR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-CADLP15DNR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-CADLP16KLR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-CADLP17TBR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-ILSLS01R0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-ILSLS02R0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-ILSLS03R0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-ILSLS04R0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-ILSLS05R0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-ILSLS06R0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-WEIMLR0-IP","Intermediate","Intermediate Pack","","","",""
"BOTP-CVML09KR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-CVML10KR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-CVML11KR0-W","Intermediate","Intermediate Pack","","","",""
"BOTP-CVML12KR0-W","Intermediate","Intermediate Pack","","","",""
