"Korporat Code","Material Type","General Subcategory","Component FG/Korporat Code","Component FG/Material Type","Component FG/General Subcategory","Component REFILL/Korporat Code"
"","","","FW-AN1-BULK","Semi Finished Goods","Bulk",""
"MY-MAN1-EM","Finished Goods","Sellable","M-AN1-EM","Finished Goods","Sellable",""
"","","","M-AN1-BULK","Semi Finished Goods","Bulk",""
"MY-SRMAN1-EM","Finished Goods","Sellable","SRM-AN1-EM","Finished Goods","Sellable",""
"","","","SRM-AN1-BULK","Semi Finished Goods","Bulk",""
"MY-FTAN1-EM","Finished Goods","Sellable","FT-AN1-EM","Finished Goods","Sellable",""
"","","","FT-AN1-BULK","Semi Finished Goods","Bulk",""
"MY-LBSTSPB-EM","Finished Goods","Sellable","LB-STSPB-EM","Finished Goods","Sellable",""
"","","","LB-STSPB-BULK","Semi Finished Goods","Bulk",""
"MY-LBSTSPC-EM","Finished Goods","Sellable","LB-STSPC-EM","Finished Goods","Sellable",""
"","","","LB-STSPC-BULK","Semi Finished Goods","Bulk",""
"MY-ESPRPBK-EM","Finished Goods","Sellable","ES-PRPBK-EM3.3GR","Finished Goods","Sellable",""
"","","","ES-PMEO-RP-W1,1GR","Semi Finished Goods","Refill",""
"","","","ES-PRPBK01-RP-EM1,1G","Semi Finished Goods","Refill",""
"","","","ES-W1G-01-RP-W1,1GR","Semi Finished Goods","Refill",""
"MY-ESPRPGI-EM","Finished Goods","Sellable","ES-PRPGI-EM3.3GR","Finished Goods","Sellable",""
"","","","ES-C-RP-W1,1GR","Semi Finished Goods","Refill",""
"","","","ES-W0L-02-RP-W1,1GR","Semi Finished Goods","Refill",""
"","","","ES-W1F-01-RP-W1,1GR","Semi Finished Goods","Refill",""
"MY-ESPRPNS-EM","Finished Goods","Sellable","ES-PRPNS-EM3.3GR","Finished Goods","Sellable",""
"","","","ES-BV-RP-W1,1GR","Semi Finished Goods","Refill",""
"","","","ES-W0I-01-RP-W1,1GR","Semi Finished Goods","Refill",""
"","","","ES-W1F-01-RP-W1,1GR","Semi Finished Goods","Refill",""
"MY-ESPRPPH-EM","Finished Goods","Sellable","ES-PRPPH-EM3.3GR","Finished Goods","Sellable",""
"","","","ES-PRPPH02-RP-EM1,1G","Semi Finished Goods","Refill",""
"","","","ES-PRPPH03-RP-EM1,1G","Semi Finished Goods","Refill",""
"","","","ES-W1D-02-RP-W1,1GR","Semi Finished Goods","Refill",""
"MY-LNLCC-EM","Finished Goods","Sellable","L-NLCC-EM","Finished Goods","Sellable",""
"","","","L-NLCC-BULK","Semi Finished Goods","Bulk",""
"MY-LNLCB-EM","Finished Goods","Sellable","L-NLCB-EM","Finished Goods","Sellable",""
"","","","L-NLCB-BULK","Semi Finished Goods","Bulk",""
"MY-LNLCD-EM","Finished Goods","Sellable","L-NLCD-EM","Finished Goods","Sellable",""
"","","","L-NLCD-BULK","Semi Finished Goods","Bulk",""
"MY-LNLCA-EM","Finished Goods","Sellable","L-NLCA-EM","Finished Goods","Sellable",""
"","","","L-NLCA-BULK","Semi Finished Goods","Bulk",""
"MY-LNLCE-EM","Finished Goods","Sellable","L-NLCE-EM","Finished Goods","Sellable",""
"","","","L-NLCE-BULK","Semi Finished Goods","Bulk",""
"MY-PRMPR-EM","Finished Goods","Sellable","PRM-PR-EM20ML","Finished Goods","Sellable",""
"","","","PRM-PR-BULK","Semi Finished Goods","Bulk",""
"MY-BSFLP-EM","Finished Goods","Sellable","B-SFLP-EM8G","Finished Goods","Sellable",""
"","","","B-ESFBBLP-BULK","Semi Finished Goods","Bulk",""
"MY-FWSBRDBL-EM","Finished Goods","Sellable","FW-SBRDBL-EM","Finished Goods","Sellable",""
"","","","FW-SBRDBL-BULK","Semi Finished Goods","Bulk",""
"MY-FWSBRDBR-EM","Finished Goods","Sellable","FW-SBRDBR-EM","Finished Goods","Sellable",""
"","","","FW-SBRDBR-BULK","Semi Finished Goods","Bulk",""
"MY-FTSBFT-EM","Finished Goods","Sellable","FT-SBFT-EM","Finished Goods","Sellable",""
"","","","FT-SBFT-BULK","Semi Finished Goods","Bulk",""
"MY-REMSBRMW-EM","Finished Goods","Sellable","REM-SBRMW-EM","Finished Goods","Sellable",""
"","","","REM-SBRMW-BULK","Semi Finished Goods","Bulk",""
"MY-SSSBSP30-EM","Finished Goods","Sellable","SS-SBSP30-EM","Finished Goods","Sellable",""
"","","","SS-SBSP30-BULK","Semi Finished Goods","Bulk",""
"MY-EBSMUEMB-EM","Finished Goods","Sellable","EB-SMUEMB-EM","Finished Goods","Sellable",""
"","","","EB-SMUEMB-BULK","Semi Finished Goods","Bulk",""
"MY-EBSMUEMC-EM","Finished Goods","Sellable","EB-SMUEMC-EM","Finished Goods","Sellable",""
"","","","EB-SMUEMC-BULK","Semi Finished Goods","Bulk",""
"MY-EBSMUEMA-EM","Finished Goods","Sellable","EB-SMUEMA-EM","Finished Goods","Sellable",""
"","","","EB-SMUEMA-BULK","Semi Finished Goods","Bulk",""
"MY-LSMULGA-EM","Finished Goods","Sellable","L-SMULGA-EM","Finished Goods","Sellable",""
"","","","L-SMULGA-BULK","Semi Finished Goods","Bulk",""
"MY-LSMULGB-EM","Finished Goods","Sellable","L-SMULGB-EM","Finished Goods","Sellable",""
"","","","L-SMULGB-BULK","Semi Finished Goods","Bulk",""
"MY-LSMULMA-EM","Finished Goods","Sellable","L-SMULMA-EM","Finished Goods","Sellable",""
"","","","L-SMULMA-BULK","Semi Finished Goods","Bulk",""
"MY-LSMULMB-EM","Finished Goods","Sellable","L-SMULMB-EM","Finished Goods","Sellable",""
"","","","L-SMULMB-BULK","Semi Finished Goods","Bulk",""
"MY-LSMULMC-EM","Finished Goods","Sellable","L-SMULMC-EM","Finished Goods","Sellable",""
"","","","L-SMULMC-BULK","Semi Finished Goods","Bulk",""
"MY-LSMULMD-EM","Finished Goods","Sellable","L-SMULMD-EM","Finished Goods","Sellable",""
"","","","L-SMULMD-BULK","Semi Finished Goods","Bulk",""
"MY-CONSMULCC-EM","Finished Goods","Sellable","CON-SMULCC-EM","Finished Goods","Sellable",""
"","","","CON-SMULCC-BULK","Semi Finished Goods","Bulk",""
"MY-CONSMULCA-EM","Finished Goods","Sellable","CON-SMULCA-EM","Finished Goods","Sellable",""
"","","","CON-SMULCA-BULK","Semi Finished Goods","Bulk",""
"MY-CONSMULCB-EM","Finished Goods","Sellable","CON-SMULCB-EM","Finished Goods","Sellable",""
"","","","CON-SMULCB-BULK","Semi Finished Goods","Bulk",""
"MY-MASKSMU-EM","Finished Goods","Sellable","MASK-SMU-EM","Finished Goods","Sellable",""
"","","","MASK-SMU-BULK","Semi Finished Goods","Bulk",""
"MY-MASKSLA-EM","Finished Goods","Sellable","MASK-SLA-EM5GR","Finished Goods","Sellable",""
"","","","MASK-SLA-BULK","Semi Finished Goods","Bulk",""
"MY-LBSR-EM","Finished Goods","Sellable","LB-SR-EM4.2GR","Finished Goods","Sellable",""
"","","","L-LS-SR-BULK","Semi Finished Goods","Bulk",""
"MY-SSSBAT30-EM","Finished Goods","Sellable","SS-SBAT30-EM","Finished Goods","Sellable",""
"","","","SS-SBAT30-BULK","Semi Finished Goods","Bulk",""
"MY-SSSB45-EM","Finished Goods","Sellable","SS-SB45-EM","Finished Goods","Sellable",""
"","","","SS-SB45-BULK","Semi Finished Goods","Bulk",""
"MY-SSSBAS-EM","Finished Goods","Sellable","SS-SBAS-EM","Finished Goods","Sellable",""
"","","","SS-SBAS-BULK","Semi Finished Goods","Bulk",""
"MY-SSSB50-EM","Finished Goods","Sellable","SS-SB50-EM","Finished Goods","Sellable",""
"","","","SS-SB50-BULK","Semi Finished Goods","Bulk",""
"MY-EBTS-EM","Finished Goods","Sellable","EB-TS-EM2.9GR","Finished Goods","Sellable",""
"","","","EB-TS-01-RP-EM1,1GR","Semi Finished Goods","Refill",""
"","","","EB-TS-02-RP-EM1,1GR","Semi Finished Goods","Refill",""
"MY-LLLS01-EM","Finished Goods","Sellable","L-LLS01-EM","Finished Goods","Sellable",""
"","","","L-LLS01-BULK","Semi Finished Goods","Bulk",""
"MY-LLLS02-EM","Finished Goods","Sellable","L-LLS02-EM","Finished Goods","Sellable",""
"","","","L-LLS02-BULK","Semi Finished Goods","Bulk",""
"MY-LLLS03-EM","Finished Goods","Sellable","L-LLS03-EM","Finished Goods","Sellable",""
"","","","L-LLS03-BULK","Semi Finished Goods","Bulk",""
"MY-LLLS04-EM","Finished Goods","Sellable","L-LLS04-EM","Finished Goods","Sellable",""
"","","","L-LLS04-BULK","Semi Finished Goods","Bulk",""
"MY-EBIPB3M01-W","Finished Goods","Sellable","EB-IPB3M01-W5.5G","Finished Goods","Sellable",""
"MY-REBIPB3M01-W","Finished Goods","Sellable","EB-IPB3M01-W5.5G","Finished Goods","Sellable",""
"","","","EB-IPB3M01-BULK","Semi Finished Goods","Bulk",""
"MY-REBIPB3M02-W","Finished Goods","Sellable","EB-IPB3M02-W5.5G","Finished Goods","Sellable",""
"","","","EB-IPB3M02-BULK","Semi Finished Goods","Bulk",""
"MY-EBIPB3M02-W","Finished Goods","Sellable","EB-IPB3M02-W5.5G","Finished Goods","Sellable",""
"MY-EBIPEM01-W","Finished Goods","Sellable","EB-IPEM01-W","Finished Goods","Sellable",""
"MY-EBIPEM02-W","Finished Goods","Sellable","EB-IPEM02-W","Finished Goods","Sellable",""
"MY-PRMRRIPSP-W","Finished Goods","Sellable","PRM-RRIPSP-W","Finished Goods","Sellable",""
"","","","PRM-RRIPSP-BULK","Semi Finished Goods","Bulk",""
"MY-EBRIPBA-W","Finished Goods","Sellable","","","",""
"MY-EBRIPBB-W","Finished Goods","Sellable","","","",""
"MY-EBIPEM03-W","Finished Goods","Sellable","","","",""
"MY-EBIPEM04-W","Finished Goods","Sellable","","","",""
"MY-EBIPEM05-W","Finished Goods","Sellable","","","",""
"MY-EBRIPEM01-W","Finished Goods","Sellable","","","",""
"MY-EBRIPEM02-W","Finished Goods","Sellable","","","",""
"MY-BOIPCBBC01-W","Finished Goods","Sellable","BO-IPCBBC01-W5.6G","Finished Goods","Sellable",""
"","","","INSP-CBBC1BWR0-X","Packaging Material","Regular",""
"MY-RBOIPCBBC01-W","Finished Goods","Sellable","BO-IPCBBC01-W5.6G","Finished Goods","Sellable",""
"","","","INSP-CBBC1BWR0-X","Packaging Material","Regular",""
"MY-RBOIPCBBC02-W","Finished Goods","Sellable","BO-IPCBBC02-W5.6G","Finished Goods","Sellable",""
"","","","INSP-CBBC2AWR0-X","Packaging Material","Regular",""
"MY-BOIPCBBC02-W","Finished Goods","Sellable","BO-IPCBBC02-W5.6G","Finished Goods","Sellable",""
"","","","INSP-CBBC2AWR0-X","Packaging Material","Regular",""
"MY-RELIPDM-W","Finished Goods","Sellable","EL-IPDM-W0.2G","Finished Goods","Sellable",""
"","","","INSP-DMLWR0-X","Packaging Material","Regular",""
"MY-ELIPDM-W","Finished Goods","Sellable","EL-IPDM-W0.2G","Finished Goods","Sellable",""
"MY-PIPRB-W","Finished Goods","Sellable","","","",""
"MY-LIPEI01-W","Finished Goods","Sellable","L-IPEI01-W","Finished Goods","Sellable",""
"","","","L-IPEI01-BULK","Semi Finished Goods","Bulk",""
"MY-LRIPEI01-W","Finished Goods","Sellable","L-RIPEI01-W","Finished Goods","Sellable",""
"","","","L-RIPEI01-BULK","Semi Finished Goods","Bulk",""
"MY-LIPEI02-W","Finished Goods","Sellable","L-IPEI02-W","Finished Goods","Sellable",""
"","","","L-IPEI02-BULK","Semi Finished Goods","Bulk",""
"MY-LRIPEI02-W","Finished Goods","Sellable","L-RIPEI02-W","Finished Goods","Sellable",""
"","","","L-RIPEI02-BULK","Semi Finished Goods","Bulk",""
"MY-LRIPEI03-W","Finished Goods","Sellable","L-RIPEI03-W","Finished Goods","Sellable",""
"","","","L-RIPEI03-BULK","Semi Finished Goods","Bulk",""
"MY-LIPEI03-W","Finished Goods","Sellable","L-IPEI03-W","Finished Goods","Sellable",""
"","","","L-IPEI03-BULK","Semi Finished Goods","Bulk",""
"MY-LIPEI04-W","Finished Goods","Sellable","L-IPEI04-W","Finished Goods","Sellable",""
"","","","L-IPEI04-BULK","Semi Finished Goods","Bulk",""
"MY-LRIPEI04-W","Finished Goods","Sellable","L-RIPEI04-W","Finished Goods","Sellable",""
"","","","L-RIPEI04-BULK","Semi Finished Goods","Bulk",""
"MY-LRIPEI05-W","Finished Goods","Sellable","L-RIPEI05-W","Finished Goods","Sellable",""
"","","","L-RIPEI05-BULK","Semi Finished Goods","Bulk",""
"MY-LIPEI05-W","Finished Goods","Sellable","L-IPEI05-W","Finished Goods","Sellable",""
"","","","L-IPEI05-BULK","Semi Finished Goods","Bulk",""
"MY-LRIPEI06-W","Finished Goods","Sellable","L-RIPEI06-W","Finished Goods","Sellable",""
"","","","L-RIPEI06-BULK","Semi Finished Goods","Bulk",""
"MY-LIPEI06-W","Finished Goods","Sellable","L-IPEI06-W","Finished Goods","Sellable",""
"","","","L-IPEI06-BULK","Semi Finished Goods","Bulk",""
"MY-LIPEI07-W","Finished Goods","Sellable","L-IPEI07-W","Finished Goods","Sellable",""
"","","","L-IPEI07-BULK","Semi Finished Goods","Bulk",""
"MY-LRIPEI07-W","Finished Goods","Sellable","L-RIPEI07-W","Finished Goods","Sellable",""
"","","","L-RIPEI07-BULK","Semi Finished Goods","Bulk",""
"MY-LRIPEI08-W","Finished Goods","Sellable","L-RIPEI08-W","Finished Goods","Sellable",""
"","","","L-RIPEI08-BULK","Semi Finished Goods","Bulk",""
"MY-LIPEI08-W","Finished Goods","Sellable","L-IPEI08-W","Finished Goods","Sellable",""
"","","","L-IPEI08-BULK","Semi Finished Goods","Bulk",""
"MY-LIPEI13-W","Finished Goods","Sellable","","","",""
"MY-LIPEI14-W","Finished Goods","Sellable","","","",""
"MY-LIPEI15-W","Finished Goods","Sellable","","","",""
"MY-LIPEI16-W","Finished Goods","Sellable","","","",""
"MY-LIPEI17-W","Finished Goods","Sellable","","","",""
"MY-LIPEI18-W","Finished Goods","Sellable","","","",""
"MY-LIPEI19-W","Finished Goods","Sellable","","","",""
"MY-LIPEI20-W","Finished Goods","Sellable","","","",""
"MY-EBIPGMC01-W","Finished Goods","Sellable","EB-IPGMC01-W0.25G","Finished Goods","Sellable",""
"MY-REBIPGMC01-W","Finished Goods","Sellable","EB-IPGMC01-W0.25G","Finished Goods","Sellable",""
"MY-REBIPGMC02-W","Finished Goods","Sellable","EB-IPGMC02-W0.25G","Finished Goods","Sellable",""
"MY-EBIPGMC02-W","Finished Goods","Sellable","EB-IPGMC02-W0.25G","Finished Goods","Sellable",""
"MY-RLIPGC01-W","Finished Goods","Sellable","L-IPGC01-W2.7G","Finished Goods","Sellable",""
"","","","L-IPGC01-BULK","Semi Finished Goods","Bulk",""
"MY-LIPGC02-W","Finished Goods","Sellable","L-IPGC02-W2.7G","Finished Goods","Sellable",""
"MY-RLIPGC02-W","Finished Goods","Sellable","L-IPGC02-W2.7G","Finished Goods","Sellable",""
"","","","L-IPGC02-BULK","Semi Finished Goods","Bulk",""
"MY-RLIPGC03-W","Finished Goods","Sellable","L-IPGC03-W2.7G","Finished Goods","Sellable",""
"","","","L-IPGC03-BULK","Semi Finished Goods","Bulk",""
"MY-ELIPHPB-W","Finished Goods","Sellable","EL-IPHPB-W1G","Finished Goods","Sellable",""
"MY-RELIPHPB-W","Finished Goods","Sellable","EL-IPHPB-W1G","Finished Goods","Sellable",""
"","","","INSP-HGPBLWR0-X","Packaging Material","Regular",""
"MY-FAIPLGH01-W","Finished Goods","Sellable","FA-IPLGH01-W","Finished Goods","Sellable",""
"","","","FA-IPLGH01-BULK","Semi Finished Goods","Bulk",""
"MY-FAIPLGH02-W","Finished Goods","Sellable","FA-IPLGH02-W","Finished Goods","Sellable",""
"","","","FA-IPLGH02-BULK","Semi Finished Goods","Bulk",""
"MY-ELIPHBR-W","Finished Goods","Sellable","","","",""
"MY-ELR2IPHPB-W","Finished Goods","Sellable","","","",""
"MY-RTCIPMFPF11-W","Finished Goods","Sellable","TC-IPMFPF11-W13G","Finished Goods","Sellable",""
"","","","TC-IPMFPF11-BULK","Semi Finished Goods","Bulk",""
"MY-TCIPMFPF11-W","Finished Goods","Sellable","TC-IPMFPF11-W13G","Finished Goods","Sellable",""
"","","","TC-IPMFPF11-BULK","Semi Finished Goods","Bulk",""
"MY-RTCIPMFPF12-W","Finished Goods","Sellable","TC-IPMFPF12-W13G","Finished Goods","Sellable",""
"","","","TC-IPMFPF12-BULK","Semi Finished Goods","Bulk",""
"MY-TCIPMFPF12-W","Finished Goods","Sellable","TC-IPMFPF12-W13G","Finished Goods","Sellable",""
"","","","TC-IPMFPF12-BULK","Semi Finished Goods","Bulk",""
"MY-RTCIPMFPF13-W","Finished Goods","Sellable","TC-IPMFPF13-W13G","Finished Goods","Sellable",""
"","","","TC-IPMFPF13-BULK","Semi Finished Goods","Bulk",""
"MY-TCIPMFPF13-W","Finished Goods","Sellable","TC-IPMFPF13-W13G","Finished Goods","Sellable",""
"","","","TC-IPMFPF13-BULK","Semi Finished Goods","Bulk",""
"MY-RTCIPMFPF14-W","Finished Goods","Sellable","TC-IPMFPF14-W13G","Finished Goods","Sellable",""
"","","","TC-IPMFPF14-BULK","Semi Finished Goods","Bulk",""
"MY-TCIPMFPF14-W","Finished Goods","Sellable","TC-IPMFPF14-W13G","Finished Goods","Sellable",""
"","","","TC-IPMFPF14-BULK","Semi Finished Goods","Bulk",""
"MY-RLIPMC01-W","Finished Goods","Sellable","L-IPMC01-W3G","Finished Goods","Sellable",""
"","","","L-IPMC01-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMC01-W","Finished Goods","Sellable","L-IPMC01-W3G","Finished Goods","Sellable",""
"MY-RLIPMC02-W","Finished Goods","Sellable","L-IPMC02-W3G","Finished Goods","Sellable",""
"","","","L-IPMC02-BULK","Semi Finished Goods","Bulk",""
"MY-RLIPMC03-W","Finished Goods","Sellable","L-IPMC03-W3G","Finished Goods","Sellable",""
"","","","L-IPMC03-BULK","Semi Finished Goods","Bulk",""
"MY-RLIPMC04-W","Finished Goods","Sellable","L-IPMC04-W3G","Finished Goods","Sellable",""
"","","","L-IPMC04-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMC05-W","Finished Goods","Sellable","L-IPMC05-W3G","Finished Goods","Sellable",""
"MY-RLIPMC05-W","Finished Goods","Sellable","L-IPMC05-W3G","Finished Goods","Sellable",""
"","","","L-IPMC05-BULK","Semi Finished Goods","Bulk",""
"MY-RLIPMC06-W","Finished Goods","Sellable","L-IPMC06-W3G","Finished Goods","Sellable",""
"","","","L-IPMC06-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMC06-W","Finished Goods","Sellable","L-IPMC06-W3G","Finished Goods","Sellable",""
"MY-LRRIPLMP01-W","Finished Goods","Sellable","L-RRIPLMP01-W","Finished Goods","Sellable",""
"","","","L-RRIPLMP01-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMLMP01-W","Finished Goods","Sellable","L-IPMLMP01-W5.5G","Finished Goods","Sellable",""
"","","","L-IPMLMP01-BULK","Semi Finished Goods","Bulk",""
"MY-LRRIPLMP02-W","Finished Goods","Sellable","L-RRIPLMP02-W","Finished Goods","Sellable",""
"","","","L-RRIPLMP02-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMLMP02-W","Finished Goods","Sellable","L-IPMLMP02-W5.5G","Finished Goods","Sellable",""
"","","","L-IPMLMP02-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMLMP03-W","Finished Goods","Sellable","L-IPMLMP03-W5.5G","Finished Goods","Sellable",""
"","","","L-IPMLMP03-BULK","Semi Finished Goods","Bulk",""
"MY-LRRIPLMP03-W","Finished Goods","Sellable","L-RRIPLMP03-W","Finished Goods","Sellable",""
"","","","L-RRIPLMP03-BULK","Semi Finished Goods","Bulk",""
"MY-LRRIPLMP04-W","Finished Goods","Sellable","L-RRIPLMP04-W","Finished Goods","Sellable",""
"","","","L-RRIPLMP04-BULK","Semi Finished Goods","Bulk",""
"MY-RLIPMLMP04-W","Finished Goods","Sellable","L-IPMLMP04-W5.5G","Finished Goods","Sellable",""
"","","","L-IPMLMP04-BULK","Semi Finished Goods","Bulk",""
"MY-RLIPMLMP05-W","Finished Goods","Sellable","L-IPMLMP05-W5.5G","Finished Goods","Sellable",""
"","","","L-IPMLMP05-BULK","Semi Finished Goods","Bulk",""
"MY-LRRIPLMP05-W","Finished Goods","Sellable","L-RRIPLMP05-W","Finished Goods","Sellable",""
"","","","L-RRIPLMP05-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMLMP06-W","Finished Goods","Sellable","L-IPMLMP06-W","Finished Goods","Sellable",""
"","","","L-IPMLMP06-BULK","Semi Finished Goods","Bulk",""
"MY-LRRIPLMP06-W","Finished Goods","Sellable","L-RRIPLMP06-W","Finished Goods","Sellable",""
"","","","L-RRIPLMP06-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMLMP07-W","Finished Goods","Sellable","L-IPMLMP07-W","Finished Goods","Sellable",""
"","","","L-IPMLMP07-BULK","Semi Finished Goods","Bulk",""
"MY-LRRIPLMP07-W","Finished Goods","Sellable","L-RRIPLMP07-W","Finished Goods","Sellable",""
"","","","L-RRIPLMP07-BULK","Semi Finished Goods","Bulk",""
"MY-LRRIPLMP08-W","Finished Goods","Sellable","L-RRIPLMP08-W","Finished Goods","Sellable",""
"","","","L-RRIPLMP08-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMLMP08-W","Finished Goods","Sellable","L-IPMLMP08-W","Finished Goods","Sellable",""
"","","","L-IPMLMP08-BULK","Semi Finished Goods","Bulk",""
"MY-LRRIPLMP09-W","Finished Goods","Sellable","L-RRIPLMP09-W","Finished Goods","Sellable",""
"","","","L-RRIPLMP09-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMLMP09-W","Finished Goods","Sellable","L-IPMLMP09-W","Finished Goods","Sellable",""
"","","","L-IPMLMP09-BULK","Semi Finished Goods","Bulk",""
"MY-RLIPMMS01-W","Finished Goods","Sellable","L-IPMMS01-W3.5G","Finished Goods","Sellable",""
"","","","L-IPMMS01-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMMS01-W","Finished Goods","Sellable","L-IPMMS01-W3.5G","Finished Goods","Sellable",""
"MY-RLIPMMS02-W","Finished Goods","Sellable","L-IPMMS02-W3.5G","Finished Goods","Sellable",""
"","","","L-IPMMS02-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMMS02-W","Finished Goods","Sellable","L-IPMMS02-W3.5G","Finished Goods","Sellable",""
"MY-RLIPMMS03-W","Finished Goods","Sellable","L-IPMMS03-W3.5G","Finished Goods","Sellable",""
"","","","L-IPMMS03-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMMS03-W","Finished Goods","Sellable","L-IPMMS03-W3.5G","Finished Goods","Sellable",""
"MY-RLIPMMS04-W","Finished Goods","Sellable","L-IPMMS04-W3.5G","Finished Goods","Sellable",""
"","","","L-IPMMS04-BULK","Semi Finished Goods","Bulk",""
"MY-LIPMMS04-W","Finished Goods","Sellable","L-IPMMS04-W3.5G","Finished Goods","Sellable",""
"MY-LIPMMS05-W","Finished Goods","Sellable","L-IPMMS05-W3.5G","Finished Goods","Sellable",""
"MY-RLIPMMS05-W","Finished Goods","Sellable","L-IPMMS05-W3.5G","Finished Goods","Sellable",""
"","","","L-IPMMS05-BULK","Semi Finished Goods","Bulk",""
"MY-RCUSIPMB11-W","Finished Goods","Sellable","CUS-IPMB11-W15G","Finished Goods","Sellable",""
"","","","INSP-MBC11FR2-W","Packaging Material","Regular",""
"MY-CUSIPMB11-W","Finished Goods","Sellable","CUS-IPMB11-W15G","Finished Goods","Sellable",""
"","","","INSP-MBC11FR2-W","Packaging Material","Regular",""
"MY-CUSIPMB12-W","Finished Goods","Sellable","CUS-IPMB12-W15G","Finished Goods","Sellable",""
"","","","INSP-MBC12IR2-W","Packaging Material","Regular",""
"MY-RCUSIPMB12-W","Finished Goods","Sellable","CUS-IPMB12-W15G","Finished Goods","Sellable",""
"","","","INSP-MBC12IR2-W","Packaging Material","Regular",""
"MY-CUSIPMB13-W","Finished Goods","Sellable","CUS-IPMB13-W15G","Finished Goods","Sellable",""
"","","","INSP-MBC13BR2-W","Packaging Material","Regular",""
"MY-RCUSIPMB13-W","Finished Goods","Sellable","CUS-IPMB13-W15G","Finished Goods","Sellable",""
"","","","INSP-MBC13BR2-W","Packaging Material","Regular",""
"MY-RCUSIPMB14-W","Finished Goods","Sellable","CUS-IPMB14-W15G","Finished Goods","Sellable",""
"","","","INSP-MBC14CR2-W","Packaging Material","Regular",""
"MY-CUSIPMB14-W","Finished Goods","Sellable","CUS-IPMB14-W15G","Finished Goods","Sellable",""
"","","","INSP-MBC14CR2-W","Packaging Material","Regular",""
"MY-TCIPPF01-W","Finished Goods","Sellable","TC-IPPF01-W","Finished Goods","Sellable",""
"","","","TC-IPPF01-BULK","Semi Finished Goods","Bulk",""
"MY-TCIPPF02-W","Finished Goods","Sellable","TC-IPPF02-W","Finished Goods","Sellable",""
"","","","TC-IPPF02-BULK","Semi Finished Goods","Bulk",""
"MY-TCIPPF03-W","Finished Goods","Sellable","TC-IPPF03-W","Finished Goods","Sellable",""
"","","","TC-IPPF03-BULK","Semi Finished Goods","Bulk",""
"MY-TCIPPF04-W","Finished Goods","Sellable","TC-IPPF04-W","Finished Goods","Sellable",""
"","","","TC-IPPF04-BULK","Semi Finished Goods","Bulk",""
"MY-TCIPPF05-W","Finished Goods","Sellable","TC-IPPF05-W","Finished Goods","Sellable",""
"","","","TC-IPPF05-BULK","Semi Finished Goods","Bulk",""
"MY-TCIPPF06-W","Finished Goods","Sellable","TC-IPPF06-W","Finished Goods","Sellable",""
"","","","TC-IPPF06-BULK","Semi Finished Goods","Bulk",""
"MY-PRMIPPF-W","Finished Goods","Sellable","PRM-IPPF-W20ML","Finished Goods","Sellable",""
"","","","PRM-IPPF-BULK","Semi Finished Goods","Bulk",""
"MY-RPRMIPPF-W","Finished Goods","Sellable","PRM-IPPF-W20ML","Finished Goods","Sellable",""
"","","","PRM-IPPF-BULK","Semi Finished Goods","Bulk",""
"MY-BIPQSP11-W","Finished Goods","Sellable","B-IPQSP11-W","Finished Goods","Sellable",""
"","","","B-IPQSP11-BULK","Semi Finished Goods","Bulk",""
"MY-BIPQSP12-W","Finished Goods","Sellable","B-IPQSP12-W","Finished Goods","Sellable",""
"","","","B-IPQSP12-BULK","Semi Finished Goods","Bulk",""
"MY-BIPQSP13-W","Finished Goods","Sellable","B-IPQSP13-W","Finished Goods","Sellable",""
"","","","B-IPQSP13-BULK","Semi Finished Goods","Bulk",""
"MY-BIPQSP14-W","Finished Goods","Sellable","B-IPQSP14-W","Finished Goods","Sellable",""
"","","","B-IPQSP14-BULK","Semi Finished Goods","Bulk",""
"MY-BIPQSP15-W","Finished Goods","Sellable","B-IPQSP15-W","Finished Goods","Sellable",""
"","","","B-IPQSP15-BULK","Semi Finished Goods","Bulk",""
"MY-BIPQSP16-W","Finished Goods","Sellable","B-IPQSP16-W","Finished Goods","Sellable",""
"","","","B-IPQSP16-BULK","Semi Finished Goods","Bulk",""
"MY-FIPSF11-W","Finished Goods","Sellable","F-IPSF11-W","Finished Goods","Sellable",""
"","","","F-IPSF11-BULK","Semi Finished Goods","Bulk",""
"MY-FIPSF12-W","Finished Goods","Sellable","F-IPSF12-W","Finished Goods","Sellable",""
"","","","F-IPSF12-BULK","Semi Finished Goods","Bulk",""
"MY-FIPSF13-W","Finished Goods","Sellable","F-IPSF13-W","Finished Goods","Sellable",""
"","","","F-IPSF13-BULK","Semi Finished Goods","Bulk",""
"MY-FIPSF14-W","Finished Goods","Sellable","F-IPSF14-W","Finished Goods","Sellable",""
