Kode Item Baru,Nama Item,MPQ Olah,MPQ Kemas,MPQ Supply,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,Sum,MPQ Kemas,MPQ Supply
B-IPQSP16-W,Instaperfect QUICKMATTE Loose Powder 52 Almond 9 g,7,720,740,720,0,720,0,720,0,720,0,0,720,0,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,0,720,0,720,0,0,720,0,720,0,0,720,0,0,720,0,0,0,720,0,,,18720,720,740
B-NFSDMCP02-EM,Emina NFS Daily Matte Compact Powder 02 Natural 4 g,80,15300,15300,0,0,0,0,0,0,0,0,15300,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30600,15300,15300
B-OMGL-OMG,OMG Loose Powder Light 20 g,300,14560,14570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,14560,14570
B-OMGM-OMG,OMG Loose Powder Medium 20 g,300,14560,14570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,14560,14570
B-PBTUBB-W,Wardah Perfect Bright BB Powder 50 g,300,5950,5970,5295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5295,5950,5970
B-PMT-MO11G,MAKE OVER Powerstay Mattifying Transparent Powder 11 g,10,882,902,882,882,0,0,0,882,0,0,882,0,882,0,882,882,0,882,0,882,0,882,0,882,882,0,882,0,882,0,882,882,0,882,0,882,0,882,0,882,882,0,882,0,882,0,882,882,0,882,0,882,0,882,0,882,882,0,882,0,882,0,882,882,0,882,0,0,0,,,"30,870",882,902
B-PT01-MO35G,MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s)),100,2754,2774,2754,2754,2754,"2,754",2754,0,0,0,2754,2754,2754,2754,"5,508",2754,2754,2754,2754,"2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754",0,2754,0,,,195534,2754,2774
B-PT02-MO35G,MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s)),100,"2,686","2,706","2,686","2,686",0,"2,686","2,686",0,0,0,"2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686",0,0,"2,686",,,"147,730","2,686","2,706"
B-PT03-MO35G,MAKE OVER Silky Smooth Translucent Powder 03 Champagne 35 g (Pc(s),60,"1,598","1,618","1,598",0,0,0,0,"1,598",0,0,"1,598",0,0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,0,0,0,0,,,"31,960","1,598","1,618"
B-PT04-MO35G,MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s)),20,510,530,0,0,0,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,510,510,0,0,0,,,"20,910",510,530
