Kode Unik,Factory,Kode Item,Kode Bulk,MPQ Olah,MPQ Kemas,% Fase,Rumus Bulk,MPQ Supply,W21/2023,W22/2023,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,Kode Formula
CM-CML-EM50ML/CM-CML-BULK,Liquid factory,CM-CML-EM50ML,CM-CML-BULK,300,"5,650",1,CM-CML-BULK/1,5650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM-CML-BULK/8
CM-LCC-W/CM-LCC-BULK,Liquid factory,CM-LCC-W,CM-LCC-BULK,1000,"9,730",1,CM-LCC-BULK/1,9730,28338,9446,9446,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,9446,9446,18892,9446,0,0,9446,CM-LCC-BULK/13
CM-RWSPBC-W/CM-RWSPBC-BULK,Liquid factory,CM-RWSPBC-W,CM-RWSPBC-BULK,1000,"9,768",1,CM-RWSPBC-BULK/1,9768,0,9483,0,0,9483,9483,0,9483,9483,0,9483,0,9483,9483,0,9483,0,9483,9483,0,9483,9483,0,9483,0,9483,9483,0,9483,9483,0,9483,0,9483,9483,0,9483,0,9483,9483,0,9483,9483,0,9483,0,9483,9483,0,9483,9483,0,9483,0,9483,9483,0,9483,0,9483,9483,0,9483,9483,0,0,0,0,CM-RWSPBC-BULK/FF.RND.W862.01
CM-WSOG-W/CM-WSOG-BULK,Liquid factory,CM-WSOG-W,CM-WSOG-BULK,1000,"10,230",1,CM-WSOG-BULK/1,10230,0,0,0,0,9932,0,0,0,0,0,0,9932,0,0,0,0,0,0,9932,0,0,0,0,0,9932,0,0,0,0,0,0,9932,0,0,0,0,0,9932,0,0,0,0,0,0,9932,0,0,0,0,0,9932,0,0,0,0,0,0,9932,0,0,0,0,0,9932,0,0,0,0,CM-WSOG-BULK/FF.RND.W856.02
CON-C-MO11ML/CON-C-B-BULK,Semisolid factory,CON-C-MO11ML,CON-C-B-BULK,2,955,1,CON-C-B-BULK/1,955,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,0,0,0,CON-C-B-BULK/13
CON-C-MO11ML/CON-C-C-BULK,Semisolid factory,CON-C-MO11ML,CON-C-C-BULK,2,955,1,CON-C-C-BULK/1,955,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,0,0,0,CON-C-C-BULK/16
CON-C-MO11ML/CON-C-HM-BULK,Semisolid factory,CON-C-MO11ML,CON-C-HM-BULK,2,955,1,CON-C-HM-BULK/1,955,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,0,0,0,CON-C-HM-BULK/11
CON-C-MO11ML/CON-C-LB-BULK,Semisolid factory,CON-C-MO11ML,CON-C-LB-BULK,2,955,1,CON-C-LB-BULK/1,955,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,0,0,0,CON-C-LB-BULK/15
CON-C-MO11ML/CON-C-UM-BULK,Semisolid factory,CON-C-MO11ML,CON-C-UM-BULK,2,955,1,CON-C-UM-BULK/1,955,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,935,0,935,0,935,0,935,0,935,0,935,0,935,0,935,0,0,0,0,CON-C-UM-BULK/12
CON-CPADC01-W/CON-CPADC01-BULK,Semisolid factory,CON-CPADC01-W,CON-CPADC01-BULK,4.5,"1,556",1,CON-CPADC01-BULK/1,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,CON-CPADC01-BULK/FF.RND.W725.01
