Kode Unik,Korporat Code Bulk,Korporat Code Material,Material Type,Quantity
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,BUTT-EBUSA-SBUR,Raw Material,0.1
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,EMU-CTL8-X,Raw Material,0.075
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,GLYC--ECOS-K,Raw Material,0.05
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,ARLA-165--K,Raw Material,0.04
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,STA--C18-K,Raw Material,0.03
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,OIL-ORJVA-X,Raw Material,0.03
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,CETY---K,Raw Material,0.015
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,PARF-OLVALF2-X,Raw Material,0.008
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,SILI-D2-TSFST-K,Raw Material,0.01
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,PENG-PHC-X,Raw Material,0.01
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,SQUA-AMYR-X,Raw Material,0.01
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,THIC-CMDSP-X,Raw Material,0.004
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,EDT-DSLV-X,Raw Material,0.001
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,ACTI-TINTT-X,Raw Material,0.001
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,ACTI-VEAC-X,Raw Material,0.001
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,EMO-RFNJO-X,Raw Material,0.0001
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,WARN-K-BULK,Intermediate,0.00097
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,WARN-B-BULK,Intermediate,0.00008
BUT-W0O-BULK/FS.RND.W0329-VER.01,BUT-W0O-BULK,WARN-LT--BULK,Intermediate,0.00007
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,ACTI-VEAC-X,Raw Material,0.001
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,ACTI-TINTT-X,Raw Material,0.001
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,THIC-CMDSP-X,Raw Material,0.004
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,EXTR-GNGGE-X,Raw Material,0.005
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,EMO-RFNJO-X,Raw Material,0.0001
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,EMU-CTL8-X,Raw Material,0.075
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,BUTT-EBUSA-SBUR,Raw Material,0.1
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,AIR-RO--L,Raw Material,0.59243
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,WARN-B-BULK,Intermediate,0.00007
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,SILI-D2-TSFST-K,Raw Material,0.01
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,WARN-LT--BULK,Intermediate,0.0004
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,EXTR-LDEP090-X,Raw Material,0.005
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,CETY---K,Raw Material,0.015
BUT-W0LG-BULK/FS.RND.W0330-VER.01,BUT-W0LG-BULK,EDT-DSLV-X,Raw Material,0.001
