Kode,Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,,BULK,Cek Bahan Antara,Bahan Antara
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,UVIN-MC80-BASF,Raw Material,0.075000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,SILI-9546-EDC,Raw Material,0.007500,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,EXTR-WTCHPF-X,Raw Material,0.020000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,PROP-PPGULD-X,Raw Material,0.020000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,SEPI-305-SF-K,Raw Material,0.020000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,PARS-5000-DSM,Raw Material,0.020000,,A-DM-W40ML/A-DM-BULK,,
A-DM-W40ML/A-DM-BULK,A-DM-BULK/Normal (ref 8),A-DM-BULK,AQUA---K,Raw Material,0.020000,,A-DM-W40ML/A-DM-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,WARN-CLRG-X,Raw Material,0.004220,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,WARN-COGO--K,Raw Material,0.006580,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,PARF-AMSKLG-X,Raw Material,0.000500,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,ALAN--AK-K,Raw Material,0.001000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,EXTR-CNDWLHB-X,Raw Material,0.010000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,ZINC-STW-X,Raw Material,0.045000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,ASAM-SCAD-X,Raw Material,0.005000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,CORN---K,Raw Material,0.299650,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,PWD-KALNPD-X,Raw Material,0.200000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,SERI-790-,Raw Material,0.099090,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,TITA--3328EW-K,Raw Material,0.010000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,TIT-CR50HD-X,Raw Material,0.010000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,POWD-SBK-X,Raw Material,0.050000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,SILI-DC21-,Raw Material,0.005000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,WARN-ABIO-X,Raw Material,0.000950,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,SERI-S-D-K,Raw Material,0.240000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,PEN-PRSVPE-X,Raw Material,0.008000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,PEN-SENSC50-X,Raw Material,0.004000,,A-FP-W20G/A-FPW3-BULK,,
A-FP-W20G/A-FPW3-BULK,A-FPW3-BULK/Reference 26,A-FPW3-BULK,EXTR-FS-I-K,Raw Material,0.001000,,A-FP-W20G/A-FPW3-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SILI-2005-DC-K,Raw Material,0.040000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SOLV-BGKHN-X,Raw Material,0.055000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,GLYC--ECOS-K,Raw Material,0.040000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,ASAM-SCAD-X,Raw Material,0.005000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,PROP-PGESK-X,Raw Material,0.005000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,PENG-PHC-X,Raw Material,0.005000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,TRI--DOW-K,Raw Material,0.005330,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,CRIL---K,Raw Material,0.008000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,EMUL-S60-X,Raw Material,0.010000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,THIC-MNTVL-X,Raw Material,0.008000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SALA-99--K,Raw Material,0.020000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,THIC-SPVE10-X,Raw Material,0.020000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SILI-VLVDLG-X,Raw Material,0.050000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,VCIP---K,Raw Material,0.000200,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,PARF-SILK-,Raw Material,0.000500,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,EDT-B--K,Raw Material,0.001000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SEPI-SPCA5-X,Raw Material,0.001000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,ACTI-MEBSA-X,Raw Material,0.001000,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,CABO-M5-X,Raw Material,0.001700,,A-NTM-W40ML/A-NTM-BULK,,
A-NTM-W40ML/A-NTM-BULK,A-NTM-BULK/Normal (odoo ref 10),A-NTM-BULK,SNSP-SIH51-X,Raw Material,0.005000,,A-NTM-W40ML/A-NTM-BULK,,
