Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,,Tidak ada BOM
B-DMCP01-EM/4,B-DMCP01-EM,CONT-DMCPR1-E,Packaging Material,1,Pc(s),,HC-OMG06-OMG
B-DMCP01-EM/4,B-DMCP01-EM,"GODE-TWC5,4B-SM-P",Packaging Material,1,Pc(s),,HC-OMG07-OMG
B-DMCP01-EM/4,B-DMCP01-EM,PLAS-DMCTWCRP-P85,Packaging Material,1,Pc(s),,HC-OMG08-OMG
B-DMCP01-EM/4,B-DMCP01-EM,PUFF-DMCPR0-E,Packaging Material,1,Pc(s),,HC-OMG09-OMG
B-DMCP01-EM/4,B-DMCP01-EM,STIC-BDMCP01R0-E,Packaging Material,1,Pc(s),,Kode Item Baru
B-DMCP01-EM/4,B-DMCP01-EM,DUS-DMCPR1-E,Packaging Material,1,Pc(s),,L-BKML01-B
B-DMCP01-EM/4,B-DMCP01-EM,STIC-VDMCP01R0-E,Packaging Material,1,Pc(s),,L-BKSS01-B
B-DMCP01-EM/4,B-DMCP01-EM,KB-EAR0-KMM125,Packaging Material,0.02778,Pc(s),,L-CLS-W
B-DMCP02-BULK/10,B-DMCP02-BULK,WARN-TETDMS-BULK,Intermediate,0.0018,kg,,L-CVM01CLB-W
B-DMCP02-BULK/10,B-DMCP02-BULK,TITA--3328EW-K,Raw Material,0.02,kg,,L-CVM03CLB-W
B-DMCP02-BULK/10,B-DMCP02-BULK,TALC-OSBRTPD-X,Raw Material,0.524309,kg,,L-CVM04CLB-W
B-DMCP02-BULK/10,B-DMCP02-BULK,PEN-SENSC50-X,Raw Material,0.004,kg,,L-CVM05CLB-W
B-DMCP02-BULK/10,B-DMCP02-BULK,PARF-AMSKLG-X,Raw Material,0.0002,kg,,L-CVM07CLB-W
B-DMCP02-BULK/10,B-DMCP02-BULK,ZINC-ZNOLYS-X,Raw Material,0.005,kg,,L-CVM08CLB-W
B-DMCP02-BULK/10,B-DMCP02-BULK,PEN-PRSVPE-X,Raw Material,0.008,kg,,L-IPEI13-W
B-DMCP02-BULK/10,B-DMCP02-BULK,UVIN-MC80-BASF,Raw Material,0.01,kg,,L-IPEI14-W
B-DMCP02-BULK/10,B-DMCP02-BULK,SILD--SI5H52D-K,Raw Material,0.01,kg,,L-IPEI15-W
B-DMCP02-BULK/10,B-DMCP02-BULK,SERI-S-D-K,Raw Material,0.3,kg,,L-IPEI16-W
