"id","product_tmpl_id/default_code","location_id/display_name","lot_id/name","quantity","product_uom_id/name"
"__export__.stock_quant_3716_841d85df","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF10127","8.0","pc(s)"
"__export__.stock_quant_3717_0df3af1f","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF10126","8.0","pc(s)"
"__export__.stock_quant_3771_324f59f5","IBOX-RRPMKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF18153","13.0","pc(s)"
"__export__.stock_quant_3773_4cea7150","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF11130","26.0","pc(s)"
"__export__.stock_quant_3780_afb8ed8b","BOTO-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF10128","17.0","Pc(s)"
"__export__.stock_quant_3790_fad4d198","CAPA-MKLCKIMR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF10129","17.0","Pc(s)"
"__export__.stock_quant_3865_3fa1f41b","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF17150","16.0","pc(s)"
"__export__.stock_quant_4113_7c253891","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF11135","16.0","pc(s)"
"__export__.stock_quant_4114_06a4748a","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IF11136","16.0","pc(s)"
"__export__.stock_quant_4128_f956b808","BOTO-MUOMGTO-O","JTK 4/Quarantine/PKG","GBMJTK4/IF28201","200.0","Pc(s)"
"__export__.stock_quant_4130_b3febef2","CAP-MUOMGTO-O","JTK 4/Quarantine/PKG","GBMJTK4/IF28202","200.0","Pc(s)"
"__export__.stock_quant_4132_fb10c9f1","PS-MUOMGTO-O","JTK 4/Quarantine/PKG","GBMJTK4/IF28203","150.0","Pc(s)"
"__export__.stock_quant_4142_f41fb269","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/IF18152","25.0","pc(s)"
"__export__.stock_quant_4146_cb7c3a7b","DRYF-PC-X","JTK 4/Quarantine/RM","GBMJTK6/IE24052","'-27.0","g"
"__export__.stock_quant_4148_6f8f2c2a","BENT-BGISDV-X","JTK 4/Quarantine/RM","GBMJTK6/IE19004","'-144.0","g"
