"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"BO-S08CC6GRRNFS-MO","GODE-BOMOR2-AL38","1.0","Pc(s)"
"","BO-SCC08-BULK","0.006","kg"
"SHA-RNFSN12G-W","SHA--BULK","0.012","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"TC-FC02-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","TC-FC02-MO-BULK","0.00125","kg"
"TC-LPGBB01-RP-W4GR","TC-LPGBB01-BULK","4.0","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"TC-LPGBB02-RP-W4GR","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","TC-LPGBB02-BULK","0.004","kg"
"TC-PC02-RP-MO12GR","TC-PC02-BULK","0.012","kg"
"","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"TC-PC04-RP-MO12GR","TC-PC04-BULK","0.012","kg"
"","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"BO-SKPP10-RP-MO3,5GR","BO-SKPP10-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"BO-SKPP10-RP-MO6GR","BO-SKPP10-BULK","0.006","kg"
"","GODE-BOMOR2-AL38","1.0","Pc(s)"
"TC-PC06-RP-MO12GR","TC-PC06-BULK","0.012","kg"
"","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"TC-PC07-RP-MO12GR","TC-PC07-MO-BULK","0.012","kg"
"","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"TC-PC08-RP-MO12GR","TC-PC08-BULK","0.012","kg"
"","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"TC-PPHC-07-RP-MO3,5G","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","TC-PPHC-07-BULK","0.0035","kg"
"TC-PPHC-08-RP-MO3,5G","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","TC-PPHC-08-BULK","0.0035","kg"
"TC-W1C1RNFSWNL1-W","TC-W1C1-BULK","0.013","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"TC-W1C212GRRNFS-W","TC-W1C2-BULK","0.0131","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"TC-W1C312GRRNFS-W","TC-W1C3-BULK","0.0141","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"TC-W1I2C412GRRN-W","TC-W1I2C4-BULK","0.012","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"TC-W1L04N12RNFS-W","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","TC-W1LNC4-BULK","0.0132","kg"
"TC-W1LLF0412RNF-W","TC-W1LNC4-BULK","0.012","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"BO-SST09-RP-MO3,5GR","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","BO-SST09-BULK","0.0035","kg"
"BO-SST09-RP-MO6GR","GODE-BOMOR2-AL38","1.0","Pc(s)"
"","BO-SST09-BULK","0.006","kg"
"BO-W0D1&2RNFS4G-W","GODE-BOER0-WAL","1.0","Pc(s)"
"","BO-W0D-02 BULK","0.002","kg"
"","BO-W0D-01 BULK","0.002","kg"
"BO-W1A1&2RNFS4G-W","BO-W1A-02 BULK","0.0021","kg"
"","BO-W1A-01 BULK","0.0021","kg"
"","GODE-BOER0-WAL","1.0","Pc(s)"
"BO-W1B1&2RNFS4G-W","BO-W1B-02 BULK","0.00215","kg"
"","GODE-BOER0-WAL","1.0","Pc(s)"
"","BO-W1B-01 BULK","0.00215","kg"
"BO-CPLP-RP-W12G","BO-CPLP03-BULK","0.003","kg"
"","BO-CPLP02-BULK","0.003","kg"
"","BO-CPLP04-BULK","0.003","kg"
"","GODE-CPLPBR0-W","1.0","Pc(s)"
"","BO-CPLP01-BULK","0.003","kg"
"BO-TSBOS-RP-MO11G","BO-TSBOS-BULK","0.011","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"BO-W1C1&2RNFS4G-W","GODE-BOER0-WAL","1.0","Pc(s)"
"","BO-W1C-01-BULK","0.00205","kg"
"","BO-W1C-02 BULK","0.00205","kg"
"BO-JBPP-RP-TA4GR","BO-JBPP-BULK","0.004","kg"
"","GODE-CPLPBR0-W","1.0","Pc(s)"
"FA-EGH-RP-W6,5G","GODE-BOMOR2-AL38","1.0","Pc(s)"
"","FA-EGH-BULK","0.0065","kg"
"ES-CLPWP-03-RP-W1,8GR","GODE-CQEPR0-W","1.0","Pc(s)"
"","ES-CLPWP-03-BULK","0.0018","kg"
"FA-CLHP-RP-EM3,8GR","FA-CLHP-BULK","0.0038","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"ES-EP01-W-06-RP-W1GR","ES-EP01-W-06-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-CLPPB-01-RP-W1,8GR","GODE-CQEPR0-W","1.0","Pc(s)"
"","ES-CLPPB-01-BULK","0.0018","kg"
"ES-CLPPB-03-RP-W1,8GR","ES-CLPPB-03-BULK","0.0018","kg"
"","GODE-CQEPR0-W","1.0","Pc(s)"
"ES-CLPNB-02-RP-W1,8GR","ES-CLPNB-02-BULK","0.0018","kg"
"","GODE-CQEPR0-W","1.0","Pc(s)"
"ES-CLPNB-03-RP-W1,8GR","GODE-CQEPR0-W","1.0","Pc(s)"
"","ES-CLPNB-03-BULK","0.0018","kg"
"ES-CLPNB-04-RP-W1,8GR","GODE-CQEPR0-W","1.0","Pc(s)"
"","ES-CLPNB-04-BULK","0.0018","kg"
"ES-CLPWP-04-RP-W1,8GR","ES-CLPWP-04-BULK","0.0018","kg"
"","GODE-CQEPR0-W","1.0","Pc(s)"
"EB-DK-DB-RP-MO2GR","EB-DK-DB-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"EB-DK-LB-RP-MO2GR","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"","EB-DK-LB-BULK","0.002","kg"
"EB-DK02-01L-RP-MO2GR","EB-DK02-01L-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"EB-DK02-02D-RP-MO2GR","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"","EB-DK02-02D-BULK","0.002","kg"
"EB-EK-DB-RP-W1.1GR","EB-DK-DB-BULK","0.0011","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"EB-TS-01-RP-EM1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","EB-TS-01-BULK","0.0011","kg"
"EB-TS-02-RP-EM1,1GR","EB-TS-02-BULK","0.0011","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-BS-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-BS-BULK","0.00125","kg"
"ES-BV-RP-W1,1GR","ES-BV-MO-BULK","0.0013","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-C-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-C-BULK","0.0011","kg"
"ES-CP-RP-MO1,25G","ES-CP-MO BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-CP-RP-W1,1GR","ES-CP-MO BULK","0.0011","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-CV-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-CV-BULK","0.00125","kg"
"ES-EP01-W-01-RP-W1GR","ES-EP01-W-01-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP01-W-02-RP-W1GR","ES-EP01-W-02-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP01-W-03-RP-W1GR","ES-EP01-W-03-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP01-W-04-RP-W1GR","ES-EP01-W-04-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP01-W-05-RP-W1GR","ES-EP01-W-05-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP01-W-07-RP-W1GR","ES-EP01-W-07-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP01-W-08-RP-W1GR","ES-EP01-W-08-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP02-W-01-RP-W1GR","ES-EP02-W-01-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP02-W-02-RP-W1GR","ES-EP02-W-02-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP02-W-03-RP-W1GR","ES-EP02-W-03-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP02-W-04-RP-W1GR","ES-EP02-W-04-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP02-W-05-RP-W1GR","ES-EP02-W-05-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP02-W-06-RP-W1GR","ES-EP02-W-06-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP02-W-07-RP-W1GR","ES-EP02-W-07-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EP02-W-08-RP-W1GR","ES-EP02-W-08-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-EPS-01-RP-W1,1GR","ES-EPS-01-BULK","0.0011","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-H-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-H-X","0.00125","kg"
"ES-IPSCP-W-01-RP-W1G","GODE-ISCEPR1-WAL","1.0","Pc(s)"
