"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC07R-0WPS","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC07-W4GR","13 (INLINE)","STIC-BOTEMLC07R-0WPS","1.0","Pc(s)"
"","","L-EMC07-BULK","0.004","kg"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC07C-WILD","1.0","Pc(s)"
"L-EMC07-W4GR","15 (INLINE)","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","L-EMC07-BULK","0.004","kg"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC07R-0WPS","1.0","Pc(s)"
"","","DUS-EMLC07C-WILD","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"L-EMC08MM-W","3","L-EMC08-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC08R-0WPS","1.0","Pc(s)"
"","","DUS-BEMLC08R0-W","1.0","Pc(s)"
"","","KB-WLS60R1-KMM125","0.02778","Pc(s)"
"L-EMC08MM-W","4","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","L-EMC08-BULK","0.004","kg"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC08R-0WPS","1.0","Pc(s)"
"","","DUS-BEMLC08R0-W","1.0","Pc(s)"
"","","KB-WLS60R1-KMM125","0.02778","Pc(s)"
"L-EMC09-W4GR","10","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC09C-WILD","1.0","Pc(s)"
"","","L-EMC09-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC09R-0WPS","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC09-W4GR","11 (INLINE)","L-EMC09-BULK","0.004","kg"
"","","DUS-EMLC09C-WILD","1.0","Pc(s)"
"","","STIC-BOTEMLC09R-0WPS","1.0","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"L-EMC09-W4GR","13 (INLINE)","STIC-BOTEMLC09R-0WPS","1.0","Pc(s)"
"","","L-EMC09-BULK","0.004","kg"
"","","DUS-EMLC09C-WILD","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC09MM-W","1","L-EMC09-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC09R-0WPS","1.0","Pc(s)"
"","","DUS-BEMLC09R0-W","1.0","Pc(s)"
"","","KB-WLS60R1-KMM125","0.02778","Pc(s)"
"L-EMC09MM-W","3","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC09-BULK","0.004","kg"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC09R-0WPS","1.0","Pc(s)"
"","","DUS-BEMLC09R0-W","1.0","Pc(s)"
"","","KB-WLS60R1-KMM125","0.02778","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"L-EMC09MM-W","Repack","L-EMC09-W4GR","1.0","Pc(s)"
"","","DUS-BEMLC09R0-W","1.0","Pc(s)"
"","","KB-WLS60R1-KMM125","0.02778","Pc(s)"
"L-EMC10-W4GR","9","L-EMC10-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC10R-0WPS","1.0","Pc(s)"
"","","DUS-EMLC10C-WILD","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC10-W4GR","10","DUSS-EMLC10H-W","1.0","Pc(s)"
"","","L-EMC10-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC10R-0WPS","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC10-W4GR","12 (INLINE)","L-EMC10-BULK","0.004","kg"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC10R-0WPS","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC10C-WILD","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC11-W4GR","11","DUSS-EMLC11H-W","1.0","Pc(s)"
"","","L-EMC11-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC11R-0WPS","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC11-W4GR","12","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","L-EMC11-BULK","0.004","kg"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC11R-0WPS","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","DUS-EMLC11C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"L-EMC11-W4GR","13","L-EMC11-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","DUS-EMLC11C-WILD","1.0","Pc(s)"
"","","STIC-BOTEMLC11R-0WPS","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"L-EMC11-W4GR","15 (INLINE)","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC11-BULK","0.004","kg"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","DUS-EMLC11C-WILD","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC11R-0WPS","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"L-EMC12-W4GR","11","L-EMC12-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC12R-0WPS","1.0","Pc(s)"
"","","DUS-EMLC12C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC12-W4GR","14 (INLINE)","L-EMC12-BULK","0.004","kg"
"","","DUS-EMLC12C-WILD","1.0","Pc(s)"
"","","STIC-BOTEMLC12R-0WPS","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"L-EMC13-W4GR","7","L-EMC13-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC13R-0WPS","1.0","Pc(s)"
"","","DUSS-EMLC13H-W","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC13-W4GR","8","DUS-EMLC13C-WILD","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC13R-0WPS","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","L-EMC13-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"L-EMC13-W4GR","10 (INLINE)","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC13R-0WPS","1.0","Pc(s)"
"","","L-EMC13-BULK","0.004","kg"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","DUS-EMLC13C-WILD","1.0","Pc(s)"
"L-EMC13-W4GR","12 (INLINE)","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","L-EMC13-BULK","0.004","kg"
"","","STIC-BOTEMLC13R-0WPS","1.0","Pc(s)"
"","","DUS-EMLC13C-WILD","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"L-EMC13-W4GR","14 (INLINE)","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","DUS-EMLC13C-WILD","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","STIC-BOTEMLC13R-0WPS","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC13-BULK","0.004","kg"
"","","STIC-HEMLCR1-W","1.0","Pc(s)"
"L-EMC14-W4GR","9 (INLINE)","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC14-BULK","0.004","kg"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","DUS-EMLC14C-WILD","1.0","Pc(s)"
"","","STIC-BOTEMLC14R-0WPS","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"L-SLWCA-W","1","IBOX-CADLPR0-W","0.08333","Pc(s)"
"","","STIC-BCADLP12R0-W","1.0","Pc(s)"
"","","CAPA-WCADLPR0-W","1.0","Pc(s)"
"","","BOTO-CADLPR0-W","1.0","Pc(s)"
"","","L-SLWCA-BULK","0.0042","kg"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","DUS-CADLP12R0-W","1.0","Pc(s)"
"L-EMC14-W4GR","12 (INLINE)","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","STIC-HEMLCR1-W","1.0","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC14-BULK","0.004","kg"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","DUS-EMLC14C-WILD","1.0","Pc(s)"
"","","STIC-BOTEMLC14R-0WPS","1.0","Pc(s)"
"L-EMC14-W4GR","13 (INLINE)","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC14-BULK","0.004","kg"
"","","STIC-BOTEMLC14R-0WPS","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","DUS-EMLC14C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR1-W","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC15-W4GR","8","L-EMC15-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC15R-0WPS","1.0","Pc(s)"
"","","DUS-EMLC15C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC15-W4GR","10 (INLINE)","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","L-EMC15-BULK","0.004","kg"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC15R-0WPS","1.0","Pc(s)"
"","","DUS-EMLC15C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"L-EMC15-W4GR","12 (INLINE)","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","DUS-EMLC15C-WILD","1.0","Pc(s)"
"","","STIC-BOTEMLC15R-0WPS","1.0","Pc(s)"
"","","L-EMC15-BULK","0.004","kg"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"L-EMC15-W4GR","14 (INLINE)","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","STIC-HEMLCR1-W","1.0","Pc(s)"
"","","STIC-BOTEMLC15R-0WPS","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","DUS-EMLC15C-WILD","1.0","Pc(s)"
"","","L-EMC15-BULK","0.004","kg"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"L-EMC16-W4GR","7","DUSS-EMLC16H-W","1.0","Pc(s)"
"","","L-EMC16-BULK","0.004","kg"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC16R-0WPS","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC16-W4GR","8 (NON INLINE)","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","L-EMC16-BULK","0.004","kg"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","STIC-BOTEMLC16R-0WPS","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","DUSS-EMLC16H-W","1.0","Pc(s)"
"L-EMC16-W4GR","10 (INLINE)","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","STIC-BOTEMLC16R-0WPS","1.0","Pc(s)"
"","","DUS-EMLC16C-WILD","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC16-BULK","0.004","kg"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"L-EMC16-W4GR","11 (INLINE)","STIC-HEMLCR1-W","1.0","Pc(s)"
"","","STIC-BOTEMLC16R-0WPS","1.0","Pc(s)"
"","","L-EMC16-BULK","0.004","kg"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","DUS-EMLC16C-WILD","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"MY-RAPFC-W","3 (INLINE)","TUBS-APFC60-WM","1.0","Pc(s)"
"","","KB-K100R1-W","0.02778","Pc(s)"
"","","A-PFC-BULK","0.06","kg"
"L-EMC16-W4GR","12 (INLINE)","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC16-BULK","0.004","kg"
"","","STIC-HEMLCR1-W","1.0","Pc(s)"
"","","DUS-EMLC16C-WILD","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC16R-0WPS","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"L-EMC17-W4GR","8 (NON INLINE)","L-EMC17-BULK","0.004","kg"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","DUSS-EMLC17H-W","1.0","Pc(s)"
"","","STIC-BOTEMLC17R-0WPS","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"L-EMC17-W4GR","9 (INLINE)","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC17-BULK","0.004","kg"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","DUS-EMLC17C-WILD","1.0","Pc(s)"
"","","STIC-BOTEMLC17R-0WPS","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"L-EMC17-W4GR","11 (INLINE)","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","L-EMC17-BULK","0.004","kg"
"","","STIC-BOTEMLC17R-0WPS","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","DUS-EMLC17C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"L-EMC17-W4GR","13 (INLINE)","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC17-BULK","0.004","kg"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","STIC-BOTEMLC17R-0WPS","1.0","Pc(s)"
"","","STIC-HEMLCR1-W","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","DUS-EMLC17C-WILD","1.0","Pc(s)"
"L-EMC18-W4GR","8","STIC-BOTEMLC18R-0WPS","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","L-EMC18-BULK","0.004","kg"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC18C-WILD","1.0","Pc(s)"
"","","IBOX-12EMLCR0-WDNF","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC18-W4GR","11 (INLINE)","STIC-BOTEMLC18R-0WPS","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","L-EMC18-BULK","0.004","kg"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","DUS-EMLC18C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"L-EMC18-W4GR","13 (INLINE)","L-EMC18-BULK","0.004","kg"
"","","BOTO-EMLNSR0-W","1.0","Pc(s)"
"","","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","","STIC-HEMLCR1-W","1.0","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","STIC-BOTEMLC18R-0WPS","1.0","Pc(s)"
"","","DUS-EMLC18C-WILD","1.0","Pc(s)"
"L-EP15C20-W3,8T","6","L-EW1P15C20-W3,8GR","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00555","Pc(s)"
"L-EPLC37-W3,8T","4","L-W1EPLC37-W3,8GR","1.0","Pc(s)"
"","","STIC-TESTER-WPSM","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00694","Pc(s)"
"L-ER16C23-W3,8T","5","L-W1ER16C23-W3,8GR","1.0","Pc(s)"
"","","STIC-TESTER-WPSM","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00694","Pc(s)"
"L-ER4C31-W3,8T","5","L-EW1W2C31-W3,8GR","1.0","Pc(s)"
"","","STIC-TESTER-WPSM","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00694","Pc(s)"
"L-ER4C31-W3,8T","6","L-EW1W2C31-W3,8GR","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00555","Pc(s)"
"B-W2TELFP02-W30GR","4","B-W3ELFP02-W30G","1.0","Pc(s)"
"","","STIC-TESTER-WPSM","1.0","Pc(s)"
"","","KB-W100BR1-KMM125BF","0.05555","Pc(s)"
"L-ESOC34-W3,8T","5","L-W1ESOC34-W3,8GR","1.0","Pc(s)"
"","","STIC-TESTER-WPSM","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00694","Pc(s)"
"L-ESOC34-W3,8T","6","L-W1ESOC34-W3,8GR","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00555","Pc(s)"
"L-ESPC36-W3,8T","4","L-EW1SUPC36-W3,8GR","1.0","Pc(s)"
"","","STIC-TESTER-WPSM","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00694","Pc(s)"
"B-W2TELFP04-W30GR","4","KB-W100BR1-KMM125BF","0.05555","Pc(s)"
"","","STIC-TESTER-WPSM","1.0","Pc(s)"
"","","B-W3ELFP04-W30G","1.0","Pc(s)"
"L-EW0C41-WT3,8GR","4","L-EW0C41-W3,8GR","1.0","Pc(s)"
"","","STIC-TESTER-WPSM","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00694","Pc(s)"
"L-EW0C43-WT3,8GR","4","L-EW0C43-W3,8GR","1.0","Pc(s)"
"","","STIC-TESTER-WPSM","1.0","Pc(s)"
"","","KB-WLEI144-211KMM","0.00694","Pc(s)"
"B-W3ELFP01-W30G","13","DUS-ELFP01R1-WILG","1.0","Pc(s)"
"","","STIC-BCELFP1R1-WCNFR","1.0","Pc(s)"
"","","B-W1T3LFP01-BULK","0.032","kg"
"","","KB-BTLS150WNL32-K125","0.02083","Pc(s)"
"","","PUFF-FPALT3R0-WP","1.0","Pc(s)"
"","","CAP-CELFPR3-WABS","1.0","Pc(s)"
"","","SHIF-ELFPR2-WPPN","1.0","Pc(s)"
"","","CONT-ELFPR2-WPSN","1.0","Pc(s)"
"B-W3ELFP02-W30G","15","KB-BTLS150WNL32-K125","0.02083","Pc(s)"
"","","SHIF-ELFPR2-WPPN","1.0","Pc(s)"
"","","CAP-CELFPR3-WABS","1.0","Pc(s)"
"","","PUFF-FPALT3R0-WP","1.0","Pc(s)"
"","","B-W1T3LFP02-BULK","0.032","kg"
"","","CONT-ELFPR2-WPSN","1.0","Pc(s)"
"","","DUS-ELFP02R1-WILG","1.0","Pc(s)"
"","","STIC-BCELFP2R1-WCNFR","1.0","Pc(s)"
"B-W3ELFP04-W30G","15","PUFF-FPALT3R0-WP","1.0","Pc(s)"
"","","CONT-ELFPR2-WPSN","1.0","Pc(s)"
"","","DUS-ELFP04R1-WILG","1.0","Pc(s)"
"","","SHIF-ELFPR2-WPPN","1.0","Pc(s)"
"","","STIC-BCELFP4R1-WCNFR","1.0","Pc(s)"
"","","B-W0T3LFP04-BULK","0.03","kg"
"","","KB-BTLS150WNL32-K125","0.02083","Pc(s)"
"","","CAP-CELFPR3-WABS","1.0","Pc(s)"
"L-IMC005-MO6,5G","4","L-IMC005-BULK","0.0065","kg"
"","","BOTO-PIMLCR1-MO","1.0","Pc(s)"
"","","CAPA-IMLCR0-MO","1.0","Pc(s)"
"","","STIC-BIMLC05R1-MOMSF","1.0","Pc(s)"
"","","DUS-IMLC0114-MOILD","1.0","Pc(s)"
"","","STIC-BCIMLC05R0-MOPP","1.0","Pc(s)"
"","","IBOX-12IMLCR0-MODNF","0.08333","Pc(s)"
"","","KB-MOLUHM-265K150","0.01041","Pc(s)"
"L-IMC005-MO6,5G","6","L-IMC005-BULK","0.0065","kg"
"","","BOTO-PIMLCR1-MO","1.0","Pc(s)"
"","","CAPA-IMLCR0-MO","1.0","Pc(s)"
"","","STIC-BIMLC05R1-MOMSF","1.0","Pc(s)"
"","","DUS-IMLC0114-MOILD","1.0","Pc(s)"
"","","STIC-BCIMLC05R0-MOPP","1.0","Pc(s)"
"","","IBOX-12IMLCR0-MODNF","0.08333","Pc(s)"
"","","KB-MOLUHM-265K150","0.01041","Pc(s)"
