DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC KENDARI,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION,02424,F-LPWN50-MO,8993137707374,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION N50 TAN 33 ML,152252.25,1,0,1,152252.25,0,152252.25,
DC KENDARI,MAKE OVER,FACE CLEANSER,MAKE OVER TONER,00759,FT1--MO100ML,8993137683401,MAKE OVER TONER 100 ML (PC(S)),45945.95,1,0,1,45945.95,0,45945.95,
DC KENDARI,MAKE OVER,FACE MAKE UP,MAKE OVER BLUSH ON,00663,BO-SKCC08-MO6G,8993137683005,MAKE OVER BO SINGLE 08 CRUISE CORAL 6 G (PC(S)),83783.78,2,0,2,167567.56,0,167567.56,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER CREAMY LIPMATTE,02207,L-CHC12-MO,8993137706247,MAKE OVER COLOR HYPNOSE CREAMY LIPMATTE 12 MAGNET 4.3 G,76576.58,3,0,3,229729.74,0,229729.74,
DC KENDARI,MAKE OVER,EYE MAKE UP,MAKE OVER EYE SHADOW POWDER,00622,ES-SPS-MO2G,8993137683500,MAKE OVER SPARKLING POWDER SILVER 2 G (PC(S)),58558.56,2,0,2,117117.12,0,117117.12,
DC KENDARI,MAKE OVER,EYE MAKE UP,MAKE OVER EYE SHADOW POWDER,00621,ES-SPG-MO2G,8993137683517,MAKE OVER SPARKLING POWDER GOLD 2 G (PC(S)),58558.56,2,0,2,117117.12,0,117117.12,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER POWERSTAY LIP STAIN,02107,L-PVW04-MO,8993137705493,MAKE OVER POWERSTAY VIVID WATERLITE LIP STAIN A04 CORVETTE 5.5 G,98198.2,23,0,23,2258558.6,0,2258558.6,
DC KENDARI,MAKE OVER,EYE MAKE UP,MAKE OVER EYE SHADOW TRIVIA,00635,ES-TDOC-MO6G,8993137690959,MAKE OVER TRIVIA EYE SHADOW DOLLY CRUSH 6 G (PC(S)),84684.68,1,0,1,84684.68,0,84684.68,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER CREAMY LIPMATTE,02201,L-CHC06-MO,8993137706186,MAKE OVER COLOR HYPNOSE CREAMY LIPMATTE 06 KISS 4.3 G,76576.58,1,0,1,76576.58,0,76576.58,
DC KENDARI,MAKE OVER,LIP MAKE UP,MAKE OVER CREAMY LIPMATTE,02199,L-CHC04-MO,8993137706162,MAKE OVER COLOR HYPNOSE CREAMY LIPMATTE 04 HYPNOTIC 4.3 G,76576.58,12,0,12,918918.96,0,918918.96,
