Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
BOTO-DROR0-K,54685,54685,43748,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-ECLT01R1-WPETM,0,15426,15426,15426,30852,15426,15426,15426,15426,30852,15426,30852,0,30852,15426,0,
BOTO-ECLT02R1-WPETM,0,0,15426,0,0,15426,15426,0,0,15426,0,15426,0,15426,0,0,
BOTO-ECLT03R1-WPETM,15426,0,15426,15426,0,15426,0,15426,0,15426,15426,0,0,15426,0,15426,
BOTO-ELMFR0-W,50834,92175,142836,117595,101495,143009,92175,92175,117595,117595,117595,117595,117589,117595,142836,50834,
BOTO-ELSAR1-W,103325,103325,0,103325,103325,0,103325,103325,0,103325,103325,0,103325,103325,0,103325,
BOTO-EMLCRKR0-W,82876,320256,480596,328172,435200,473932,353576,311512,451860,394388,391056,429788,416460,403132,439784,201152,
BOTO-EMLNSR0-W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-EMLSR0-W,44492,50848,69916,44492,50848,76272,44492,44492,69916,50848,57204,57204,57204,57204,63560,25424,
BOTO-EXBLSR0-W,0,7680,7680,0,7680,7680,7680,7680,7680,7680,7680,7680,7680,7680,0,7680,
BOTO-EXLWMR0-W,48870,0,48870,0,48870,48870,0,48870,48870,0,48870,0,48870,48870,0,48870,
BOTO-GA1302R1-MOF,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,2068,
BOTO-GAACS15R3-W,0,32410,32410,9990,32410,0,42400,0,42400,32410,9990,32410,0,42400,32410,0,
BOTO-GBBC40-L,10770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-GBFBC250-L,0,0,3614,0,0,3614,0,0,3614,0,0,3614,0,3614,0,3614,
BOTO-GBHT100R0-L,0,0,0,0,0,2802,0,0,2802,0,2802,0,0,2802,0,0,
BOTO-GBHT30-L,0,0,0,0,3330,0,0,0,3310,0,0,0,0,0,0,0,
BOTO-GBMC100-L,0,0,5418,0,0,0,5418,0,0,0,5418,0,0,0,5418,0,
BOTO-GBMC225-X,0,0,0,0,0,4372,0,0,0,4372,0,0,0,4372,0,0,
BOTO-GBSRS20-L,0,0,0,0,0,4710,0,0,0,4710,0,0,4710,0,0,0,
BOTO-GCBCS20R0-BL,1210,1210,0,1210,1210,1210,1210,0,1210,1210,1210,1210,0,1210,1210,0,
BOTO-GCDSW-GPOP2W,16160,32320,79912,48036,5369,0,15716,15716,15716,15716,0,15716,15716,15716,15716,15716,
BOTO-GCSROSR0-W,1871,1871,1871,3742,1871,1871,3742,1871,1871,1871,3742,1871,3742,1871,1871,1871,
BOTO-GDRFTS120-CL,2900,0,2900,1450,1450,1450,1450,1450,1450,1450,1450,2900,1450,1450,1450,1450,
BOTO-GEDTHF-K,15813,21212,36929,26419,26419,31722,26419,21116,31722,26419,26419,36929,26419,26419,26515,15909,
BOTO-GEDTIW-K,20980,15735,26187,20942,15735,26187,20942,10490,26187,15735,20942,26187,15735,20942,20980,10490,
BOTO-GEDTRO-K,46863,41656,52070,57277,46863,67691,46863,31242,67691,46863,57277,57277,41656,57277,52070,36449,
BOTO-GEDTTB-K,15797,10590,15885,10590,15797,15885,15797,5295,21092,10590,15797,10590,15797,10590,15885,10502,
BOTO-GELFR1-W,14776,66449,59644,44441,77136,56145,51584,33773,68905,66984,31331,100914,30077,69274,66603,12603,
BOTO-GELFRLR0-W,0,0,2290,2290,4580,2290,4580,2290,2290,4580,2290,2290,4580,2290,2290,0,
BOTO-GHGFFR0-MO,2404,5409,16975,9064,7261,11468,8463,8463,10315,9064,8463,10867,9064,9714,10867,5458,
BOTO-GHLTBR0-MO,3461,0,10383,3461,3461,10383,3461,3461,10383,6922,0,6922,10383,3461,3461,3461,
BOTO-GLSA30R1-W,221727,126812,221727,126812,190218,158321,190218,94915,221727,126812,158321,190218,158321,190218,94527,94915,
