Product Template/Kode Internal;Korporat Kode;Product Template/Nama Internal;Location/Display Name;Lot/Serial Number/Lot/Serial Number;Quantity;Unit of Measure/Unit of Measure;Product/Internal Category/Display Name; Qty in KG ;PUP Apr; Total Price (PUP) Apr ;;;Stock 1 May 23;Total Price PUP Apr; 136,336,659 ;Qty in KG; 361.32936 
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/IH31024;1197.2024;g;Raw Material;1.1972024; 736,768 ; 882,060 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/II10008;1E-05;g;Raw Material;1E-08; 113,899 ; 0 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/II14009;0.15;g;Raw Material;0.00015; 426,732 ; 64 ;;;;;;;
EMS1-ADB;EMUL-EMILST-X;Emullustro;JTK 4/Stock/RM;GBMJTK6/II21077;0.15;g;Raw Material;0.00015; 968,810 ; 145 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/II14003;0.75;g;Raw Material;0.00075; 198,243 ; 149 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/II10003;0.35;g;Raw Material;0.00035; 486,842 ; 170 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/IH30131;3;g;Raw Material;0.003; 191,995 ; 576 ;;;;;;;
RHM3-BHAFD;SILC-AERSLR-X;Free Flowing Agent;JTK 4/Stock/RM;GBMJTK6/II17054;1.3686;kg;Raw Material;1.3686; 312,487 ; 427,669 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/IJ05006;3000.00001;g;Raw Material;3.00000001; 113,899 ; 341,696 ;;;;;;;
OBW1-AAE;OIL-ORJVA-X;Minyak Zaitun B;JTK 4/Stock/RM;GBMJTK6/IF24048;0.4;g;Raw Material;0.0004; 51,169 ; 20 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/II20086;508.5;g;Raw Material;0.5085; 88,724 ; 45,116 ;;;;;;;
EMS1-ADB;EMUL-EMILST-X;Emullustro;JTK 4/Stock/RM;GBMJTK6/IK02092;149.55;g;Raw Material;0.14955; 968,810 ; 144,886 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/IJ18150;359.64;g;Raw Material;0.35964; 167,731 ; 60,323 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Quarantine/RM;GBMJTK6/JA14110;508.5;g;Raw Material;0.5085; 88,724 ; 45,116 ;;;;;;;
EMO1-AAJ;SILS-034-X;Emollient 034;JTK 4/Quarantine/RM;GBMJTK6/IK30123;112.5;g;Raw Material;0.1125; 616,831 ; 69,394 ;;;;;;;
EMS1-ADB;EMUL-EMILST-X;Emullustro;JTK 4/Quarantine/RM;GBMJTK6/IK02092;450;g;Raw Material;0.45; 968,810 ; 435,965 ;;;;;;;
DSP1-BHAFE;EMO-SLCHS-X;Coating Polymer;JTK 4/Quarantine/RM;GBMJTK6/IL22037;0.45;kg;Raw Material;0.45; 1,285,906 ; 578,658 ;;;;;;;
PRV1-BBABG;PENG-NPGEHP-X;Pengawet PHE;JTK 4/Quarantine/RM;GBMJTK6/JA05023;0.36;kg;Raw Material;0.36; 146,226 ; 52,641 ;;;;;;;
CLR3-YLW-AAB;WARN-C338--K;C33-8073;JTK 4/Quarantine/RM;GBMJTK6/II30022;990;g;Raw Material;0.99; 301,440 ; 298,426 ;;;;;;;
CLR3-RED-AAC;WARN-C335138--K;C33-5138;JTK 4/Quarantine/RM;GBMJTK6/II30023;1845;g;Raw Material;1.845; 340,491 ; 628,206 ;;;;;;;
CLR3-RED-AAE;WARN-C196619-R6-K;C19-6619;JTK 4/Quarantine/RM;GBMJTK6/IG30079;104;g;Raw Material;0.104; 1,471,339 ; 153,019 ;;;;;;;
CLR3-BLK-ABB;WARN-ABIO-X;Black A-IO;JTK 4/Quarantine/RM;GBMJTK6/JA06043;1.08;g;Raw Material;0.00108; 288,858 ; 312 ;;;;;;;
EMO1-ADD;HAIM-DIS-X;Emollient DIS;JTK 4/Quarantine/RM;GBMJTK6/IL23195;2250;g;Raw Material;2.25; 447,584 ; 1,007,065 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Quarantine/RM;GBMJTK6/IK25111;10160.5;g;Raw Material;10.1605; 113,899 ; 1,157,266 ;;;;;;;
PWD3-ABA;TITA-OTS2CR50-;Titan OTS;JTK 4/Quarantine/RM;GBMJTK6/IK11151;990;g;Raw Material;0.99; 281,339 ; 278,525 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Quarantine/RM;GBMJTK6/IL23054;10050.5;g;Raw Material;10.0505; 113,899 ; 1,144,737 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/JA11013;449.55;g;Raw Material;0.44955; 426,732 ; 191,837 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/IL24013;0.05;g;Raw Material;5E-05; 113,899 ; 6 ;;;;;;;
CLR3-RED-ABB;WARN-C19011-R7CL-K;C19-011;JTK 4/Stock/RM;GBMJTK6/II30024;607.6917;g;Raw Material;0.6076917; 939,814 ; 571,117 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Quarantine/RM;GBMJTK6/JB09046;18;g;Raw Material;0.018; 191,995 ; 3,456 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/JB03109;150;g;Raw Material;0.15; 426,732 ; 64,010 ;;;;;;;
OBW1-AAE;OIL-ORJVA-X;Minyak Zaitun B;JTK 4/Stock/RM;GBMJTK6/JB02167;0.8;g;Raw Material;0.0008; 51,169 ; 41 ;;;;;;;
OBW1-AAE;OIL-ORJVA-X;Minyak Zaitun B;JTK 4/Stock/RM;GBMJTK6/JD26133;26.85;g;Raw Material;0.02685; 51,169 ; 1,374 ;;;;;;;
PRF1-AKD;PARF-DLPZLE-X;Parfum Admire;JTK 4/Stock/RM;GBMJTK6/JB03122;22.5;g;Raw Material;0.0225; 404,398 ; 9,099 ;;;;;;;
