Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
228,PARF-A5961-X,Parfum Parisian,PRF1-AHD,"La Creme De Parisian 082220 ex PT Firmenich Indonesia, Indonesia",Kg,Eksis,,"Firmenich Indonesia, PT",4,10,Amel,,,PARF-A5961-X,,,,#N/A,,,
229,PARF-CFTME-X,Parfum Infinite,PRF1-AKA,"CHEERFULL TOUCH MOD E19E2583 ex PT Mane Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,25,Amel,,,PARF-CFTME-X,,,,#N/A,,,
230,PARF-ENTCSC-X,Parfum Allure,PRF1-AHF,"SP125644 Entice SC ex CPL Aromas, Hong Kong",Kg,Belum Eksis,,Brenntag_CPL Aroma,8,5,Amel,,,PARF-ENTCSC-X,,,,#N/A,,,
231,PARF-WFBLSE-X,Parfum Green River,PRF1-AHJ,"WATERFALL BLISS E19F9770 ex PT Mane Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,25,Amel,,,PARF-WFBLSE-X,,,,#N/A,,,
232,PARF-MNRWVSA-X,Parfum Sea Escape,PRF1-AHI,"PARF-MNRWVSA-X MINERAL WAVES AAJ00678/00 ex PT. Givaudan Indonesia, Indonesia",Kg,Eliminasi,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-MNRWVSA-X,,,,#N/A,,,
233,PARF-HRVY-X,Parfum Heavy,PRF1-AHH,"PARF-HRVY-X Harvey ex PT. Givaudan Indonesia, Indonesia",Kg,Eliminasi,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-HRVY-X,,,,#N/A,,,
234,PARF-PRVIAE-X,Parfum Ivy,PRF1-AHG,"Privy Infinte Affair E19G6079 ex PT Mane Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,25,Amel,,,PARF-PRVIAE-X,,,,#N/A,,,
235,PARF-SFFC2-X,Parfum Bloom,PRF1-AID,"PARF-SFFC2-X Spring Flower FC2 ex PT Givaudan Indonesia, Indonesia",Kg,Eliminasi,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-SFFC2-X,,,,#N/A,,,
236,PARF-LEPE-X,Parfum Luxury,PRF1-AJB,"Luxurious Exotic Peach E19G7514 ex PT. Mane Indonesia, Indonesia",Kg,Eliminasi,,"Mane Indonesia, PT",2,1,Amel,,,PARF-LEPE-X,,,,#N/A,,,
237,PARF-SGM62-X,Parfum Magical,PRF1-AJC,"PARF-SGM62-X SULTAN OF GOLD MOD AAJ01462/00 ex PT. Givaudan Indonesia, Indonesia",Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-SGM62-X,,,,#N/A,,,
238,PARF-SGMT43-X,Parfum Prince Ali,PRF1-AJD,"SULTAN OF GOLD MOD TECHNICAL AAJ02643/00 ex PT. Givaudan Indonesia, Indonesia",Kg,Belum Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-SGMT43-X,,,,#N/A,,,
239,PARF-MZHM90-X,Parfum Dreamy,PRF1-AJE,"PARF-MZHM90-X MIZU H20 MOD AAJ00890/00 ex PT. Givaudan Indonesia, Indonesia",Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-MZHM90-X,,,,#N/A,,,
240,PARF-MZHHMT-X,Parfum Cloudy,PRF1-AJF,"MIZU H20 MOD TECHNICAL AAJ02649/00 ex PT. Givaudan Indonesia, Indonesia",Kg,Belum Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-MZHHMT-X,,,,#N/A,,,
241,PARF-ITPM91-X,Parfum Geezer,PRF1-AJG,"INTERPOL MOD E20019091 ex PT. Mane Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,25,Amel,,,PARF-ITPM91-X,,,,#N/A,,,
242,PARF-NWR77-X,Parfum Soldier,PRF1-AJH,"NIGHT WARRIOR 377 ex PT. Firmenich Indonesia, Indonesia",Kg,Eksis,,"Firmenich Indonesia, PT",6,50,Amel,,,PARF-NWR77-X,,,,#N/A,,,
243,PARF-NWR7D-X,Parfum Horseman,PRF1-AJI,"NIGHT WARRIOR 377D ex PT. Firmenich Indonesia, Indonesia",Kg,Belum Eksis,,"Firmenich Indonesia, PT",6,25,Amel,,,PARF-NWR7D-X,,,,#N/A,,,
244,PARF-AMSKLG-X,Parfum Dearly,PRF1-AJJ,"SP119879 Musk LYF GT ex CPL Aromas (Far East) Limited, Hong Kong",Kg,Eksis,,Brenntag_CPL Aroma,8,25,Amel,,,PARF-AMSKLG-X,,,,#N/A,,,
245,PARF-BRCE-X,Parfum Marigold,PRF1-AKB,"Brightfull Calendula E19D1373, PT Mane Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,25,Amel,,,PARF-BRCE-X,,,,#N/A,,,
246,PARF-DLPZLE-X,Parfum Admire,PRF1-AKD,"DELIGHTFUL PRETZEL E20091450 ex PT MANE Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,1,Amel,,,PARF-DLPZLE-X,,,,,,,
247,PARF-LF52MF-X,Parfum Squash,PRF1-AJAAJ,"Lemon Fresh 5222/MF ex Robertet S.A, France",Kg,Eksis,,"Juta Rasa Abadi, PT",16,1,Amel,,,PARF-LF52MF-X,,,,,,,
248,PARF-TWFLLF-X,Parfum Flowery,PRF1-AKABC,"PARF-TWFLLF-X Twister Floral 394 LF ex PT Givaudan Indonesia, Indonesia",Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-TWFLLF-X,,,,,,,
249,PARF-PSVLF-X,Parfum Barberian,PRF1-AKABD,"PARF-PSVLF-X PSV 816 LF ex PT Givaudan Indonesia, Indonesia",Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-PSVLF-X,,,,,,,
250,PARF-BLMODA-X,Parfum Flat Lemon,PRF1-BAAAJ,"Blue Lemon MOD 1 E20154151 ex PT. Mane Indonesia, Indonesia",Kg,Eliminasi,,"Mane Indonesia, PT",2,1,Amel,,,PARF-BLMODA-X,,,,,,,
251,PARF-CFLYFGT-X,Brazilian Wave,PRF1-BBABA,"SP119878 Carioca Fresh LYF GT ex CPL Aromas (Far East) Limited, Hong Kong",Kg,Eksis,,Brenntag_CPL Aroma,8,25,Amel,,,PARF-CFLYFGT-X,,,,,,,
252,PARF-ISLYFGT-X,Parfum Shimmer Snow,PRF1-BBABF,"SP119882 ICE SPARKLING LYF GT ex CPL Aromas (Far East) Limited, Hong Kong",Kg,Eksis,,Brenntag_CPL Aroma,8,25,Amel,,,PARF-ISLYFGT-X,,,,,,,
253,PARF-WGTIMP-X,Parfum Light Green,PRF1-BCACD,"PARF-WGTIMP-X Water Green Tea IMP ex PT. Givaudan Indonesia, Indonesia",Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-WGTIMP-X,,,,,,,
254,PARF-CRMOD-X,Parfum Purity,PRF1-BCACE,"Caring Moment MOD E20062718 ex PT Mane Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,25,Amel,,,PARF-CRMOD-X,,,,,,,
255,PARF-IMTD1-X,Parfum Tranquil Tea,PRF1-BCACB,"Immuni Tea Mod 1 ex PT. Givaudan Indonesia, Indonesia",Kg,Belum Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-IMTD1-X,,,,,,,
256,PARF-HGTEA-X,Parfum Cold Tea,PRF1-BCACC,"PARF-HGTEA-X High Tea STR 1 ex PT. Givaudan Indonesia, Indonesia",Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-HGTEA-X,,,,,,,
257,PARF-SOJMLF-X,Parfum Sunny Season,PRF1-BCACI,"Summer of June MOD LF ex PT Givaudan Indonesia, Indonesia",Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-SOJMLF-X,,,,,,,
258,PARF-CLMRER-X,Parfum Airy,PRF1-BCACJ,"CLEMORE R1222871 ex PT Mane Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,1,Amel,,,PARF-CLMRER-X,,,,,,,
259,PARF-SRNTEA-X,Parfum Natural Hint,PRF1-BDADC,"DEEP SERENITY TIME E20130050 ex PT. Mane Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,25,Amel,,,PARF-SRNTEA-X,,,,,,,
260,PARF-RSCFE-X,Parfum Espresso,PRF1-BDADA,"ROASTED COFFEE E20172387 ex PT Mane Indonesia, Indonesia",Kg,Eksis,,"Mane Indonesia, PT",2,25,Amel,,,PARF-RSCFE-X,,,,,,,
261,PARF-PCGD2SG-X,Parfum PG Fruit,PRF1-BEAAI,"SP140491 PEACH GRAPEFRUIT MOD II SG ex CPL Aromas, HongKong",Kg,Eksis,,Brenntag_CPL Aroma,8,25,Amel,,,PARF-PCGD2SG-X,,,,,,,
262,PARF-CTPSMOD-X,Parfum Fairytale,PRF1-BEABA,"Compound The Perfect Story MOD T15133496 ex Takasago International (Singapore) Pte. Ltd., Singapore",Kg,Eksis,,"Indowan Adisentosa, PT",8,50,Amel,,,PARF-CTPSMOD-X,,,,,,,
263,PARF-MFLMOD-X,Parfum Poofy,PRF1-BEABC,My Fairy Lady MOD E20167234,Kg,Belum Eksis,,"Mane Indonesia, PT",2,1,Amel,,,PARF-MFLMOD-X,,,,,,,
264,PARF-EOMOD-X,Parfum Lively Olive,PRF1-BGADE,Exotic Olive MOD-NL E20146659,Kg,Habiskan Stock,,"Mane Indonesia, PT",2,25,Amel,,,PARF-EOMOD-X,,,,,,,
265,PARF-DVHNYE-X,Parfum Honeydew,PRF1-BHAEC,Divine Honey E21008278,Kg,Eksis,,"Mane Indonesia, PT",2,1,Amel,,,PARF-DVHNYE-X,,,,,,,
266,PARF-OMGRP-X,Parfum Grapevit,PRF1-BHAED,Oh My Grape! E21008247,Kg,Eksis,,"Mane Indonesia, PT",2,25,Amel,,,PARF-OMGRP-X,,,,,,,
267,PARF-SPRFLR-X,Lush Blossom,PRF1-BHAJD,PARF-SPRFLR-X Spring Flower FC 2 N,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-SPRFLR-X,,,,,,,
268,PARF-CWGT-X,Parfum Pure Spell,PRF1-BIBAE,COMPOUND WHITE GLAMOUR 2 T15131332,Kg,Eksis,,"Indowan Adisentosa, PT",8,25,Amel,,,PARF-CWGT-X,,,,,,,
269,PARF-LVDLVLY-X,Parfum Lavalove,PRF1-BJBDC,SP119877 Lavender Love LYF HC,Kg,Eksis,,Brenntag_CPL Aroma,8,25,Amel,,,PARF-LVDLVLY-X,,,,,,,
270,PARF-PCNDLF-X,Parfum Sunday Breeze,PRF1-BKBEI,PARF-PCNDLF-X Picnic Day LF,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-PCNDLF-X,,,,,,,
271,PARF-MJTDM-X,Parfum Night Star,PRF1-BLBGJ,MAJESTIC DREAMS E20158018,Kg,Eksis,,"MANE Indonesia, PT",2,25,Amel,,,PARF-MJTDM-X,,,,,,,
272,PARF-LVDMS-X,Parfum Laviola,PRF1-BLBHA,Lavande MOD 7,Kg,Eksis,,"FIRMENICH Indonesia, PT",8,25,Amel,,,PARF-LVDMS-X,,,,,,,
273,PARF-ALCMS-X,Parfum Wonderland,PRF1-BLBHB,Alice MOD 7,Kg,Eksis,,"FIRMENICH Indonesia, PT",8,25,Amel,,,PARF-ALCMS-X,,,,,,,
274,PARF-RSTCC-X,Parfum Belle Rose,PRF1-BLBHC,Rosette 36C,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-RSTCC-X,,,,,,,
275,PARF-VVDVMS-X,Parfum Lady Stage,PRF1-BLBHD,Viva Diva MOD 7,Kg,Eksis,,"FIRMENICH Indonesia, PT",8,25,Amel,,,PARF-VVDVMS-X,,,,,,,
276,PARF-RLVNL-X,Parfum Rosebella,PRF1-BLBHE,Rose Love Vanilla E20142544,Kg,Eksis,,"MANE Indonesia, PT",2,25,Amel,,,PARF-RLVNL-X,,,,,,,
277,PARF-VVDVMH-X,Parfum Opera Voice,PRF1-BLBIA,Viva Diva Mod 8,Kg,Eksis,,"FIRMENICH Indonesia, PT",4,25,Amel,,,PARF-VVDVMH-X,,,,,,,
278,PARF-GRVYGA-X,Parfum Sail Cruise,PRF1-BLBIB,PARF-GRVYGA-X Grand Voyage AAK21646/00,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,PARF-GRVYGA-X,,,,,,,
279,PARF-MOANGL-X,Parfum Night Fantasy,PRF1-BLBIF,PARF-MOANGL-X MOON ANGEL AAK20777/00,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
280,PARF-AMGRZ-X,Parfum Grand Glimmer,PRF1-BLBIG,PARF-AMGRZ-X AMAZING GRACE AAK20769/00,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
281,PARF-WSGRM-X,Parfum Fleur Luna,PRF1-BLBIH,Wise Girl 347 MOD 15A,Kg,Eksis,,"FIRMENICH Indonesia, PT",4,25,Amel,,,,,,,,,,
282,PARF-GLMSTA-X,Parfum Emberglow,PRF1-BLBII,Gold Majesty AAK2078000,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
283,PARF-MJSDMB-X,Parfum Moonlight,PRF1-BLBJF,Majestic Dream MOD 2  E21019682,Kg,Habiskan stock,,"MANE Indonesia, PT",2,25,Amel,,,,,,,,,,
284,PARF-LDGRGA-X,Parfum Grand Duke,PRF1-BLBJI,PARF-LDGRGA-X LORD GEORGE AAI3019800,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
285,PARF-OCWVE-X,Parfum Atlantis,PRF1-CAABE,OCEAN WAVE 1 E21148855,Kg,Eksis,,"MANE Indonesia, PT",2,25,Amel,,,,,,,,,,
286,PARF-SWOYE-X,Parfum Nerissa,PRF1-CAABH,Sweet On You E21155421,Kg,Eksis,,"MANE INDONESIA, PT",2,1,Amel,,,,,,,,,,
287,PARF-CFLS-X,Parfum Happy,PRF1-CBACG,CHEERFUL SEASON 1 E21149480,Kg,Eksis,,"MANE INDONESIA, PT",2,25,Amel,,,,,,,,,,
288,PARF-FOMOD-X,Parfum Antique,PRF1-CBACI,Far Oud 867 PD MOD ex Firmenich,Kg,Eksis,,"Firmenich Indonesia, PT",4,50,Amel,,,,,,,,,,
289,PARF-MWLVP-X,Parfum Waves,PRF1-CDAGA,PARF-MWLVP-X Mineral Waves LVP,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
290,PARF-MRGGLO-X,Parfum Glory,PRF1-CFAHD,Morning Glory,Kg,Belum Eksis,,"Firmenich Indonesia, PT",8,50,Amel,,,,,,,,,,
291,PARF-MRGBRZ-X,Parfum Moringa,PRF1-CFAHE,Moringa Breeze,Kg,Belum Eksis,,"Firmenich Indonesia, PT",8,50,Amel,,,,,,,,,,
292,PARF-WG347BW-X,Parfum Wise,PRF1-CGAHJ,Wise Girl 347 BW MOD,Kg,Eksis,,"Firmenich Indonesia, PT",6,25,Amel,,,,,,,,,,
293,PARF-UVMOD1-X,Parfum UV01,PRF1-CHBAB,Ultra Violet Mod 1 E21136815,Kg,Eksis,,"MANE INDONESIA, PT",2,1,Amel,,,,,,,,,,
294,PARF-MALD8-X,Parfum Moon Angel,PRF1-CHBAH,MOON ANGEL LD8,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
295,PARF-GMBW2C-X,Parfum Greatness,PRF1-CHBAI,GOLD MAJESTY BW2 CONC,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
296,PARF-AGLD3-X,Parfum Grace,PRF1-CHBAJ,AMAZING GRACE LD3,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
297,PARF-HM2AAL-X,Parfum Herve,PRF1-CHBBC,Harvey MOD 2 AAL19758/00,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
298,PARF-OLVALF2-X,Parfum Olive LF2,PRF1-CIBCB,Olive 270 LF2 AAI0308000,Kg,Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
299,PARF-HRCFP2-X,Parfum Kahf Deo,PRF1-DCAEA,EXTREME HURRICANE FRESHPLEX™ MOD 2 E22186930,Kg,Belum Eksis,,"MANE INDONESIA, PT",2,25,Amel,,,,,,,,,,
300,PARF-WHTSLK-X,Parfum Deo Shield,PRF1-DCAED,White Silk ST1,Kg,Belum Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
301,PARF-CLPWR-X,Parfum Deo Cool,PRF1-DCAEE,Cool Power ST1,Kg,Belum Eksis,,"Givaudan Indonesia, PT",12,25,Amel,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,WARNA,,,,,,,,,,,,,WARNA,,,,#N/A,,,
1,WARN-BOS--K,Bleu Otremer Special,,Bleu D'Outremer Special ex. Sensient Cosmetic Technologies lcw France,Kg,Eliminasi,,"Pitala Gunawan Raya, PT",16,1,Amel,,,WARN-BOS--K,Inactive,,,#N/A,,,
2,WARN-BB--K,Serbuk Warna Biru,CLR3-BLU-AAB,36021 Edicol Brilliant Blue ex. Univar Colour UK,Kg,Eksis,,"Dwipar Loka Ayu, PT",6,1,Amel,,,WARN-BB--K,Active,,,#N/A,,,
3,WARN-C14023-R27AL-K,C14-023,,C14023B : SunCROMA# D&C Red 27 Allk ex. Sun Chemical Pigments Belgium,Kg,Belum Eksis,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-C14023-R27AL-K,Inactive,,,#N/A,,,
4,WARN-C14034-DCR21ALL,C14-034 (E),,C14-034 D&C Red 21 Al Lake (Kg),Kg,Eliminasi,,,16,25,,,,WARN-C14034-DCR21ALL,Inactive,,,#N/A,,,
5,WARN-C19003-DCR7CAL-,C19-003 (E),,C19-003 D&C Red 7 Ca. Lake (Kg),Kg,Eliminasi,,,16,25,,,,WARN-C19003-DCR7CAL-,Inactive,,,#N/A,,,
6,WARN-C19011-R7CL-K,C19-011,CLR3-RED-ABB,C19011B : SunCroma# D&C Red 7 Ca Lk ex. Sun Chemical Pigments Belgium,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-C19011-R7CL-K,Active,,,#N/A,,,
7,WARN-C19012-DCR6-K,C19-012,CLR3-RED-AAJ,C19012B : SunCroma# D&C Red 6 Ba Lk ex. Sun Chemical Pigments Belgium,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-C19012-DCR6-K,Active,,,#N/A,,,
8,WARN-C19025--K,C19-025 (E),,C19-025 (Kg),Kg,Eliminasi,,,16,25,,,,WARN-C19025--K,Inactive,,,#N/A,,,
9,WARN-C196619-R6-K,C19-6619,CLR3-RED-AAE,Suncroma(TM) D&C Red 6 Na Salt ex. Sun Chemical Pigments Belgium,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-C196619-R6-K,Active,,,#N/A,,,
10,WARN-C33115-IOB-K,C33-115 (E),,C33-115 Iron Oxide Brown (Kg),Kg,Eliminasi,,,16,25,,,,WARN-C33115-IOB-K,Inactive,,,#N/A,,,
11,WARN-C335138--K,C33-5138,CLR3-RED-AAC,C335138 : 01 : Suncroma Russet Iron Oxide C335138 ex. Sun Chemical Pigments Belgium,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-C335138--K,Active,,,#N/A,,,
12,WARN-C338--K,C33-8073,CLR3-YLW-AAB,"Suncroma Yellow Iron Oxide C338073 ex Sun Chemical Pigments, USA",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-C338--K,Active,,,#N/A,,,
13,WARN-C338075-IO-K,C33-8075 (E),,C33-8075 Iron Oxide (Kg),Kg,Eliminasi,,,16,25,,,,WARN-C338075-IO-K,Inactive,,,#N/A,,,
14,WARN-C43001-MV-K,C43-001,CLR3-VLT-AAB,SunCROMA(tm) Manganese Violet ex. Sun Chemical Pigments Belgium,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-C43001-MV-K,Active,,,#N/A,,,
15,WARN-C801--K,C80-1101,,C801101 : 01 : SunPearl# Fine White ex. Sun Chemical Pigments Belgium,Kg,Belum Eksis,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-C801--K,Inactive,,,#N/A,,,
16,WARN-C846--K,C84-6272,,SunPearl(tm) Maroon ex. Sun Chemical Pigments Belgium,Kg,Belum Eksis,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-C846--K,Inactive,,,#N/A,,,
17,WARN-CC--K,Celline Coral,,Cellini(R) Coral 420CR40F ex. BASF USA,Kg,Eliminasi,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CC--K,Inactive,,,#N/A,,,
18,WARN-CY--K,Celline Yellow,CLR3-YLW-AAH,Cellini(R) Yellow 220CY5F ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CY--K,Active,,,#N/A,,,
19,WARN-CLOGB--K,Cloissone Golden Bronze,CLR3-BRW-AAE,Cloisonne(R) Golden Bronze 240X ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CLOGB--K,Active,,,#N/A,,,
20,WARN-CLOSG--K,Cloissone Sparkle Gold,CLR3-YLW-AAE,Cloisonne(R) Sprakle Gold 222J ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CLOSG--K,Active,,,#N/A,,,
21,WARN-CB--K,Cloissone Blue,CLR3-BLU-AAC,Cloissone(R) Blue 626C ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CB--K,Active,,,#N/A,,,
22,WARN-CCCLOC--K,Cloissone Copper,CLR3-BRW-AAD,Cloissone(R) Copper 340X ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CCCLOC--K,Active,,,#N/A,,,
23,WARN-CLOO--K,Cloisonne Orange (E),,Cloisonne Orange (Kg),Kg,Eliminasi,,,16,25,,,,WARN-CLOO--K,Inactive,,,#N/A,,,
24,WARN-CLOR--K,Cloisonne Red (E),,Cloisonne Red (Kg),Kg,Eliminasi,,,16,25,,,,WARN-CLOR--K,Inactive,,,#N/A,,,
25,WARN-CLOV--K,Cloissone Violet,CLR3-VLT-AAC,Cloissone(R) Violet 525C ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CLOV--K,Active,,,#N/A,,,
26,WARN-CLOG222--K,Cloissone Gold,CLR3-GLD-AAD,Cloissone(R) Gold 222C ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CLOG222--K,Active,,,#N/A,,,
27,WARN-CLONAR-424CB-K,Cloissone Nu-A Red,CLR3-RED-ABA,Cloissone(R) NU-Antique Red 424CB ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-CLONAR-424CB-K,Active,,,#N/A,,,
28,WARN-COGJ--K,Cogilor Jet,CLR3-BLK-AAB,90077 Cogilor Jet,Kg,Discontinue,,"Galic Bina Mada, PT",2,5,,,,WARN-COGJ--K,Active (habiskan stock),,,#N/A,,,
29,WARN-COGO--K,Cogilor Ochre,CLR3-YLW-AAD,"90076 Cogilor Ochre ex. Univar Solutions, UK",Kg,Eksis,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-COGO--K,Active,,,#N/A,,,
30,WARN-COGR--K,Cogilor Rouge,CLR3-RED-AAB,90075 Cogilor Rouge ex. Univar Colour UK,Kg,Eliminasi,,"Dwipar Loka Ayu, PT",16,25,Amel,,,WARN-COGR--K,Active,,,#N/A,,,
31,WARN-CW--K,Cold Wave,,Warna Cold Wave (Kg),Kg,Eliminasi,,,16,1,,,,WARN-CW--K,Inactive,,,#N/A,,,
32,WARN-CSW-9000S-K,Cosmetic SW,CLR3-WHT-AAC,"Cosmetica Super White 9000S ex. CQV Co., Ltd. South Korea",Kg,Eksis,,"Tritunggal Artha Makmur, PT",12,25,Ilham,,,WARN-CSW-9000S-K,Active,,,#N/A,,,
33,WARN-COSG--K,Cosmetic Green,CLR3-GRN-AAE,Suncroma(TM) Hy Chrom Oxide Gr ex. Sun Chemical Pigments Belgium,Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,25,Ilham,,,WARN-COSG--K,Active,,,#N/A,,,
34,WARN-COSO--K,Cosmica Orange (E),,Cosmica Orange (Kg),Kg,Eliminasi,,,16,25,,,,WARN-COSO--K,Inactive,,,#N/A,,,
35,WARN-EY--K,Egg Yellow,,Egg Yellow (Kg),Kg,Eliminasi,,,16,1,,,,WARN-EY--K,Inactive,,,#N/A,,,
36,WARN-FS--K,Flamenco Satina,,Flamenco Satina (kg),Kg,Belum Eksis,,,16,25,,,,WARN-FS--K,Inactive,,,#N/A,,,
37,WARN-FR--K,Flamenco Red (E),,Flamenco Red (Kg),Kg,Eliminasi,,,16,25,,,,WARN-FR--K,Inactive,,,#N/A,,,
38,WARN-GT0600--K,Gemtone Opal,CLR3-BRW-AAF,Gemtone(R) Tan Opal G005 ex. BASF USA,Kg,Eksis,,"Tritunggal Artha Makmur, PT",16,25,Ilham,,,WARN-GT0600--K,Active,,,#N/A,,,
39,WARN-CAR--K,Serbuk Warna Lemon Top,CLR3-RED-AAF,"Eurocert Carmoisine ex Sensient Colors S.A de C.V, Mexico",Kg,Eksis,,"Pitala Gunawan Raya, PT",21,1,Amel,,,WARN-CAR--K,Active,,,#N/A,,,
40,WARN-LSW5001-W 5001-,Pustreite,CLR3-VLT-AAF,Lilas Solid W 5001 (Kg),Kg,Eliminasi,,"Tigaka Distrindo Perkasa, PT",2,1,Amel,,,WARN-LSW5001-W 5001-,Active,,,#N/A,,,
41,WARN-RDOW4800--K,Rose D'outremer W 4800,,Rode D'Outremer W4800 ex. Sensient Cosmetic Tecnologies lcw France,Kg,Eliminasi,,"Pitala Gunawan Raya, PT",16,1,Amel,,,WARN-RDOW4800--K,Inactive,,,#N/A,,,
42,WARN-S12BB100--K,S1-2 Black BL 100 (E),,S1-2 Black BL 100 (Kg),Kg,Eliminasi,,,16,25,,,,WARN-S12BB100--K,Inactive,,,#N/A,,,
43,WARN-S12RN217--K,SI-2 Red No. 217,CLR3-RED-AAG,"SI-2 Red No. 217 ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,20,Septi,Pull,,WARN-S12RN217--K,Active,,,#N/A,,,
44,WARN-S12RR5161--K,SI-2 Red No. 516 L,CLR3-RED-AAH,"SI-2 Red R-516 L ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,Cek Mikro,"Kemiko Indonesia, PT",20,20,Septi,Pull,,WARN-S12RR5161--K,Active,,,#N/A,,,
45,WARN-S12YL--K,SI-2 Yellow LLXLO,CLR3-YLW-AAG,"SI-2 Yellow LLXLO ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,20,Septi,Pull,,WARN-S12YL--K,Active,,,#N/A,,,
