Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
63,LICO-H-3098.01,Ekstrak Pemutih W,,Licorice Powder Extract Haldin 3098.01 (kg),Kg,Eliminasi,,,1,5,,,,LICO-H-3098.01,Inactive,,,#N/A,,,
64,LICO-D-EXTPT40-G,Ekstrak Pemutih O,WHT3-AAB,Polyol Soluble Licorice Extract P-T(40) ex. Maruzen Pharmaceutical Japan,G,Eksis,,"IMCD Indonesia, PT",10,100,Ilham,,,LICO-D-EXTPT40-G,Active,,,#N/A,,,
65,EXTR-LLP-C-K,Ekstrak Lemon,,Liq. Lemon Extr. BG Panarom ex. Crodarom France,Kg,Belum Eksis,,"Croda Trading Indonesia, PT",2,25,Ilham,,,EXTR-LLP-C-K,Inactive,,,#N/A,,,
66,EXTR-ME--K,Ekstrak Mengkudu,,Extract Mengkudu (Kg),Kg,Eliminasi,,,1,1,,,,EXTR-ME--K,Inactive,,,#N/A,,,
67,EXTR-RW-C-K,Ekstrak Mawar,,Rose Water 2266 ex. Crodarom France,Kg,Belum Eksis,,"Croda Trading Indonesia, PT",2,5,Ilham,,,EXTR-RW-C-K,Inactive,,,#N/A,,,
68,EXTR-RL-SS2-K,Ekstrak Rumput Laut,,Extrapone Seaweed 2033760 ex. Symrise Singapore,Kg,Belum Eksis,,"Symrise, PT",2,25,Ilham,,,EXTR-RL-SS2-K,Inactive,,,#N/A,,,
69,EXTR-SE--K,Ekstrak Seledri,,Extract Seledri (Kg),Kg,Eliminasi,,,1,1,,,,EXTR-SE--K,Inactive,,,#N/A,,,
70,EXTR-LK--K,Ekstrak Telur,,Lecithin Extr. Kosmaflor W/ Dis ex. Croda Novarom France,Kg,Belum Eksis,,,1,1,,,,EXTR-LK--K,Inactive,,,#N/A,,,
71,EMUL--S660352-K,Emulsifier,EMS1-AAD,Solubilizer ex. Symrise Singapore,Kg,Eksis,,"Symrise, PT",16,25,Ilham,,,EMUL--S660352-K,Active,,,#N/A,,,
72,ACN-FMG-ET-K,Pengawet PMG,,Acnibio FMG Ex.Textron (kg),Kg,Eliminasi,,"Nardevchem Kemindo, PT",2,10,Septi,,,ACN-FMG-ET-K,Inactive,,,#N/A,,,
73,PVP-U6-I-K,FF 6,,Tricontanyl PVP Unimer U-6 Induchem (Kg),Kg,Eliminasi,,,1,1,,,,PVP-U6-I-K,Inactive,,,#N/A,,,
74,FLOE---K,Flora Ester,,Flora Ester (Kg),Kg,Eliminasi,,,1,1,,,,FLOE---K,Inactive,,,#N/A,,,
75,MACK--EMIUSA-K,Mild Surfactan (HS),,Mackanate El.Ex.McIntyre USA (Kg),Kg,Eliminasi,,"Sumber Indokemjaya, PT",2,200,Ilham,,,MACK--EMIUSA-K,Inactive,,,#N/A,,,
76,ASAM-A-CAAH-K,Serbuk Asam,PRV3-AAH,Citric Acid Anhydrous ex. TTCA China,Kg,Eksis,,"Global Chemindo Megatrading, PT",16,25,Amel,,,ASAM-A-CAAH-K,Active,,,#N/A,,,
77,NATR-C-SC-K,Garam Shampo,SLT3-AAJ,"Suprasel Fine ex. Nouryon, Netherlands",Kg,Eksis,,Chemische Produkten Gesellschaft m.b.H.,16,25,,,,NATR-C-SC-K,Inactive,,,#N/A,,,
78,GLYC--ECOS-K,Glycerin,EMO1-ABD,"Ecocerol (Refined Glycerin) ex. Ecogreen Oleochemicals, Indonesia",Kg,Eksis,,"Indokemika Jayatama, PT",8,250,Amel,,,GLYC--ECOS-K,Active,,,GLYC--ECOS-K,,,
79,HWA--CUK-K,WAA,,Hydrotriticum WAA Ex. Croda - UK (Kg),Kg,Eliminasi,,,19,25,,,,HWA--CUK-K,Inactive,,,#N/A,,,
80,IPM--EK,IPM,EMO1-AHE,Isopropyl Myristate (IPM) ex. KemOleo Singapore,Kg,Eliminasi,,"Connell Bersaudara Chemindo, PT",2,175,Amel,,,IPM--EK,Inactive,,,#N/A,,,
81,ISOS--EG-K,Isostearyl,,"Isostaryl Isostearat Ex.Gattefose, France (Kg)",Kg,Eliminasi,,"Infinisia Sumber Semesta, PT",2,20,Ilham,,,ISOS--EG-K,Inactive,,,#N/A,,,
82,OIL-JO-SR-K,Jojoba Oil,,Refined Jojoba Oil ex. Snoi International USA,Kg,Belum Eksis,,"Merpati Mahardika, PT",2,25,Ilham,,,OIL-JO-SR-K,Inactive,,,#N/A,,,
83,KATH---K,Kathon,PRV1-AAE,Kathon (TM) GC Preservative ex. Rohm and Haas Singapore,Kg,Eksis,,"Connell Bersaudara Chemindo, PT",12,20,Amel,,,KATH---K,Active,,,#N/A,,,
84,KELT--CG-K,Keltrol,,Keltrol CG (Kg),Kg,Eliminasi,,,1,1,,,,KELT--CG-K,Inactive,,,#N/A,,,
85,XANT---K,Keltrol 2,RHM3-ACH,Xanthan Gum FN ex. Jungbunzlauer Austria,Kg,Eksis,Cek Mikro,"DKSH Indonesia, PT",20,20,Septi,,,XANT---K,Active,,,XANT---K,,,
86,KOH--PH-K,KOH,NTA3-AAB,Potassium Hydroxide 90% ex. Unid Co. Korea,Kg,Eksis,,"Mega Setia Agung Kimia, PT
Panca Kusuma Raya, PT",4,25,,,,KOH--PH-K,Active,,,#N/A,,,
87,LABR--ISOGTF-K,Labrafil,,Labrafil Isostearique Ex.Gattefose France (Kg),Kg,Eliminasi,,,6,25,,,,LABR--ISOGTF-K,Inactive,,,#N/A,,,
88,LAUR---K,Lilin 12,,Lauric Acid ex. Musim Mas Indonesia,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,25,Ilham,,,LAUR---K,Inactive,,,#N/A,,,
89,MYRI---K,Lilin 14,,Myristic Acid 99% ex. Musim Mas Indonesia,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,25,Ilham,,,MYRI---K,Inactive,,,#N/A,,,
90,CETY---K,Lilin 16,WAX3-ABD,Ecorol 16/98P (Cetyl alcohol pastilles) ex. Ecogreen Oleochemicals Singapore,Kg,Eksis,,"Indokemika Jayatama, PT",8,20,Amel,,,CETY---K,Active,,,#N/A,,,
91,CEST-5050-ALC-K,Lilin 16/18 (Rama CM),,Cetyl-Stearyl Alcohol 50-50 (Kg),Kg,Eliminasi,,,1,1,,,,CEST-5050-ALC-K,Inactive,,,#N/A,,,
92,SIMU-16--K,Lilin 165,,Simulsol 165 38364A ex. Seppic France,Kg,Belum Eksis,,"Mega Setia Agung Kimia, PT",2,25,Ilham,,,SIMU-16--K,Inactive,,,#N/A,,,
93,STA--C18-K,Lilin 18A,WAX3-ABE,"Ecorol 18/98P (Stearyl Alcohol Pastilles) ex. PT Ecogreen Oleochemicals, Indonesia",Kg,Eksis,,"Indokemika Jayatama, PT",8,20,Amel,,,STA--C18-K,Active,,,#N/A,,,
94,LANO-AN--K,Lilin Adep,WAX2-AAB,Lanolin Anhydrous USP ex. Tallow Products Australia,Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,185,Ilham,,,LANO-AN--K,Active,,,LANO-AN--K,,,
95,CIRE---K,Lilin CD,EMS3-AAI,Cire De Lanol CTO 35421B ex. Seppic France,Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,20,Ilham,,,CIRE---K,Active,,,#N/A,,,
96,GLYC-MS-CGGMS N/EB25,Lilin G,EMS3-AAJ,"Cithrol GMS 30-PA-(SG) ex. Croda Singapore Pte., Ltd.",Kg,Eksis,,"Croda Trading Indonesia, PT",20,25,Ilham,,,GLYC-MS-CGGMS N/EB25,Active,,,#N/A,,,
97,LANO-AL-A-K,Lilin O,,Lanolin Alcohol A ex. Nippon Fine Chemical Japan,Kg,Belum Eksis,,"Narda Tita, PT",2,20,Ilham,,,LANO-AL-A-K,Inactive,,,#N/A,,,
98,OPTI-CSM2--K,Lilin Solid Parfum,,"CSM Optimus 2.0 ex. Warner Pte., Ltd. Singapore",Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,25,Ilham,,,OPTI-CSM2--K,Inactive,,,#N/A,,,
99,LUV--K30-K,Bahan Masker,,"PVP K-30 ex. ISP Singapore Pte., Ltd.",Kg,Eliminasi,,"Indokemika Jayatama, PT",2,45.4,Amel,,,LUV--K30-K,Inactive,,,#N/A,,,
100,EXTR-HL-9025-K,Madu,,Honey Glycolic Extract ex. Haldin Indonesia,Kg,Belum Eksis,,"Haldin Pacific Semesta, PT",2,5,Ilham,,,EXTR-HL-9025-K,Inactive,,,#N/A,,,
101,MEA-BASF--DRUM,MEA,SRF1-AAG,Monoethanolamine Pure ex. BASF Germany,Kg,Eksis,,"Global Chemindo Megatrading, PT",20,210,Amel,,,MEA-BASF--DRUM,Active,,,#N/A,,,
102,MENT--CEPB-K,Menthol,CLA3-AAB,"Menthol Crystal (Polar Bear) ex. Anhui Province Yifan Spice Co., Ltd. China",Kg,Eksis,,"Juta Rasa Abadi, PT",8,25,Amel,,,MENT--CEPB-K,Active,,,#N/A,,,
103,MICA--SIOI2-K,Mica Coated,PWD3-ACE,"SIO1-2 Mica AB-25 ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,20,Septi,Pull,,MICA--SIOI2-K,Active,,,#N/A,,,
104,OIL-A-A-K,Minyak Adas,,Anethole ex. Teck Soon Hong (Zhuhai) Flavours and Fragrances Ltd.,Kg,Eliminasi,,,1,1,,,,OIL-A-A-K,Inactive,,,#N/A,,,
105,OIL-KP--L,Minyak Kayu Putih I,,Minyak Kayu Putih (L),Kg,Eliminasi,,"Juta Rasa Abadi, PT",2,1,Amel,,,OIL-KP--L,Inactive,,,#N/A,,,
