kode_item,nama_item,jenis,group,stock_quantity,release_quantity,staging_timbang_quantity,soh,unprocessed_mo,unprocessed_smb,available_stock,git_karantina,git_pending,uom,week,year
PAP-LSAR0-WPETASTI,Papercard Lightening Serum Ampoule 8 PET W Asti,PAPER,packaging,129127,24592,0,153719.0,,,153719.0,0,0,Pc(s),24.0,2023.0
PAP-LSAR0-WPVC,Papercard Lightening Serum Ampoule 8 W,PAPER,packaging,292,0,0,292.0,,,292.0,0,0,Pc(s),24.0,2023.0
PAP-OTGMR0-L,Inner Paper On-The-Go Minis Labore,PAPER,packaging,18776,0,0,18776.0,,2126.0,16650.0,0,0,Pc(s),24.0,2023.0
PAP-PBS8R0-W,Papercard Perfect Bright Serum 8 R0 W,PAPER,packaging,261815,0,0,261815.0,,,261815.0,0,0,Pc(s),24.0,2023.0
PAP-PPGGARK-CL,Paper Penutup Pouch Crystallure Greatest Glow AA Routine Kit CL,PAPER,packaging,1024,0,0,1024.0,,,1024.0,0,0,Pc(s),24.0,2023.0
PAP-PPHCR0-W,Paper Penutup Pouch Hajj Care R0 W,PAPER,packaging,7523,0,0,7523.0,,,7523.0,0,0,Pc(s),24.0,2023.0
PAP-PPLR0-W,Papercard Perfect Precision Liner W,PAPER,packaging,8913,49930,0,58843.0,,,58843.0,0,0,Pc(s),24.0,2023.0
PAPR-KPMBNFS-BD,Kertas Pembatas Master Box NFS BD,PAPER,packaging,13942,8,0,13950.0,,,13950.0,0,0,Pc(s),24.0,2023.0
PAP-SBSPF45R0-E,Papercard SB SPF 45 30 E,PAPER,packaging,88408,0,0,88408.0,,,88408.0,0,0,Pc(s),24.0,2023.0
PAP-SPC50R22-E,Shredded Paper Emina Package Ramadhan 2022 E,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-SPWC70R22-W,Shredded Paper Wardah Cream 70 gr W,PAPER,packaging,42849,0,0,42849.0,,,42849.0,0,0,Pc(s),24.0,2023.0
PAP-SPWT40-W,Shredded Paper Wardah Tosca 40gr W,PAPER,packaging,1969,0,0,1969.0,,,1969.0,0,0,Pc(s),24.0,2023.0
PAP-SSOTG2-L,Inner Paper On-The-Go Minis II Labore,PAPER,packaging,10650,0,0,10650.0,,,10650.0,0,0,Pc(s),24.0,2023.0
PAP-UVSAFER1-W,Papercard UVS AF Essence R1 W,PAPER,packaging,350,0,0,350.0,,,350.0,0,0,Pc(s),24.0,2023.0
PAP-UVSAFER2-W,Papercard UVS AF Essence R2 W,PAPER,packaging,140750,63194,0,203944.0,,125900.0,78044.0,0,0,Pc(s),24.0,2023.0
PAP-UVSESGR1-W,Papercard UVS ES Gel R1 W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-UVSESGR2-W,Papercard UVS ES Gel R2 W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-UVSESGR3-WPVC,Papercard UVS ES Gel R3 PVC W,PAPER,packaging,3992,0,0,3992.0,,,3992.0,0,0,Pc(s),24.0,2023.0
PAP-UVSESGR4-W,Papercard UVS ES Gel R4 W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-UVSESGR5-W,Papercard UVS ES Gel R5 W,PAPER,packaging,1060804,34423,0,1095227.0,,477778.0,617449.0,0,0,Pc(s),24.0,2023.0
PAP-UVSGMR0-W,Papercard UVS ES Gel W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-UVSSR0-W,Blister Paper UVS Sunscreen Stick W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-UVSSR1-W,Blister Paper UVS Sunscreen Stick R1 W,PAPER,packaging,16539,0,0,16539.0,,12588.0,3951.0,0,0,Pc(s),24.0,2023.0
PAP-UVSWRR0-W,Papercard UVS AP Serum W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PAP-UVSWRR1-W,Papercard UVS AP Serum R1 W,PAPER,packaging,3192,0,0,3192.0,,,3192.0,0,0,Pc(s),24.0,2023.0
PAP-UVSWRR2-W,Papercard UVS AP Serum R2 W,PAPER,packaging,102512,0,0,102512.0,,,102512.0,0,0,Pc(s),24.0,2023.0
PAP-UVWFR0-W,Papercard UVS AF Essence W,PAPER,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
PART-BEOKITR0-B,Partisi Dus Essential Oil Kit B,DUS,packaging,4963,0,0,4963.0,,,4963.0,0,0,Pc(s),24.0,2023.0
PART-BSFS30-EFSC,Partisi Dus Bright Stuff Face Serum 30 FSC E,DUS,packaging,151185,0,0,151185.0,,32987.0,118198.0,0,0,Pc(s),24.0,2023.0
PART-DEDP-K,Partisi Dus Eau de Parfum K,DUS,packaging,1187,0,0,1187.0,,114.0,1073.0,0,0,Pc(s),24.0,2023.0
PART-DEDTBR0-WAC,Partisi Dus EDT Bliss W,DUS,packaging,22053,0,0,22053.0,,,22053.0,0,0,Pc(s),24.0,2023.0
PART-DEDTJR0-WAC,Partisi Dus EDT Joyful W,DUS,packaging,23481,8,0,23489.0,,,23489.0,0,0,Pc(s),24.0,2023.0
