Reference,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity
A-SATG-BULK/SMB,SEPI-SPCA5-X,Raw Material,0.02000
A-SATG-BULK/SMB,ACTI-SRCM-X,Raw Material,0.01500
A-SATG-BULK/SMB,SEPI-SPMXZ-X,Raw Material,0.01500
A-SATG-BULK/SMB,THIC-VZNFC-X,Raw Material,0.00700
A-SATG-BULK/SMB,ACTI-MEBSA-X,Raw Material,0.00500
A-SATG-BULK/SMB,PROP-PGESK-X,Raw Material,0.02000
BBC-LL-BULK/Normal (Odoo ref 49),BIO-HYAL-BIL,Raw Material,0.00020
BBC-LL-BULK/Normal (Odoo ref 49),VITA-B3PC-X,Raw Material,0.03000
BBC-LL-BULK/Normal (Odoo ref 49),SILI-DC9045-X,Raw Material,0.15000
BBC-LL-BULK/Normal (Odoo ref 49),VCIP---K,Raw Material,0.00050
BBC-LL-BULK/Normal (Odoo ref 49),OLIV-900BT-X,Raw Material,0.00400
BBC-LL-BULK/Normal (Odoo ref 49),VITA-DL E-MS,Raw Material,0.00200
BBC-LL-BULK/Normal (Odoo ref 49),STEA-A-EST05M,Raw Material,0.02200
BBC-LL-BULK/Normal (Odoo ref 49),ORGA-EXD-ARK,Raw Material,0.00200
BBC-LL-BULK/Normal (Odoo ref 49),PEN-PRSVPE-X,Raw Material,0.00500
BBC-LL-BULK/Normal (Odoo ref 49),EXTR-ALVGE-X,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),EXTR-LCRG-X,Raw Material,0.00010
BBC-LL-BULK/Normal (Odoo ref 49),WARN-TE--PBULK,Intermediate,0.00040
BBC-LL-BULK/Normal (Odoo ref 49),SOLV-BGKHN-X,Raw Material,0.05000
BBC-LL-BULK/Normal (Odoo ref 49),SILI-FZ3196-X,Raw Material,0.02000
BBC-LL-BULK/Normal (Odoo ref 49),ABIL-WE09-X,Raw Material,0.02500
BBC-LL-BULK/Normal (Odoo ref 49),WARN-S12RN217--K,Raw Material,0.00428
BBC-LL-BULK/Normal (Odoo ref 49),UVIN-MC80-BASF,Raw Material,0.07500
BBC-LL-BULK/Normal (Odoo ref 49),NT---K,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),WARN-S12YL--K,Raw Material,0.01400
BBC-LL-BULK/Normal (Odoo ref 49),ALAN--AK-K,Raw Material,0.00100
BBC-LL-BULK/Normal (Odoo ref 49),BENT-BGISDV-X,Raw Material,0.05000
BBC-LL-BULK/Normal (Odoo ref 49),EMU-PS-,Raw Material,0.02000
BBC-LL-BULK/Normal (Odoo ref 49),POWD-9701-,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),ZINC-10PL-X,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),GARA-RFS-X,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),TITA-OTS2CR50-,Raw Material,0.08000
BBC-LL-BULK/Normal (Odoo ref 49),EDT-B--K,Raw Material,0.00050
BBC-LL-BULK/Normal (Odoo ref 49),SILI-2005-DC-K,Raw Material,0.03000
BBC-LL-BULK/Normal (Odoo ref 49),TIT-T85-X,Raw Material,0.02000
BBC-LL-BULK/Normal (Odoo ref 49),MATR-P5P3--K,Raw Material,0.00200
BBC-LL-BULK/Normal (Odoo ref 49),SILI-DC749--X,Raw Material,0.00010
BBC-LL-BULK/Normal (Odoo ref 49),SILI-345-DC-K,Raw Material,0.02000
BBC-LL-BULK/Normal (Odoo ref 49),BIO-HYAL-BIL,Raw Material,0.00020
BBC-LL-BULK/Normal (Odoo ref 49),VITA-B3PC-X,Raw Material,0.03000
BBC-LL-BULK/Normal (Odoo ref 49),SILI-DC9045-X,Raw Material,0.15000
BBC-LL-BULK/Normal (Odoo ref 49),VCIP---K,Raw Material,0.00050
BBC-LL-BULK/Normal (Odoo ref 49),OLIV-900BT-X,Raw Material,0.00400
BBC-LL-BULK/Normal (Odoo ref 49),VITA-DL E-MS,Raw Material,0.00200
BBC-LL-BULK/Normal (Odoo ref 49),STEA-A-EST05M,Raw Material,0.02200
BBC-LL-BULK/Normal (Odoo ref 49),ORGA-EXD-ARK,Raw Material,0.00200
BBC-LL-BULK/Normal (Odoo ref 49),PEN-PRSVPE-X,Raw Material,0.00500
BBC-LL-BULK/Normal (Odoo ref 49),EXTR-ALVGE-X,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),EXTR-LCRG-X,Raw Material,0.00010
BBC-LL-BULK/Normal (Odoo ref 49),WARN-TE--PBULK,Intermediate,0.00040
BBC-LL-BULK/Normal (Odoo ref 49),SOLV-BGKHN-X,Raw Material,0.05000
BBC-LL-BULK/Normal (Odoo ref 49),SILI-FZ3196-X,Raw Material,0.02000
BBC-LL-BULK/Normal (Odoo ref 49),ABIL-WE09-X,Raw Material,0.02500
BBC-LL-BULK/Normal (Odoo ref 49),WARN-S12RN217--K,Raw Material,0.00428
BBC-LL-BULK/Normal (Odoo ref 49),UVIN-MC80-BASF,Raw Material,0.07500
BBC-LL-BULK/Normal (Odoo ref 49),NT---K,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),WARN-S12YL--K,Raw Material,0.01400
BBC-LL-BULK/Normal (Odoo ref 49),ALAN--AK-K,Raw Material,0.00100
BBC-LL-BULK/Normal (Odoo ref 49),BENT-BGISDV-X,Raw Material,0.05000
BBC-LL-BULK/Normal (Odoo ref 49),EMU-PS-,Raw Material,0.02000
BBC-LL-BULK/Normal (Odoo ref 49),POWD-9701-,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),ZINC-10PL-X,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),GARA-RFS-X,Raw Material,0.01000
BBC-LL-BULK/Normal (Odoo ref 49),TITA-OTS2CR50-,Raw Material,0.08000
BBC-LL-BULK/Normal (Odoo ref 49),EDT-B--K,Raw Material,0.00050
BBC-LL-BULK/Normal (Odoo ref 49),SILI-2005-DC-K,Raw Material,0.03000
BBC-LL-BULK/Normal (Odoo ref 49),TIT-T85-X,Raw Material,0.02000
BBC-LL-BULK/Normal (Odoo ref 49),MATR-P5P3--K,Raw Material,0.00200
BBC-LL-BULK/Normal (Odoo ref 49),SILI-DC749--X,Raw Material,0.00010
BBC-LL-BULK/Normal (Odoo ref 49),SILI-345-DC-K,Raw Material,0.02000
BBC-LN-BULK/Normal (Odoo46),SOLV-BGKHN-X,Raw Material,0.05000
BBC-LN-BULK/Normal (Odoo46),UVIN-MC80-BASF,Raw Material,0.07500
BBC-LN-BULK/Normal (Odoo46),ALAN-SL--X,Raw Material,0.00100
BBC-LN-BULK/Normal (Odoo46),VCIP---K,Raw Material,0.00050
BBC-LN-BULK/Normal (Odoo46),WARN-S12YL--K,Raw Material,0.01616
BBC-LN-BULK/Normal (Odoo46),WARN-S12RN217--K,Raw Material,0.00546
BBC-LN-BULK/Normal (Odoo46),EXTR-LCRG-X,Raw Material,0.00010
BBC-LN-BULK/Normal (Odoo46),BIO-HYAL-BIL,Raw Material,0.00020
BBC-LN-BULK/Normal (Odoo46),SILI-DC749--X,Raw Material,0.00010
BBC-LN-BULK/Normal (Odoo46),PEN-PRSVPE-X,Raw Material,0.00500
BBC-LN-BULK/Normal (Odoo46),SILI-345-DC-K,Raw Material,0.02000
BBC-LN-BULK/Normal (Odoo46),OLIV-900BT-X,Raw Material,0.00400
BBC-LN-BULK/Normal (Odoo46),TITA-OTS2CR50-,Raw Material,0.08000
BBC-LN-BULK/Normal (Odoo46),MATR-P5P3--K,Raw Material,0.00200
BBC-LN-BULK/Normal (Odoo46),VITA-DL E-MS,Raw Material,0.00200
BBC-LN-BULK/Normal (Odoo46),WARN-TE--PBULK,Intermediate,0.00150
BBC-LN-BULK/Normal (Odoo46),BENT-BGISDV-X,Raw Material,0.05000
BBC-LN-BULK/Normal (Odoo46),GARA-RFS-X,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),EXTR-ALVGE-X,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),ORGA-EXD-ARK,Raw Material,0.00200
BBC-LN-BULK/Normal (Odoo46),NT---K,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),EMU-PS-,Raw Material,0.02000
BBC-LN-BULK/Normal (Odoo46),VITA-B3PC-X,Raw Material,0.03000
BBC-LN-BULK/Normal (Odoo46),ABIL-WE09-X,Raw Material,0.02500
BBC-LN-BULK/Normal (Odoo46),ZINC-10PL-X,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),EDT-B--K,Raw Material,0.00050
BBC-LN-BULK/Normal (Odoo46),STEA-A-EST05M,Raw Material,0.02200
BBC-LN-BULK/Normal (Odoo46),SILI-2005-DC-K,Raw Material,0.03000
BBC-LN-BULK/Normal (Odoo46),TIT-T85-X,Raw Material,0.02000
BBC-LN-BULK/Normal (Odoo46),POWD-9701-,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),SILI-DC9045-X,Raw Material,0.15000
BBC-LN-BULK/Normal (Odoo46),SILI-FZ3196-X,Raw Material,0.02000
BBC-LN-BULK/Normal (Odoo46),SOLV-BGKHN-X,Raw Material,0.05000
BBC-LN-BULK/Normal (Odoo46),UVIN-MC80-BASF,Raw Material,0.07500
BBC-LN-BULK/Normal (Odoo46),ALAN-SL--X,Raw Material,0.00100
BBC-LN-BULK/Normal (Odoo46),VCIP---K,Raw Material,0.00050
BBC-LN-BULK/Normal (Odoo46),WARN-S12YL--K,Raw Material,0.01616
BBC-LN-BULK/Normal (Odoo46),WARN-S12RN217--K,Raw Material,0.00546
BBC-LN-BULK/Normal (Odoo46),EXTR-LCRG-X,Raw Material,0.00010
BBC-LN-BULK/Normal (Odoo46),BIO-HYAL-BIL,Raw Material,0.00020
BBC-LN-BULK/Normal (Odoo46),SILI-DC749--X,Raw Material,0.00010
BBC-LN-BULK/Normal (Odoo46),PEN-PRSVPE-X,Raw Material,0.00500
BBC-LN-BULK/Normal (Odoo46),SILI-345-DC-K,Raw Material,0.02000
BBC-LN-BULK/Normal (Odoo46),OLIV-900BT-X,Raw Material,0.00400
BBC-LN-BULK/Normal (Odoo46),TITA-OTS2CR50-,Raw Material,0.08000
BBC-LN-BULK/Normal (Odoo46),MATR-P5P3--K,Raw Material,0.00200
BBC-LN-BULK/Normal (Odoo46),VITA-DL E-MS,Raw Material,0.00200
BBC-LN-BULK/Normal (Odoo46),WARN-TE--PBULK,Intermediate,0.00150
BBC-LN-BULK/Normal (Odoo46),BENT-BGISDV-X,Raw Material,0.05000
BBC-LN-BULK/Normal (Odoo46),GARA-RFS-X,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),EXTR-ALVGE-X,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),ORGA-EXD-ARK,Raw Material,0.00200
BBC-LN-BULK/Normal (Odoo46),NT---K,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),EMU-PS-,Raw Material,0.02000
BBC-LN-BULK/Normal (Odoo46),VITA-B3PC-X,Raw Material,0.03000
BBC-LN-BULK/Normal (Odoo46),ABIL-WE09-X,Raw Material,0.02500
BBC-LN-BULK/Normal (Odoo46),ZINC-10PL-X,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),EDT-B--K,Raw Material,0.00050
BBC-LN-BULK/Normal (Odoo46),STEA-A-EST05M,Raw Material,0.02200
BBC-LN-BULK/Normal (Odoo46),SILI-2005-DC-K,Raw Material,0.03000
BBC-LN-BULK/Normal (Odoo46),TIT-T85-X,Raw Material,0.02000
BBC-LN-BULK/Normal (Odoo46),POWD-9701-,Raw Material,0.01000
BBC-LN-BULK/Normal (Odoo46),SILI-DC9045-X,Raw Material,0.15000
BBC-LN-BULK/Normal (Odoo46),SILI-FZ3196-X,Raw Material,0.02000
TC-LPGBB01-BULK/FF.RND.W180.01,TIT-CR50AS-X,Raw Material,0.06500
TC-LPGBB01-BULK/FF.RND.W180.01,UVIN-MC80-BASF,Raw Material,0.04000
TC-LPGBB01-BULK/FF.RND.W180.01,SILD--SI5H52D-K,Raw Material,0.04000
TC-LPGBB01-BULK/FF.RND.W180.01,TALK-C-STJADAITO-K,Raw Material,0.32892
TC-LPGBB01-BULK/FF.RND.W180.01,TALC-C-2KPD-X,Raw Material,0.36334
TC-LPGBB01-BULK/FF.RND.W180.01,PARF-AMSKLG-X,Raw Material,0.00010
TC-LPGBB01-BULK/FF.RND.W180.01,COSM-168ARV-X,Raw Material,0.01000
TC-LPGBB01-BULK/FF.RND.W180.01,PEN-PRSVPE-X,Raw Material,0.00800
TC-LPGBB01-BULK/FF.RND.W180.01,LAR-LICODDC-BULK,Intermediate,0.00500
TC-LPGBB01-BULK/FF.RND.W180.01,PEN-SENSC50-X,Raw Material,0.00400
TC-LPGBB01-BULK/FF.RND.W180.01,ACTI-VEAC-X,Raw Material,0.00010
TC-LPGBB01-BULK/FF.RND.W180.01,IPM-CRDSG-X,Raw Material,0.03500
TC-LPGBB01-BULK/FF.RND.W180.01,ORGA-EXD-ARK,Raw Material,0.02500
TC-LPGBB01-BULK/FF.RND.W180.01,TIT-MT60S-X,Raw Material,0.02000
TC-LPGBB01-BULK/FF.RND.W180.01,EUTA-G-X,Raw Material,0.01500
TC-LPGBB01-BULK/FF.RND.W180.01,SUNP-EPU-2X-X,Raw Material,0.01000
TC-LPGBB01-BULK/FF.RND.W180.01,ZINC-ZNOLYS-X,Raw Material,0.01000
TC-LPGBB01-BULK/FF.RND.W180.01,WARN-YLW3AS-X,Raw Material,0.01086
TC-LPGBB01-BULK/FF.RND.W180.01,WARN-RED3ASTDMS-BULK,Intermediate,0.00759
TC-LPGBB01-BULK/FF.RND.W180.01,WARN-BLCK3AS-X,Raw Material,0.00210
TC-LPGBB01-BULK/FF.RND.W180.01,TIT-CR50AS-X,Raw Material,0.06500
TC-LPGBB01-BULK/FF.RND.W180.01,UVIN-MC80-BASF,Raw Material,0.04000
TC-LPGBB01-BULK/FF.RND.W180.01,SILD--SI5H52D-K,Raw Material,0.04000
