"Korporat Code","Component FG/Korporat Code","Component REFILL/Korporat Code"
"BO-CLPPMCB-EM3.5GR","BO-CLPPMCB-RP-EM3,5G",""
"BO-CLPBCP-EM","BO-CLPBCP-RP-EM3,5GR",""
"BO-R2CLPBCC-EM","BO-R2CLPBCC-RP-EM3,5GR",""
"BO-CLPPCCC-EM3.5GR","BO-CLPPCCC-RP-EM3,5G",""
"BO-R2CLPBML-EM","BO-R2CLPBML-RP-EM3,5GR",""
"BO-CLPPPML-EM3.5GR","BO-CLPPPML-RP-EM3,5G",""
"BO-CLPCS-EM3.5GR","BO-CLPCS-RP-EM3,5GR",""
"BO-R2CLPBVB-EM","BO-R2CLPBVB-RP-EM3,5GR",""
"BO-CLPPTVB-EM3.5GR","BO-CLPPTVB-RP-EM3,5G",""
"BUT-CF-EM100ML","",""
"TC-CCB-EM12GR","TC-CCB-BULK",""
"TC-CCL-EM12GR","TC-CCL-BULK",""
"TC-CCM-EM12GR","TC-CCM-BULK",""
"TC-CCP-EM12GR","TC-CCP-BULK",""
"CCC-CCL-EM20ML","CCC-CCL-BULK",""
"CCC-CCN-EM20ML","CCC-CCN-BULK",""
"FM-CMB-EM","FM-CMB-BULK",""
"FM-CMSC-EM","FM-CMSC-BULK",""
"FM-CMSS-EM","FM-CMSS-BULK",""
"HBL-CA-EM100ML","",""
"HBL-CP-EM100ML","",""
"MASK-CLV-EM","MASK-CLV-BULK",""
"FM-SL-EM60ML","FM-SL-BULK",""
"L-CM01-EM5.5GR","L-CM01-BULK",""
"L-CM02-EM5.5GR","L-CM02-BULK",""
"L-CM03-EM5.5GR","L-CM03-BULK",""
"L-CM04-EM5.5GR","L-CM04-BULK",""
"L-CM05-EM5.5GR","L-CM05-BULK",""
"L-CM06-EM5.5GR","L-CM06-BULK",""
"L-CM07-EM5.5GR","L-CM07-BULK",""
"L-CM08-EM5.5GR","L-CM08-BULK",""
"L-CM09-EM5.5GR","L-CM09-BULK",""
"L-CM10-EM5.5GR","L-CM10-BULK",""
"L-CM11-EM5.5GR","L-CM11-BULK",""
"L-CM12-EM5.5GR","L-CM12-BULK",""
"L-CM13-EM5.5GR","L-CM13-BULK",""
"L-CM14-EM5.5GR","L-CM14-BULK",""
"L-CM15-EM5.5GR","L-CM15-BULK",""
"L-CM16-EM5.5GR","L-CM16-BULK",""
"L-CM17-EM5.5GR","L-CM17-BULK",""
"L-CM18-EM5.5GR","L-CM18-BULK",""
"L-CM19-EM5.5GR","L-CM19-BULK",""
"L-CMCL-EM5GR","",""
"L-CMFW-EM5GR","",""
"L-CMJB-EM5GR","",""
"L-CMME01-EM","L-CMME01-BULK",""
"L-CMME02-EM","L-CMME02-BULK",""
"L-CMME03-EM","L-CMME03-BULK",""
